date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-01, Senior Software Engineer,,Current Employee ,Excellent Place to Work,More than a year,0,"Awesome people, great benefits, fun atmosphere.",Stagnant work and vision. Will be interesting to see what the future holds.,,5.0,5.0,5.0,3.0,5.0,4.0
2019-04-05, Senior Software Engineer,"Brooklyn, NY",Current Employee ,Great place to work where they put employees first,More than 5 years,0,Awesome office environment & every body I worked with was incredibly smart & capable in their roles.,The cult of Etsy could become a little overwhelming in terms of the social office atmosphere.,,4.0,4.0,5.0,5.0,5.0,4.0
2019-04-11, Product Manager,"Brooklyn, NY",Former Employee ,Avoid Product Management,More than a year,0,"1. Positive mission and purpose, the customers are inspiring and loyal. And there is still a lot of potential in the marketplace to help them thrive.

2. The engineering team is full of collaborative and talented people.

3. The compensation, benefits, work/life balance and facilities are all really solid and a good model for others to follow.","1. Communication and data between teams doesn't flow freely but rather siloed and selectively. A handful of negative players appear to thrive here creating unhealthy friction.

2. The PM role lacks a strategic outlook and there is limited growth opportunities. Most are essentially pushed to manage projects, not deliver outcomes.

3. The PM org is being run by someone that never worked as a product manager w/ a management team that hasn't led product at scale for consumer tech businesses.

4. It's not a learning culture. At the end of every quarter, for example, there is a freakout, reshuffling of teams, tactics, etc. because some unrealistic goal(s) won't be hit.","1. Bring in experienced PM leadership. PM management that has worked hands-on on highly-scaled, complex, consumer businesses besides Etsy.

2. Reexamine strategic objectives process - how, who, and when KPIs are determined, reported, etc. - and how you decide desired customer outcomes and what to build.

 3. Work on people and culture. The mission is hypocritical if people aren't being decent humans to each other. HR seems to be an enabler too. See reorgs, ongoing turnover, hire and fire comments for evidence.",3.0,5.0,3.0,2.0,5.0,2.0
2018-11-25, Senior Software Engineer,"Remote, OR",Former Employee ,"A company that seems warm to the touch, yet is cold and out of touch",More than a year,0,"Great compensation, generous RSU packages. Remote work. Amazing corporate culture and fun people to work with.","Hire & Fire company. I worked for Etsy for 1 year, 1 week and 1 day. My management changed and the new manager never liked me. I had a mostly ok review and then one day I found out I didn't work there any more.",Give people opportunities to improve perceived deficiencies in their job performance instead of just ending their position.,3.0,5.0,3.0,4.0,5.0,5.0
2018-11-19,,"Brooklyn, NY",Former Employee ,"You quit bad managers, not bad companies.",More than 5 years,0,"Working at Etsy is incredible. There is nonstop momentum, and you work for a company that ultimately does good in the world. The BK HQ is lovely, the food and atmosphere is inspiring.",Managers aren't always held accountable for people management - more emphasis on project management.,,5.0,4.0,5.0,5.0,4.0,4.0
2018-11-26,,,Current Employee ,Pick your managers wisely and treat people with more respect.,,0,"Creative culture, friendly c-level executives, excellent benefits, beautiful office","People are made managers without any thought into whether they will manage well which often leads to poor communication and under supported teams.

I have watched many co-workers treat lower level staff with incredible disrespect and I have been shocked at how this was tolerated and accepted. The company does very little to combat this and it makes for a very uncomfortable work environment.","Every job matters, every person matters, this is a team.",2.0,3.0,4.0,2.0,5.0,2.0
2018-11-24,,,Former Employee ,na,,0,"nice environment, city, people, and fun",not too many that I can think over,,5.0,,,,,
2018-08-21, Senior Software Engineer,"Brooklyn, NY",Current Employee ,Enjoying Every Single Day,Less than a year,0,"By far the best part of working here is the people that you see every day. Etsy has some of the kindest, smartest, and most diligent employees that I've had the opportunity to work with. I don't feel like I'm competing with my coworkers, but rather that we're working towards a common goal, and supporting each other along the way.

There is a wide surface of technical challenges and products to work on, and everything is making progress at a fast pace.

We have a culture of sharing knowledge, so if you have a question, you can approach anyone in the company (a bit of a double-edged sword).

Compensation and benefits are pretty good. While not top-tier, I feel that I was made a very respectable offer coming in, and they give generous raises and bonuses according to your performance. The benefits are pretty good (401K, health, dental, life, a bunch of extras).","Some of the technology is a bit dated, and there's a (responsible and well-intentioned) conservatism about modernizing tools and infrastructure. We are making progress on this.

The open-office layout is not good at all for concentration. There are a ton of distractions, ESPECIALLY slack.

Some restructuring has caused gaps in coverage of legacy systems. This should be addressed.

It's been pretty hard to get extra hardware for testing or development, hopefully that issue goes away soon.","You're doing great. I really appreciate the frequent updates and insight into what's happening across the organization. I love that we are so user-focused in everything we do. I hope that we can preserve some of what made Etsy unique in the early days as we push to grow as an organization and business. I like the charm of the place, and your employees care a great deal about doing great work. You've got a lot going for you, so just take care to preserve and improve, and don't just make us another ecommerce site with the same corporate culture as everyone else.",5.0,5.0,5.0,5.0,4.0,5.0
2018-09-14,,"Brooklyn, NY",Current Employee ,As long as you can ride the change wave...this is a great place to be,More than a year,0,"The mission of the company
The people, the culture
Always challenging",Still finding our footing in growth and change,,5.0,,,,,
2018-08-23,,,Current Employee ,"Great place to work, employees are incredibly fortunate to work here.",More than 5 years,0,"-Culture
-Smart Executives
-Genuine and intelligent people
-Impressive and well curated office spaces
-Creative and fun company events (community hours, talent shows, etc.)

The company has had an impressive turnaround from layoffs and through uncertain times and most current employees are optimistic about the present and future.","Passion and intelligence alone does not equal a job well done. Continue to improve internal communications, teamwork, leadership, etc.","Continue to successfully make smart business decisions, with our sellers and employees best interest in mind.",4.0,4.0,5.0,4.0,4.0,4.0
2018-08-30,,,Former Employee ,Customer Service,,0,"Great people, lovely perks (free lunch and snacks, great interior design, fun company events etc.)",Very low pay and little chance for advancement.,,3.0,4.0,5.0,3.0,2.0,4.0
2018-07-30, Engineering,"San Francisco, CA",Current Employee ,Amazing people & company!,Less than a year,0,"Teams, culture, flexibility, technology work/life balance",there can be a lot of over communication and little to no email discipline. I spend a large part of my time informing people on what I do and have done instead of doing...,Keep investing in technology.,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-20, Product Designer,"Brooklyn, NY",Current Employee ,"Change is hard, but I think it's working",More than a year,0,"- Company strategy seems much more focused than before the change in leadership
- I currently work on more impactful projects than I did before
- I work with really smart people every day
- I'm always learning new things
- My manager(s) have always made space for me to tackle new challenges to grow my skillset
- My manager(s) have always been very kind and thoughtful, and take feedback well
- Compared to every place I've ever worked, Etsy has been one of the kindest and most thoughtful workplaces that I've been in -- both from the individuals that I work with day to day, as well as the managers that look out for me in the Design org","- HR and people management in general is a bit messy -- it's not always clear how you can get promoted or get a raise
- Product org has lacked senior leadership for a very long time, leading to sub-optimal product management processes and a lack of overall product strategy. Onboarding for product managers seems to be nonexistent, and I see us hiring a lot of very junior PMs who might be very smart, but seem to me somewhat inexperienced. As a result, Product Designers and other partners end up picking up the slack.","Set a higher bar for Product Managers, or take more time to support junior PMs in their growth.

Be more open and transparent about compensation policies -- invite more discourse, rather than making a change and announcing it without room for folks to ask for change (even though they do anyway, thankfully!).",5.0,5.0,5.0,5.0,5.0,5.0
2018-06-22, Dispute Investigation Agent,"Hudson, NY",Current Employee ,Dispute Investigation Agent,More than a year,0,"People, culture, benefits are great.",Hard to come up with cons-- things are on the up and up,,5.0,4.0,5.0,4.0,4.0,4.0
2018-06-22,,,Current Employee ,Great Place to Work!,,0,Tremendous culture of performance and collegiality - it's a wonderful place to work and unlike anywhere I've ever been. The warmth here and the passion for what we do makes it a joy to come to work everyday.,I do not have any at this time.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-07,,,Current Employee ,"Great company, great comeback, still a few things to work out.",More than a year,0,"Amazing culture. Supportive, positive atmosphere. Massively talented and passionate employees. Great perks, good pay.","Too many meetings, too much formal feedback too frequently. Health, 401k, and vacation time are average.","Keep up the great work. Scale back a bit of the goal setting and feedback to a manageable cadence. It's a positive process, just too frequent.",4.0,4.0,5.0,4.0,4.0,5.0
2018-05-22,,,Current Employee ,"Clueless, Hopeless, Soon to Perish",,0,Useless bells and whistles in the office space. The only good thing anyone internally has ever had to say about that company.,"Big shots with little skills, nepotism, fresh from undergrad in senior levels, incompetence, bleak business outlook and lack of senior direction, people stay around long enough that they're promoted without actually doing anything and recruiters work from home every day so it's a self-fulfilling cycle where talent can't come in and poor talent retains",Fire the other 1/2 of the workforce. Then figure out how to actually turn some profit without doing that.,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-15,,"Brooklyn, NY",Current Employee ,Disappointed,,0,"-Interesting products and challenges
-Cozy office space
-Unlimited sick day","- Work/life balance is poor. I am stuck in so many useless meetings that the only time I do actual work is on my ""lunch break” (when 12-1 or 1-2 isn’t booked or double booked with even more meetings on my calendar) or evenings/weekends.
-However, I’m an afterthought for meetings that actually would be helpful for me, but I’m not invited to them. Then I’m berated for not knowing something that was discussed in those meetings. Usually the one doing the berating is the person who’s setting up those meetings…that I’m not invited to. And the cycle continues.
-Which leads to communication, which is terrible here. Obtaining relevant information and answers that is crucial for me to do my job effectively is like pulling teeth.
-People in leadership and product management roles don’t seemed to be equipped or experienced enough to handle their job responsibilities. Stop putting 23-year-olds in charge of entire product verticals. They lack the experience and confidence to get the job done.
-PMs and designers get in their own way and overthink products.Don’t seem to really be listening to what buyers or sellers actually need.
- I'm surprised by how cold and/or unhappy so many people seem here. I was expecting a much warmer, friendlier group of people. Maybe everyone is just so burned out and suffering under a cloud of toxic confusion and miscommunication, that they have nothing left to give socially. Most people come across as insincere. I feel like I’m working among a bunch of zombies.","If people you just hired are already planning on leaving, that is a terrible sign. It's time to roll up your sleeves and do the difficult work of figuring out why your company is such a train wreck. Remove incompetent people, improve collaboration and communication, and stop working everyone to the bone.",2.0,2.0,2.0,2.0,4.0,2.0
2018-03-25, Engineering Manager,"Brooklyn, NY",Current Employee ,Bring your full self; Everybody is helpful,More than 5 years,0,"I've worked at Etsy for over 5 years and 2 things that are still 100% true is that Etsy is a company where you can bring your full self to work and everybody who works there goes out of their way to be helpful. We have always strived to be a welcoming place full of diverse people and ideas. The thing I appreciate about the new executive leadership is that that is still true and we're getting better at being more transparent and realistic about the business environment in which we operate, and our competition. Inclusion and collaboration has NOT been sacrificed for increased focus on working on the things that matter and align with a more focused strategy.","Planning, coordination, and prioritization continue to be areas that are undefined by Etsy's established culture and practices. This often can feel like chaos. As mentioned in the Pros section, everybody who works there truly cares about the company and their projects and strives to be helpful, but there can still be a lot of friction and overhead when it comes to resolving project conflicts (deadlines, staffing, etc). Another way to look at this is that Etsy has always valued empowering individuals and frontline teams to make decisions, which worked well when it was a 100 person company, but this hasn't scaled up.",Continue to improve the guiding strategy such that it can be more actionable for prioritization (as mentioned in the Cons). Continue to work to add company-wide coordination and planning as a first-class aspect of Etsy culture and know-how.,5.0,5.0,5.0,4.0,4.0,4.0
2018-03-19, Network Engineer,"Brooklyn, NY",Former Employee ,Questionable management practices,,0,Decent pay. Great benefits. New CEO seems like he knows what he's doing.,Poor communication from director level management. Lots of turnover in all levels of management. Unable to keep good people because of a tendency to favor culture over skill level. Infrastructure and approach is about 10 years behind. Management seemed to have a lack of experience and/or training.,Training and maybe try to hire less Google people. They're pretentious and tend to look down on anyone who doesn't fit the coder lifestyle. You don't have to be a software engineer for jobs that don't involve software engineering.,2.0,2.0,1.0,1.0,5.0,1.0
2018-03-05,,,Former Employee ,Great Place to Work,,0,"Etsy was a fun place to work. The culture of the marketplace is evident in the culture of the people who work there. The office in Brooklyn is amazing, and the satellite offices also have a charm of their own. The technical culture is well developed and there were usually a good number of senior engineers to learn from when I was there.","Like any public company, there can be some turmoil based around earnings reports and shifting goals / expectations.",Make sure the culture remains intact even as earnings seem more and more important.,5.0,5.0,5.0,4.0,4.0,4.0
2018-03-05, Director,"New York, NY",Current Employee ,"Wow, I am impressed!",Less than a year,0,"What a great place to work! Family nature, great work to do, caring people & teams, fun work to do and fun atmosphere. I expected to land in a new job that I would love after my great interview experience with the team; but, that was surpassed. I am very happy to be here!","No much, maybe that I would like move coffee on my floor :)","Keep up great interaction work, we love it - we also want to continue to know where we are headed as a company.",5.0,5.0,4.0,5.0,4.0,4.0
2018-02-23,,,Current Employee ,Senior Consultant,,0,"Excellent Leadership
great career opportunities
excellent flexibility","None to mention
no problems
no issues
no faults",,5.0,,,,,
2018-01-24, Designer,"Brooklyn, NY",Current Employee ,"Despite a shaky last year, still the best place I've ever worked",More than a year,0,"- Great place to work as a marginalized person
- Since the 2017 layoffs and refocus, people work at a faster pace and focus more on iteration
- Good benefits and perks including weekly free lunch and daily snacks
- Best office I've ever worked in
- The HQ isn't in Manhattan
- Remote friendly, working from home is encouraged
- Great and interesting challenges
- Working on a marketplace that encourages people to be creative and gives artists a way to live while doing what they enjoy
- Good growth and learning opportunities","- Change is hard and some people are definitely a bit salty
- Your experience can depend on the team, but things are getting more standardized which is nice
- The attrition was tough post-layoffs, but has vastly improved
- Sentiment amongst Etsy sellers can be demoralizing, but the company is listening to them and things are getting better",Keep the culture and values human-centric by listening to your employees and Etsy sellers. Lose this and you lose everything.,5.0,4.0,5.0,4.0,5.0,5.0
2018-03-11, Engineer,"New York, NY",Current Employee ,Stop the madness,,0,Accommodating work environment. Perks do not make up for bad management team.,"Sub-par management team, especially on the engineering side. Seems that they hire management team that are less qualified than the underlings.","Stop the madness!!! Just because someone held a management position at a previous company does not mean that they were good at it. They could have just ran the project into the ground, and then just blamed someone else on that team. Unfortunately, they play the blame game about 3 or 4 times until people catch on and see where the real problem is. Try to find a better method of recruiting management, instead of creating this endless cycle of failure.",1.0,1.0,3.0,3.0,3.0,1.0
2018-02-09,,"Brooklyn, NY",Current Employee ,"At Etsy, I'm doing work that I believe in",More than a year,0,"Our mission to keep commerce human comes to life everyday with the work we do. I love supporting creative entrepreneurs and making a difference in their lives.

It's been a bit of a wild ride at Etsy since last year, but I feel strongly that we're heading in the right direction and will be doing amazing things to continue to grow.

The benefits, especially the incredibly important parental leave and medical coverage, are great for attracting and retaining talent.

Within the office, it's also nice to have so many places to work. I can sit with my team in our pod or go work on a sofa or outside if it's nice.","Sometimes it feels like there's a lack of direction from the top down.

Communication between teams isn't always strong and it doesn't seem like leadership realizes how disjointed things can be at the rungs below their reports.

It's a very young company - what I mean by that is most people seem to be in their twenties and thirties. This is great for innovation, but at the same time I think there's a lack of maturity on the culture front.",Work to improve communication between teams so we can be more effective.,4.0,5.0,4.0,3.0,5.0,3.0
2018-01-29,,,Current Employee ,Unicorn company,More than a year,0,"There was a lot of change over the last year. While it took some time for people to adjust, I truly believe there is a lot more optimism and opportunities for growth for those who stayed. There is incredible talent here!","With the change, it's been challenging to navigate individual roles and responsibilities. Hopefully that will become more clear in 2018.",Creating measurable goals across the organization which also support triple bottom line metrics.,5.0,5.0,5.0,5.0,4.0,4.0
2018-01-24, Senior Product Designer,"Brooklyn, NY",Current Employee ,Newly focused direction paired with longstanding collaborative culture,More than a year,0,"— New leadership has created focus in product development, teams are motivated and driven
— Constant iteration, both on the product itself and the product development process
— Culture of collaborative building
— Open lines for communication where constructive, thoughtful feedback is encouraged
— Executive team is invested in making truly user-centered products
— Work feels important, part of the “bigger picture”
— Career paths feel nurtured
— Lots of opportunities to learn from each other, both professionally and just for fun :)","— Still seeing residual attrition from layoffs and executive switch-ups from last year, resulting in some vacuums in leadership (though hiring the right people is hard and takes time)",,5.0,4.0,5.0,5.0,5.0,4.0
2017-11-09, Software Engineer,"Brooklyn, NY",Current Employee ,"I'm Lucky That I Can Say ""I Love My Job",More than a year,0,"As an engineer, I love Etsy's culture of curiosity. While industry standard best practices are of course important and are the standard for good reasons, it never hurts to explore and experiment with alternative approaches. Having experienced Etsy from an inside perspective for over a year now, I can definitely attest to the increased freedom, benefit and satisfaction from exercising the curiosity culture in my day-to-day work.

As a human and just ""I want to work so I can live my life"" perspective, Etsy's benefits, culture (not necessarily just engineering culture), work-life balance and many other aspects hit the spot for me. Etsy is definitely a people-oriented company and while all the initiatives and projects ultimately reflect that people-oriented mindset, it also reflects nicely in the company culture for employees, too.","Purely as an engineer, there's just one relatively minor point. Having started as a small startup back in 2005, there are definitely remnants of a bygone era of ""wild west coding"" at Etsy. New code that gets churned out nowadays is honestly fine, but it's not entirely rare to come across a codebase that has a lot of legacy code in it still.

With some of the shakeups in the past half a year (As of November '17), there've also been some re-orgs and while it was overall positive and a great change in my opinion, naturally there are still some kinks to be worked out.

That said, I want to keep it clear that the above two points are actively being worked on, at least within the teams I interact with. They're just points to keep in mind given recent events.","Honestly, great job. I was honestly skeptical about the company's future half a year ago. Now? I'm so stoked. I'm excited. This is what I wanted out of this stage of my career and I'm loving it.

Let's kick some butt and make Etsy even more successful.",5.0,5.0,5.0,5.0,4.0,4.0
2017-12-17,,,Current Employee ,Gotten a lot better since C-suite turnover and emphasis on hiring new industry knowledgeable veterans,More than a year,0,"Etsy cares about the well-being of its employees and its environmental/social impact and it's real. Very metrics driven so the best, impartial decisions are being made",Some of the old guard that wasn't let go are still incompetent at their jobs. Most of them have been replaced by more knowledgeable and experienced external hires though,,4.0,5.0,5.0,5.0,4.0,4.0
2017-11-17,,"Brooklyn, NY",Current Employee ,Anonymous,More than 5 years,0,"Health benefits
Generous sick and PTO time
Collaboration
Work/life balance (at least my manager works really hard to accomodate this)
The work is challenging and often fun","Etsy is still a great place to work compared to a lot of other companies. Some recent negative reviews are exaggerated and dramatic, which is more of a reflection of the company putting too much emphasis on ""culture"" and not always hiring the best and most experienced workers for the job. There's a lot of entitlement, which continues to shock me, as not all companies are going to give paid health benefits, very generous sick and PTO, and a terrific work/life balance. I hear everyone talk about the ""old"" Etsy a lot which included poor product planning, subpar engineering, and major lack of communication across the company. We're finally stepping in the right direction, but I don't feel like Josh is the right fit for Etsy. He has the business expertise, which we desperately need, but it's clear he lacks the ability to manage a company that's so protective of their culture . He's alienated a lot of employees and excelerated attrition, which at one time was curtly referred to as ""natural"". While we've improved GMS and attracted new members to the site, a lot of products are broken and need to be addressed. Engineering time is now impossible to get because of the wave of attrition in engineering. The loss of a lot of people has in itself pros and cons, but since they arrogantly didn't think this many would actually leave, HR has been super slow to backfill the positions leaving the remaining employees with having to pick up the extra work. Josh and the executive team at one point made it seem as if we all werent willing to pitch in and we needed to essentially grow up to act like adults, which also turned a lot of employees off and gave them an extra push to leave. Unfortunately, this alienated a lot of hard working employees who had been picking up the slack, so I'm not surprised ""natural"" attrition has drastically increased. It should've only been addressed directly to the employees with a bad attitude, not to the entire company.","-- Review your management teams and ensure they are performing. In my org alone, there were two managers who never had a clue about anything but were pulling triggers on decisions.
-- Continue to review management levels and cut the fat. Josh likes to talk about cutting down on bureaucracy, but it's not entirely true. There is a lot more work to be done here. There is one team with Senior Managers and then Managers. The senior managers are no help and have no idea what's going on with their teams. Additionally, I have four different levels of bosses I need to go through to get things addressed. This is a major problem when one boss doesn't want to bring things up to her/his boss because she/he thinks it'll make her/him look bad. This is just bad management.
-- Allow your employees to be completely and 100% honest with their questions and concerns to upper management and executive levels. When the layoffs happened, there was a lot of confusion, worry, and anger. People were asking hard questions and venting. This is human nature. While I under people need to be respectful a recent change feels like censorship and that the executives weren't interested in listening to their employees concerns and worries and address them in a front straight forward manner. If we're keeping commerce human, make sure to treat your employees as human as well.",4.0,5.0,3.0,4.0,5.0,2.0
