date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-21,,,Current Employee ,So much potential...so much to do...all good stuff!,Less than a year,0,"Everyone is passionate and excited about the work they do here. People overall have a positive view on the goals we are trying to reach as a company and look forward to what's coming down the pipeline and eager to tackle. Folks are kind and have a team oriented attitude. For a tech company, there's a fair amount of diversity and they are working on increasing even more in that area.",Tough to stay on task with too many priorities and not enough resources. At time the right folks aren't in the room (and it doesn't always have to be the most senior leaders in the org).,Be open (and go forward with action) in making very difficult decisions that are on point to do for the business.,5.0,4.0,4.0,5.0,4.0,4.0
2019-04-01, Customer Service Supervisor,"Nashville, TN",Former Employee ,Good Company but not for a growing customer support team,More than a year,0,Eventbrite offers many benefits for employees to take advantage of,"If you are in the support teams you're unable to take advantage of many of those features. We do not get holidays off, and the unlimited PTO doesn't apply to us",,2.0,1.0,5.0,2.0,2.0,1.0
2019-03-10, Engineering,"San Francisco, CA",Current Employee ,"Great coworkers, great culture, and interesting challenges - what more could you ask for?",More than 5 years,0,"Great career opportunities here - lots of intracompany mobility. There are a lot of really tenured engineers at Eventbrite because people like the work culture, their coworkers, and with all of the opportunities within the company there's always an interesting next project.",Dev environment and release process need improvements. There's still a lot of work to be done to break out of the monolithic codebase.,,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-08, Software Engineer,"San Francisco, CA",Current Employee ,Best place I have ever worked,Less than a year,0,"- We have a great educational culture. For me, the most important thing I was looking for was investment in my engineering education, and that's happened on both a team/manager level and department wide. We have many internal educational programs (lectures, workshops, funding for conferences and educational materials, mentorship program, access to Udemy courses, etc), and my managers have been fully supportive of helping me transition to fullstack engineer. I mean, I am working right now with one of the founders on Django on an educational project. That's so awesome in and of itself.

- We have a great engineering culture. We have a healthy culture of feedback and discussion - I feel like we are always discussing the best way to accomplish things, and people are really passionate about finding the right way forward that's the best for everyone.

- I really believe in the product and mission. Our goals are to help create live experiences as well as support our event creators, which is something I can definitely get behind, having been an event planner in a previous life.

- I get to bring my whole self to work, and get to do all the things I'm interested in. I'm not only interested in coding - I also love education and diversity initiatives, and have been allowed work time to accomplish things like an internal mentorship program and bringing diverse groups into our space.

- We have a great culture overall. Management is celebratory of the work we do, without being too over the top and flashy (unlike some other companies in the area). We have lots of great internal events as well. Also, I really feel like management cares about both the employees and customers. Management is constantly asking for feedback and acting upon it.

- I have lots of opportunity for growth and promotion, and options available to pursue the career path I want - either continuing to be an individual contributor or go into management. I've also had multiple directors across different departments take interest in my career growth and offer their help.

- I feel like I'm being paid very fairly and there are great benefits. Good medical, and lots of really nice perks around the office - smoothie bar, in house massages/chiro, lunch is provided, snacks, commuting benefits, wellness stipend, etc.

- I am really listened to by my manager and upper management. I was rather unhappy on a project due to extenuating circumstances, and was switched to a different project that was more in line with what I want to accomplish. All of which I feel very grateful for.

- Good work-life balance. Sometimes there's a project deadline and people have to work really hard to get stuff out of the door, but in general managers are really respectful of work life balance. We also have a really good culture of being flexible with time off and working remote.

- I get to build cool stuff, working for our R&D department.

- The interview process was one of the best I've ever been through. They were willing to meet me where I was at (being a junior engineer), and my first phone screen was with a director, not a recruiter. That really left a lasting impression on me.

- Lastly, the people. I LOVE the people I get to work with - they are so incredibly knowledgeable, kind, and supportive. Also, just really freaking cool. Everyone has something that they are passionate about, both inside and outside of work. I have met so many amazing and inspiring people at work, and genuinely feel like I have made friends. This is probably one of the biggest factors of what's going to keep me around for a long time.

All in all, I can't recommend Eventbrite enough. I love it here, plain and simple.","The internal development environment has been really difficult to work with in the past - lots of lost time and productivity.

We don't have an official QA department. That sometimes is a bit concerning.

Sometimes our internal culture isn't as cohesive as I would like - both SF wide and engineering as well. I do feel connected to other offices, as we have had opportunity to visit and work with each other which I feel grateful for. But I thankfully have friends across all the departments, which makes it feel a lot smaller.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-18,,,Current Employee ,Great company,More than a year,0,"Benefits, company culture, basically everything.","Nothing honestly, other than pay.",,4.0,,,,,
2019-02-27, Software Engineer,"San Francisco, CA",Current Employee ,A tech company with heart.,More than a year,0,"* Executives truly care about their employees and speak authentically to us
* Nice selection of benefits
* Excellent team and culture
* Work life balance is real
* Career mobility is real
* Our business is unusually tangible: tickets and live experience which lead to feeling a good sense of accomplishment from the work we do","* Like most tech companies, or any companies, YMMV depending on team/manager.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-12, Brand Designer,"San Francisco, CA",Current Employee ,"Great Culture, Mission and Work Life Balance",More than a year,0,"A very welcoming and fun culture with opportunities to grow and learn. Everyone here is very passionate about all aspects of live events and believes in our mission.

Great work-life balance.

Hard working colleagues who care.","No clear path of how to be promoted within and what my career path looks like at Eventbrite.

Lack of meeting rooms and quiet places in work in the SF office.

The office tends to feel chaotic.",I'd love to see more woman get promoted internally and more diversity among middle management and leadership.,4.0,5.0,5.0,3.0,3.0,4.0
2019-02-18, Designer,"San Francisco, CA",Former Employee ,"Great Place, Incredible People",More than 3 years,0,"A driven, relatively transparent company which pays attention and cares for its employees happiness. Lots of opportunities to bond with your team and do fun things to break up your work day. One of the best jobs I’ll ever have! Had a great manager, but can’t say that for everyone. Great work life balance and perks.",Pay is not great unless you’re a hustler. I encourage anyone looking for a job there to hustle their worth because Eventbrite will often under pay. They should strive to pay above market rate.,"Be open to your teams desire to grow, and be happy with compensating them to match their worth.",5.0,5.0,5.0,5.0,5.0,4.0
2019-02-17,,,Former Employee ,Disrupting Tech,,0,Great leadership and growing really fast,"With such fast growth, they ran into growing pains",,4.0,,,,,
2019-01-17,,"Nashville, TN",Current Employee ,Best place to work!,More than 3 years,0,"The culture, environment, and people in the Nashville office are amazing. The office has easily doubled in size and the culture hasn't changed a bit. The leaders genuinely care about you as a person and you'll never feel like you're ""just another number"" here. I can honestly say that I don't see myself leaving anytime soon.","The compensation should be re-evaluated due to the rising cost of living in Nashville, but the benefits and perks are amazing!",,5.0,5.0,5.0,5.0,4.0,5.0
