date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-21,,,Current Employee ,"Good company, you're treated with respect",More than a year,0,"Lots of autonomy, great coworkers, good work environment.","Like a lot of startups, the company sometimes seems to fly by the seat of its pants. Just typical growing pains.","Keep explaining to employees why the company is making the strategic decisions it's making, it helps engagement.",5.0,4.0,5.0,4.0,4.0,5.0
2019-02-21, Account Executive,"Oakland, CA",Current Employee ,Not the worst place I've ever worked,Less than a year,0,Great product and smart developers,"Pays less and has inferior benefits compared to other tech companies in the Bay Area.
Tough to sell annual SaaS subscriptions to law firms. Tough to make any money selling case subscriptions.",Use that 25m in funding to pay competitive salaries.,3.0,4.0,3.0,4.0,2.0,3.0
2019-01-09, Customer Success Manager,"Oakland, CA",Current Employee ,"A Company that Prioritizes Its Employees. Great culture, product, and growth.",More than a year,0,"->Aggressive salary growth, with many employees receiving competitive equity in the company, even in entry-level positions.
->Management philosophy that prioritizes open communication, listening to employee feedback, and making decisions based on company wide ideals
->Excellent employee benefits. Vision, health dental paid for by the company, with free catered lunches, flexible spending accounts for medical and travel, hiring bonus for referrals, game lounge, office with a view, team event stipend
-> Strong internal hiring and internal promotions
-> Extremely fast growth. In one year, moved from 40 to 100 employees and received Series B funding.
->Excellent product, with industry leading engineering team and compelling design
->Competent, intelligent, friendly management team","Folks here work very hard. Work life balance is great, but the work is demanding, and not rote or monotone. High expectations of competence from all employees.",Continue prioritizing values based decision making,5.0,4.0,5.0,5.0,5.0,5.0
2019-01-10, SDR,"Oakland, CA",Current Employee ,A+ Company,Less than a year,0,"I feel super lucky because I love coming to work:
-I am surrounded by intelligent, motivated, hardworking, fun, and genuinely good people
-Management is invested in the growth of all employees
-Collaborative work environment that truly values everyone's opinion
-Amazing product",I have no negative sentiments at this time,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-18,,,Current Employee ,The people here are great,More than 5 years,0,"Wonderful environment
Motivated and smart people
Unified vision and direction
No brogrammers","There have been some (perhaps typical?) growing pains as we have scaled up, but I am confident that we will look back and see them as minor bumps in the road.",Everything's going great; we just need to make sure it continues at such an explosive trajectory!,5.0,5.0,5.0,4.0,4.0,5.0
2018-12-18, Software Developer,"Oakland, CA",Current Employee ,Great dev team and culture,More than a year,0,"The autonomy and resources afforded you mean you learn a lot about many different parts of the stack quickly. We don't place hard deadlines on features so you have the ability to iterate and revise until you feel good about deploying. Senior devs are very knowledgeable and the CEO is a developer so decisions are always made with engineering in mind.
For career trajectory, this is a great place if you want to work on many different parts of the site/stack and always want coding to be part of your job.","Lack of hard structure might be a downside for some. Tooling around testing, building, deployment, bugs, and logging are all very lacking and take up a lot of dev time.
If you have management aspirations, might not be the place for you. This may change as the team continues to grow.",,5.0,4.0,5.0,4.0,5.0,5.0
2018-12-11, Software Engineer,,Current Employee ,Great workplace,More than a year,0,"They focus heavily on long-term team-building and product quality. They clearly want happy long-term employees, not short-term squeezed ones. Employee retention is high in general, and exceptionally high in the engineering department. The company is an ""up and comer"" with ambitious prospects in the legal space, and a decent chance of achieving them. It is a startup with venture capital, but probably stabler than most because revenue is also solid.

Software engineers get a lot of autonomy and ownership of their work. You generally have individual engineering ownership of a product feature. There are no specializations (e.g. front-end, back-end, java, etc.) - so you are generally responsible for a feature end-to-end -- which is great for skill development. There is usually no micromanagement; you often have a couple weeks or more between any kind of meetings with management. Feedback is usually astute and useful. It's a genuinely supportive environment without any real ""company drama"" that I'm aware of. From what I've seen, everyone is good at what they do, and management considers their job to be providing support, not cracking a whip.","This wouldn't be a good fit for everyone. The same development model that gives us a lot of autonomy and ownership of our projects also means there is a lack of structure. If you can handle that, your skills can really shine, but you need more than engineering skill. You need project management skills to provide your own daily structure, to plan out your own feature, to setup meetings with anyone you need for background knowledge and feedback. You need to take initiative to acquire missing information you haven't always been provided. Everyone is always nice and supportive when you ask for these kinds of things-- but you usually have to ask. You often play a central role in defining and/or refining your own feature-spec; you aren't just handed a polished spec document. There is a mentor period to ramp you up, and there are a growing number of processes written up (which you can help with). But if you can't pick up these sorts of softer skills, you might get frustrated and overwhelmed, even if you are a great engineer.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-28,,,Current Employee ,Great culture of intelligent people,More than 3 years,0,"fun, smart, enjoyable coworkers. many of us are friends
we challenge each other intellectually
we really think about the small things and try to get them right as we grow
management is receptive to feedback and cares about the employees
bright future for the company","action can be slow when mitigating internal problems
planning has been seemingly ad hoc",,4.0,5.0,5.0,4.0,3.0,5.0
2018-12-10, Software Engineer,"Berkeley, CA",Current Employee ,Great environment to work for Software Engineers,More than a year,0,"- Respect for engineers
- Self-directed development cycle without micromanaging
- Interesting projects which you can choose which you want to work on
- Enjoyable collaboration with Product, Design, and Customer Success teams","- If you prefer being highly managed and not self-directed, it might be difficult to work efficiently
- The nap room was left behind at the old office :(",,5.0,5.0,5.0,4.0,5.0,5.0
2018-12-12, Software Engineer,"San Francisco, CA",Current Employee ,Happy Everlaw engineer for over half a decade,More than 5 years,0,"- Work with smart, interesting, nice people
- Great benefits, fair pay
- Top management demonstrably cares about employees' well-being.
- No sprints, very rare deadline crunches
- We are given space and opportunity to do things well
- Work-life balance is respected... generous (not ""unlimited"") vacation","- Remote work is very much an exception
- Great environment for those who are self-motivated, might be frustrating otherwise
- You'll largely have to drive your own career growth and development
- The company infrastructure, technical and otherwise, still has a lot of room for growth",,5.0,5.0,5.0,5.0,5.0,5.0
