date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-12, Software Engineer(Internship),"Menlo Park, CA",Former Employee ,Great,Less than a year,0,It's an energetic and open company.,Some of the teams are moving too fast.,,5.0,4.0,5.0,5.0,5.0,5.0
2017-02-16,,"Menlo Park, CA",Current Employee ,"Fast paced company with high expectations, but incredibly fair. You won't a place that cares more about it's people.",More than a year,0,"- Incredible benefits
- Excellent compensation that rewards strong performance
- Lots of autonomy
- Tons of room for growth
- Very transparent from the top down
- Strong leadership
- Intelligent and caring colleagues
- The most fair and well thought out review process you will find everywhere
- Exciting work","- If you don't learn to make the work life balance work for you, it can be exhausting. But you'll also be given lots of support with this if you ask for it.
- It doesn't matter how good you are at your job, chances are you're going to be surrounded by a ton of other people who are just as good if not better. Imposter syndrome is real, but if you got an offer, you probably belong here too.","Keep doing what you're doing, keep an eye on employee burnout, keep supporting your people and keep pushing them, and the rest of the world, forward.",5.0,5.0,5.0,5.0,5.0,5.0
2016-02-16, Site Selection Program Manager,"Menlo Park, CA",Current Employee ,Pleasantly Surprised,,0,"I'm a 55 year old working in a company where the average age is 28, and I've never been happier. I have always wanted to work in a company where I wasn't the proverbial square peg, and after nearly 30 years in the work force, I believe that I have found the company that complements my ideology for how a company should operate. Here are the ""Pros"" as I see them...

- Leadership: Mark Zuckerberg, Sheryl Sandberg, Chris Cox and the rest of the leadership team. Inspiring, smart and totally real.
- The Culture: The openness is a real thing, we're trusted to do the right thing, mistakes are expected, being yourself is important and encouraged, humility is encouraged and expected, building trust is paramount, the mission of making the world a more open and connected place isn't just a cool phrase because it guides everything. It's not about us, it's about everyone else.
- The People: Smart and nice is what I find. The diversity is better than any other company I've worked at and it's getting better. Those that are figuring out how to make what we do better for everyone are really good at implementing their ideas. Two years ago I didn't know what this company really was or if it had a secure future. I can clearly see now that they have what it takes to last, and it's sincere.
- Management: Managers are hired because they're good managers and not because they're good at something else. The management track is different than the contributor track and they're equal in importance.
- Benefits: Working in the Valley it's hard to differentiate all the benefits employees receive and Facebook is at least equal to all the major tech companies, but coming from Seattle the benefits are nothing short of incredible.

Granted, I haven't been with the company for very long and I'm still in the honeymoon period, but I can tell what's real and what's not; this place is for real.","Like any tech company, the work is big and complicated so work/life balance can suffer from time to time. The difference is that it's the passion within the individuals that drives them to work long hours and forego time off. Of course there can be times when schedule demands force the imbalance, but it's not such that 10-12 hours days become commonplace and expected regardless. We do what we do to get the job done; no one is killing themselves because there's an order to do so.

Being able to eat to your hearts/stomachs content can be dangerous to the waistline, but that's a self-control thing and not the company's issue.","Keep doing what you're doing and fight hard to not be complacent. I believe that humility is the key so don't ever lose that thinking. Your motives will always be suspect, but if you're able to look in the mirror everyday and know that your motives are pure, that's all that matters. Walking the talk is the best evidence there is.",5.0,4.0,5.0,4.0,5.0,5.0
2019-04-09, Head Writer,"Los Angeles, CA",Current Employee ,Great experience,More than a year,0,"Creative, enthusiastic, efficient, appreciative, inventive","Lack of support staff, too guarded of brand, lack of benefits",,5.0,3.0,3.0,4.0,4.0,4.0
2019-04-11, Facebook Software Engineer,"Canada, KY",Current Employee ,Fun,More than 10 years,0,I love meeting new people. Making new friends and I love spending time on the internet..,"My country is far from here, and would love to come stay over.",Should keep up with the good works..,5.0,,,,,
2019-04-11, Project Manager,"Washington, DC",Current Employee ,Great company! Proud to work here!,Less than a year,0,"Clear mission, challenging but important work, great culture, excellent perks, generous employer, they take care of the workers, a lot of learning and growth opportunities, skills based company, autonomy, diversity and inclusion are top notch, treated with respect, flexible when it comes to personal life, fun environment, building social value.","Open office concept can be tough to focus, lots of meetings and many tools to navigate.","Recognize performance on a personal level. Bonuses are great but just hearing ""great job"" is enough sometimes.",5.0,4.0,5.0,5.0,5.0,5.0
2019-04-05, Software Engineer,"Menlo Park, CA",Current Employee ,great place.,More than a year,0,good colleagues and good manager,peer pressures and too much work.,,5.0,2.0,4.0,5.0,5.0,5.0
2019-04-06, Program Manager,"Menlo Park, CA",Current Employee ,"Super Fast, Smart, and Fun",More than a year,0,You're working on things that impact the world with amazing people from around the world. They treat us very well too in every way imaginable. The most important is that it's a bottom up company which allows us to continue to be agile even at our size.,"It can be hard to have a work-life balance because there's so much opportunity, but if you set limits its pretty great. Also, the housing near work is really expensive.",Keep being transparent and listening to feeedback,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-03, Product Manager,"Menlo Park, CA",Current Employee ,Product manager,Less than a year,0,"Facebook is full of very smart, engaged, genuinely caring people. There is a lot of autonomy and not much stands between recognition and success other than yourself and your own ambitions.

As a company, it’s a very cushy place with lots of perks and a laid back culture.","Due to the recent scandals, the company has become cautious to an extreme and every privacy decision is taken with painstakingly slow speed because it’s been vetted by layers and layers of people.
It’s also a very fast paced and competitive place, so some people find it hard to keep up.

Also, it’s a little tiring when literally everyone you meet has an opinion (both good and bad) about your company/job even when most people don’t have a clue about what you do.","I like the fairly hands-off, bottom up approach in general. It tends to work well at FB. The only exception would be for newer products, we need a culture of a bit more leadership regulated strategy for the sake of consistency.",5.0,4.0,4.0,5.0,5.0,4.0
2019-03-27, Software Engineer,"Menlo Park, CA",Current Employee ,Great company to work at!,More than 3 years,0,"Many benefits and perks;
Great problems to solve;
Very open towards being yourself at work;
Good career path.",I can't really see any cons apart from the headquarters being in Menlo Park. I wish they would open more infrastructure engineering roles on the San Francisco office as well.,,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-27, Senior Product Manager,"San Francisco, CA",Current Employee ,Great place to work with terrible work-life balance,More than a year,0,"- Surprisingly solid middle managers in many orgs
- Brilliant people, in general
- Incredible food
- Decent growth potential (I was promoted in 1 year & am looking at it again)","- Underleveling rampant, especially of women
- Unprofessional hiring/interviewing experience
- Awful commute for everyone (especially SF folks)
- Tons of thrash if you're working in a highly visible role
- Organizational politics, like everywhere
- Less growth/comp upside than in the early days","Know your power - your comments can thrash considerably. Think about what you can do to scale your feedback and give your teams more space to operate independently for longer periods of time: e.g., approving of metrics and principles so that the rest can be filled out in detail.

Work to value experience and competence over relationships, so that people don't feel it's as important to bond socially with executives in order to advance.",4.0,2.0,5.0,4.0,5.0,4.0
2019-03-25, Area Manager,"Menlo Park, CA",Current Employee ,Facebook’s culture Changes with News Headlines,More than a year,0,Fanrastic culture with dynamic leadership. Perks are top notch.,Work life balance can be challengening in hyper competitive atmosphere.,Be kind to your employees. Hyper focus on always driving impactful projects quickly leads to burn out.,5.0,3.0,5.0,5.0,5.0,4.0
2019-04-05, Software Engineer,"Menlo Park, CA",Current Employee ,Opportunity to growth,More than 3 years,0,Engineers are expected to be very independent and proactive. You will growth a lot as an engineer and you will work with very smart people.,"It seems chaotic and un-structured. Your direct manager plays a big role on how your experience the company. As in any other company there are good and bad managers and Facebook as plenty of both. If you land with a bad manager, your are going to have a very bad experience.",The upper level management has a very clear idea on where to take the company. The expectation on the IC are high. The middle layer management seem to lack accountability and it's not uniform across the company.,4.0,1.0,4.0,5.0,5.0,3.0
