date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-07-26, Senior Software Engineer,,Current Employee ,"Great challenges, great people",More than a year,0,If you're one of the ~100 engineers here you'll be making a big contribution to the system that runs 10% of the internet. There are scale problems here that happen at very few companies this size. Your peers are competent and kind.,There's still more work to be done paying off tech debt from the early years.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-18,,,Former Employee ,Slowly,,0,"Amazing Tech
very smart people
great place to learn","Growing pains, political, inexperience middle management",,2.0,2.0,4.0,2.0,4.0,3.0
2018-05-07,,"San Francisco, CA",Current Employee ,Best place I ever worked,More than a year,0,"Super smart management team
Growing rapidly
Great technology making a real impact on major customers
Excellent work/life balance
Good culture and infrastructure for working remotely","Management team has been cleaning up the dead wood from startup mode but isn't done yet (includes people, processes, technology)
Brand recognition is poor for a company that has grown to $100M+
No 401k match","We have a great product, make sure the world knows who we are and why we're great!",5.0,5.0,5.0,5.0,4.0,5.0
2018-04-20, Engineering,,Current Employee ,Maturing organization,Less than a year,0,"The team tends to be mature and experienced, and there are a lot of smart folks.

* Tons of knowledge sharing/mentoring
* Doing things at scale
* Transparent, candid culture
* Working with people around the world helps broaden your perspective
* Executive support for core investment, diversity and continued cultural maturity","The org has a lot of cruft from 7 years of growth. We're all working together to fix it but it is painful. This can be found organizationally, architecturally and culturally.","Keep focusing on empowerment, cultural development and listening to your employees. More comms back and forth, more skip levels and focus on removing the pain points.",5.0,4.0,5.0,5.0,4.0,4.0
2018-03-12, Senior Sales Executive,,Current Employee ,"Exciting, growing company with great support of remote employees",More than 3 years,0,"- Management is extremely supportive, and executives regularly avail themselves to help with day-to-day efforts
- Processes and tools in place to support remote employees very well
- Great compensation and quality of life
- Excellent focus on hiring great people, who focus on customers and make you feel good about what you do","- Some operational tasks are still managed with Pacific Time in mind, so getting things done in a timely manner on the East Coast can be difficult","- Keep up the good work, and focus on expanding operations into the other Fastly offices, so support can be local to those employees.",5.0,4.0,5.0,5.0,5.0,5.0
2018-03-15,,,Current Employee ,A Great Place,More than a year,0,"Fastly has a great culture that's collaborate, open and accepting. Individuality is respected, people are authentic. There isn't a lot of BS or ego.

There's lots of opportunity and management seems to support internal transfers. Promotion happens from within regularly.

And like other reviews have said, the benefits and perks are great.","I think because the company has grown quickly, communication can get stuck within certain groups and not flow to every individual. It's fixable and individuals are very willing to share what they know if asked.",Keep it up - this place is great.,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-13,,"San Francisco, CA",Former Employee ,Losing all the good because of the bad at the top,More than a year,0,"Great office space and location with fun events and people. Honestly, the people are why I stayed as long as I did (2 yrs). There are departments/teams doing amazing things. Loved the Slack based culture overall, very big on dogs and animals in general, very SF startup vibes.","C-Level execs are the poison of the entire company. Core values are transparency and communication, but this is a joke within the company culture itself. They ask for feedback but it's not truly heard and nothing changes. Reviews are pointless. They really need to listen to employees at the lowest level. Lots of turnover. It was a great place to work, at the start of 2017 it all went pear shaped. There's zero management training, so you end up with managers who have never managed anything. It can be a real nightmare.",Lose the egos at C-Level and get some fresh blood in there who are open and passionate about creating a new/better culture or you will continue to lose your best talent.,1.0,2.0,1.0,1.0,3.0,1.0
2018-02-01, Anonymous,,Current Employee ,Solid company with big upside,More than a year,0,"There is an incredible opportunity for Fastly to be a very successful company and I truly believe it will, but it's going through natural growing pains. We are awkwardly phasing out of early stage/no process start-up mode and turning into an organization that actually has scaleable practices/processes.

The product is excellent and engineering teams are top notch
Still a start-up but maturing fast
Convenient location(s)
Friendly company culture
100% health insurance coverage
Flexible schedule(WFH) for most teams and believes in a healthy work life balance.","Communication is probably one of the biggest internal challenges we face as an organization but I find that a constant problem with most start-ups.

We have a wide variety of personalities/people(some of the most unique and interesting i've ever worked with) and overall, people are respectful and engaging. There is still a lack of structure and knowledge due to a lack of experience on some teams but passion and drive fill in the gaps.

It's not a company that will necessarily tell you when there are issues with performance but their solution is to just quietly let the person go.

We still have some early employee's mixed in with a lot of new team members. You will see some preferential treatment but that should eventually phase out.

Diversity- apart from the mostly white male sales team, the organization seems to have industry standard diversity stats(not great but the entire tech industry has a problem). The organization is aware they need to improve and will even talk about it but little action is done.

Perks- lunch catered only on Monday and Thursday. I feel the bay area standard is free lunch provided everyday. (yes, we live in a bubble)","Continue to focus on the bigger picture but also take time to listen to your employee's and take action.

Don't be afraid to have honest conversations with people/teams when things are not going well or targets are missed.

Work on retaining your top engineering talent.",4.0,4.0,4.0,4.0,3.0,3.0
2018-01-27, Deal Desk Manager,"New York, NY",Current Employee ,Great culture and work life balance,Less than a year,0,"Competitive pay, fun culture, smart people, progressive values.",Diversity needs more work but that is being addressed.,Keep up the good work.,5.0,5.0,5.0,5.0,5.0,5.0
2018-01-29,,,Current Employee ,Executive,More than a year,0,"Well run, professional companies. Excellent Management and all around great values.",None identified- normal growing pains,Keep up the good work,5.0,5.0,5.0,5.0,5.0,5.0
