date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-03,,,Current Employee ,Fast-growing startup,,0,"--flat organizational structure
--many smart people","""When companies grow quickly, there are more things to do than there are people to do them. "" -- Sheryl Sandberg",,5.0,3.0,5.0,5.0,4.0,4.0
2019-03-22, Engineering,,Current Employee ,Driving forward,Less than a year,0,"Working impressively as a team, even when there is conflict
Staying focused on the most important deliverables
Finding ways to include fun in with all the hard work -- it still is a startup","It still is a startup, so there are a lot of lower-priority things that need to be done can't be done right now",Continue to focus on core values,5.0,3.0,5.0,5.0,4.0,5.0
2018-12-17,,,Current Employee ,Amazing team to work and grow with...,,0,"- Amazing product that is proven to deliver significant to large organizations
- Great teamwork and fun atmosphere
- Nice office in the heart of SoMa
- Solid benefits package","- Some typical start-up growing pains like changing priorities
- The workload can be challenging at times",Continue to give employees autonomy to do great work.,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-17,,"San Francisco, CA",Current Employee ,Cutting Edge,,0,"Culture of camaraderie
Redefining a new space with hyper personalized customer interaction technology
Work Life Balance","A lot of work, but I have a sense of accomplishment when it is all done
Growing as a team can be overwhelming at times","Continue to work together
Focus more on diversity and inclusivity
Thank you for giving me an opportunity to join the Formation team",5.0,5.0,4.0,5.0,5.0,5.0
2018-12-19,,,Former Employee ,Unfortunately it's all true and Formation has gone downhill,,0,"- Wonderful opportunity that was squandered
- Many smart, dedicated people
- Good pay and benefits
- Centrally located in SF","- Dysfunctional and inexperienced founding team that wreaked havoc
- CEO that gets knocked over with a feather and listens to whoever has his attention
- No product or product strategy
- Manipulative and backstabbing culture","Realize that your actions mean a whole lot more than what you say. Culture, principles, etc are only meaningful when you demonstrate them in practice. Treat people with respect and they will respect you and go beyond in return.

Don't try to manipulate reviews about the company. It makes you look bad. For example, the negative review on 12/12/2018 was quickly followed with three positive reviews on 12/17 that had barely any content and looked like boilerplate.",1.0,1.0,1.0,1.0,3.0,1.0
2018-12-12,,,Current Employee ,Lots of false promises,,0,"The culture is really good on paper and the CEO is super friendly to everyone, so he is well liked (but generally viewed as weak and not ready for the job).","Unfortunately a lot of what happens is all talk and the reality does not match. It took me several months to realize that there is a lot of back-stabbing and infighting in the leadership and among the founders which tears at company culture. I'm also really worried about how difficult it has been to get our Tech house in order. we are constantly revamping our platform and cannot meet client needs. The CEO over sells what we can do ant clients are inevitably disappointed. I loved the claimed company culture, but the longer I'm here the more I realize that it is mostly talk and there is a lot of toxic conflict between the builders and the business/CEO.","Stop the conflict. I was told that the CEO has had a falling out with multiple tech leaders including his co-founders CTO, VPE etc. This is at the core of the problems at formation. I would recommend that the CEO move to more of a sales role and find a replacement who can work with tech better, for the good of the company.",1.0,1.0,1.0,1.0,1.0,1.0
2018-03-13,,"San Francisco, CA",Current Employee ,Great place to work!,More than a year,0,"I've really been enjoying my time at Formation. I've been at the company for about 1.5 years and have seen the company grow a ton. We have lofty goals that are challenging, and you get to work with some of the best engineers, product managers, and business people around the world.","It's a startup so it's hard work, but the company really respects the need to recharge and have a life but it's definitely not a huge structured company. It's great for people who are self motivated and driven.",Keep up the transparency and approachability! Management is very accessible even though we're looking for more to join.,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-05,,,Current Employee ,10/10,Less than a year,0,"Good pay and benefits, flexible schedule, WFH, great camaraderie and extracurriculars.",No cons that I can think of.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-02-13,,,Former Employee ,High hopes at first followed by a negative culture trend,,0,"- Functional programming (Haskell)
- Good health insurance and benefits
- Great pool of engineers and product talents
- Somewhat flexible work hours
- CEO has a healthy vision for the company","- Some managers are just yes men & women. They care way more about how to please the CEO than helping their teams grow.
- Decisions are made based on personal relationships and ‘who is the boss’. Rather than metrics/work ethic or the quality of an idea.
- People have realized speaking up is not a good idea because the ones who do are either fired or working under a fine tooth comb, with everything they do being criticized.
- The HR climate has become toxic.","Ensure your management picks match the vision you want to make, you are still a growing company and they have a big impact on your employee’s experiences",1.0,4.0,1.0,2.0,4.0,2.0
2018-01-05,,"San Francisco, CA",Current Employee ,Couldn't be any happier!,Less than a year,0,"- Amazing leadership--smart, authentic, caring, transparent, involves everyone and genuinely listens. You, your voice, your ideas all matter and are encouraged

- Smartest people I've ever worked with who never seem to get tired of me constantly asking questions

- Huge opportunity for personal impact and growth, and very cool to be working with only the largest, most well-known global companies as a Series A startup

- Flexible everything--unlimited PTO (that people actually use), WFH, autonomy, etc.

- Building something incredible and having a lot of fun along the way","- Not necessarily a con, but as with any fast-growing company it comes with its own share of unique (but fun and interesting) challenges, and you need to be adaptable and open to change as the company continues to evolve and grow",Keep it up!,5.0,5.0,5.0,5.0,5.0,5.0
