date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-30, Product,"San Francisco, CA",Current Employee ,Great company!,More than 3 years,0,Solving a real problem for businesses. Revenue in core product and new product growing like crazy. a chance to build a huge company.,Too many Bay Area kids who don’t understand what’s hard work and how to build a business. Management shouldn’t try to please the wrong people.,"Hire more experienced employees, add customer facing operations outside of Bay Area.",5.0,5.0,5.0,5.0,5.0,5.0
2018-12-06,,,Current Employee ,Company on a mission!,,0,Building something unique and huge. Much bigger vision than it initially seemed when I applied. Sharpest people I worked with. Mission is inspiring and there is electricity in the air.,Feels like mismatch between internal sf office cultures. Not the right environment if you want close mentorship and hand holding. Customers and revenue growing very very quickly which put a lot of pressure on the infrastructure,Invest more in HR and professional development,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-30, Engineer,"San Francisco, CA",Current Employee ,A special place,More than a year,0,Friendly intelligent and capable co-workers - small company makes it so that individuals can have greater impact - cool projects - good work life balance,"Not enough job advice or feedback, management has no time for mentorship.","Keep doing better and better, but make sure to look back and fix as many ongoing issues as possible while continuing to press forward.",5.0,5.0,5.0,5.0,5.0,5.0
2018-11-29, Senior Account Executive,"San Francisco, CA",Former Employee ,"Poor leadership with little experience, the last year has been really tough",More than 3 years,0,Core product is good but doesn't really help our customers.,Where do I start? Poor leadership with lack of experience. Smart people but not proper management for the stage of the company. Lots of turnover. Haven't raised money in forever. New products aren't taking off. Did I mention the turnover?,"Fix the turnover problem. Especially in Sales, Marketing, BD and Support, it's not healthy. Start thinking about helping our customers and not taking advantage of them. Start thinking of our employees as people and not numbers.",1.0,2.0,1.0,1.0,1.0,1.0
2018-11-10,,"San Francisco, CA",Former Employee ,Going downhill fast and picking up speed,More than 3 years,0,Good office location. Some free snacks.,"Turnover is a real issue and concern. Especially on the sales, marketing, customer service and business development teams. We can't seem to keep any good employees. The new trend here is lots of female employees are now quitting. Executive team is not genuine or authentic. Only cares about themselves.",Work on fixing the turnover issue. Hire or train the management team on how to keep employees. Stop focusing on numbers declining but instead on developing people.,1.0,2.0,1.0,1.0,1.0,1.0
2018-09-22,,,Current Employee ,A revolutionary company,More than a year,0,"Big impact, truly helping make people's lives better.
Work with some of the best talent in the world, if not the very best.","Really not for everyone. If you are still trying to find yourself or figure out who you are professionally this is not the place to do it. You can't succeed here if you are not with a strong need to win, focused, working hard.",Professional development still needs work especially at entry-level,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-22,,,Current Employee ,"Great company, great people",,0,"Brilliant people, I have never been surrounded by so many talented and hard-working people. Always a new challenge, never boring.",It's starting to get large and more red tape is creeping in. Highly intense work environment and hiring needs to fit the challenges.,"Praise your teams when they do well, don't be afraid to fail.",5.0,5.0,5.0,5.0,5.0,5.0
2018-10-03,,,Former Employee ,Sweetest and Warm,,0,Good company to work and kind co-workers,need employ more people to move fast,,4.0,4.0,4.0,4.0,4.0,4.0
2018-06-28, Business Operations Manager,"San Francisco, CA",Current Employee ,Business Operations Manager,More than a year,0,"Fundbox is by far the best place I have ever worked. Company leaders give you ample support to learn and develop, while also giving you the autonomy to operate without someone constantly looking over your shoulder. The company is also open and honest as to the businesses path moving forward and people are excited and happy to come in to work each day. All of this has lead to a incredible growth trajectory!

-Amazing leadership- Your truly treated like part of the process.
-Family Environment.
-Great work life balance.
-Great office perks.","None that I can think of. Fundbox is growing at hyper speed and while at times, as with all startups, it can take some adjusting, we work together and everyone has a voice in making this a great place to work.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-27,,,Current Employee ,FUNdbox,Less than a year,0,"Great management and lots of opportunity for growth. Office perks like free food, snacks, happy hours, company outings and team outings. The employees here are very welcoming and very open. The open space setting of the office brings out a friendly happy vibe.",Conference rooms are hard to come by,,5.0,5.0,5.0,5.0,5.0,5.0
