date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-27,,,Current Employee ,Amazing place to work,Less than a year,0,"Dynamic energy, very dedicated people, feels like a family when you come to work",Sometimes people are too scrappy/inventive with how to get things done,,5.0,5.0,5.0,5.0,5.0,4.0
2019-03-19,,,Current Employee ,Fantastic place to work,More than 3 years,0,"- Hard workers are rewarded
- People care about your career path (I've had 3 distinct roles, and a say in what I'm doing)
- The smartest people I've ever worked with",We work hard and we try to accomplish more than is possible -- this can be tough and means I need to take PTO regularly to prevent burnout,"IMO, it call comes down to this (and we're getting better at it)... We need to nail our top-line goals and priorities, make sure we account for cross-functional dependencies, filter everything down to all levels, and stick with the plan.",5.0,3.0,4.0,5.0,4.0,3.0
2019-03-16,,"San Francisco, CA",Current Employee ,"Inspiring, motivating work with an amazing culture",Less than a year,0,"I decided to take a job at Getaround because of the passion, intelligence and genuine spirit of the people I met with during my interview process. Working there has only been more inspiring and motivating, this is a great place for people who want to contribute to a truly special company and vision.","Getaround is growing, and there will be pains that come with that process. However, for anyone with a spirit of adventure that wants to build something - this is a great place.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-15, Finance,"San Francisco, CA",Current Employee ,Explosive growth and super talented coworkers,More than a year,0,"I’ve been working here a couple years and love the company. There is tremendous opportunity for career advancement and I’m surrounded by a whole bunch of really smart people who make each other better.

The company is growing super fast, which is really fun and also challenging. This really isn’t the environment for people looking for a place to relax and collect an easy paycheck. Getaround is a marketplace business with hardware, software and operations that all move quickly and have a lot of interesting challenges and fun problems to solve. Everyone seems to be working hard and there is great teamwork both within and between teams.

Like so many other startups, there are a bunch of cool perks... the free lunches and unlimited snacks are awesome. Plus free credits to use for Getaround cars.","Management has high expectations, not everyone will succeed here. To be honest, I really like Getaround because the company doesn’t tolerate lazy people.","Keep your foot on the gas, rocket ship growth is fun.
Increase the monthly employee trip credits.
Add a 401k match, it’s becoming an industry standard.",5.0,5.0,5.0,5.0,4.0,5.0
2019-03-11,,,Current Employee ,All things are pointing in the right direction,More than a year,0,"Curious group of people, doing great work. It feels like executives and my manager really hear concerns and act on them quickly.

Compensation is reasonable and improving. So is the information flow around product updates. There's virtually no politics.

Benefits and perks are competitive.",We could use more people on my team as there's a lot to get done. Hiring takes a while since we don't have recruiters.,"Not sure how headcount gets allocated, but we need more. Don't assume the current team can always take on more.",5.0,3.0,4.0,4.0,5.0,4.0
2019-03-18,,"San Francisco, CA",Current Employee ,An exciting time to join such an innovative team!,Less than a year,0,Great perks and wonderful office environment. There is a lot of commitment to personal and professional growth. From day 1 on the job the conversation of what my goals are have been initiated and taken into account. I have received a lot of support from upper management. Open office where you are able to interact with all departments and executives. I've never felt a sense of hierarchy. Everyone is very collaborative and willing to share what they are doing. Great learning environment.,Some growing pains as the team grows and new roles are added. Constantly building out new processes. Still building out our culture which can feel a big fragmented currently.,Respond faster in Slack!,4.0,4.0,4.0,4.0,4.0,
2019-03-05, Operations Coordinator,,Current Employee ,First Startup Job,Less than a year,0,Awesome Work/Life Balance and Flexible Schedule,No clear plan for career growth in city teams,,4.0,4.0,4.0,2.0,4.0,4.0
2019-01-30, Growth Specialist,"Boston, MA",Current Employee ,Great Company and Culture,Less than a year,0,Great culture and coworkers. Very flexible hours. Fair commission policies and bonus incentives!,Cannot think of any cons. Maybe more frequent updates regarding company growth,Keep doing what you're doing! Try not to lose the start-up vibe that the company has.,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-27, Senior Software Engineer,"San Francisco, CA",Current Employee ,Fast-growing startup with solid offering,Less than a year,0,"Tangible consumer facing product that aims to reduce the rate of car ownership and make better use of existing parked cars.

Lots of room for growth and new features to make renters and owners lives even easier and hopefully allow more people to live car-free. Regular launches in new markets.

Competitive pay. Good benefits (full medical plan). Nice office. Good, helpful people.","The tech stack is a mix of very new, cutting edge tech and old. Thankfully we’re moving away from the old tech.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-24, Brand Ambassador,"Boston, MA",Current Employee ,Brand Ambassador,More than a year,0,"- Flexible hours for full time students
- Great corporate staff","- Hours/events are seasonal, so workload can be inconsistent",,4.0,5.0,5.0,3.0,4.0,5.0
