date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-08-22, Fullstack Engineer,"Palo Alto, CA",Former Employee ,Great workplace to intern and learn a variety of skills,Less than a year,0,"- High engineering standards which translate to learning how to write code that is maintainable, well-tested, and readable.
- Because it's a lean team, you're given plenty of opportunities to learn about different aspects of the business. Despite being hired as an engineering intern, I've learned about data science, marketing, and growth in my short time here (3 month internship).
- Direct interaction with senior leadership who you can lean on for asking questions, and who are willing to do 1-on-1 mentorship discussions.","- Because the company is moving fast, it's tough to document all the ongoing projects in a very detailed way. This can mean a steeper than average learning curve when starting work on a project.
- The engineering team is now spread out over 3 offices, and working remotely can bring its own challenges (more challenging to collaborate, time-zone differences, reviews can take longer than expected).",- Continue making your employees feel involved in the decision making process.,5.0,4.0,5.0,5.0,4.0,5.0
2019-04-03, Inventory Specialist,"Stockton, CA",Former Employee ,"Good people, good hours",More than a year,0,I liked my schedule and the inventory manager was the best in the warehouse. He definetly has his team's best interest at heart .,Should pay more and lacks communication,Better communication between leads and being out in warehouse more may be helpful. Overall the leads all work hard and I got along with them all.,4.0,4.0,4.0,3.0,3.0,5.0
2019-02-20, Fulfillment Team Leader,"Lancaster, PA",Former Employee ,Discriminates and allows sexual harasment,Less than a year,0,They will mislead their employees.,Discriminates and allows sexual harassment.,I don't understand how an employee gets promoted to being fired after putting in a sexual harassment complaint against a newly hired supervisor. And all they did was pull him out and made him apologize to me and then 6 days later I was terminated. If a employee apologizes for their actions that means that they confess of their wrong doing. Which meant that charges was suppose to take place along with a investigation.,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-22, Data Scientist,"Palo Alto, CA",Current Employee ,"Food, Data and Challenges",Less than a year,0,"Working with brilliant people who give their 100% to everything they do. Lean and dynamic where you are encouraged to show your skills, creativity and take initiative. You'll learn new things every day.","Sometimes, work done ends up going nowhere but that is expected when working with such dynamic startups. More planning and communication will always help.",,5.0,4.0,4.0,4.0,3.0,5.0
2018-08-22, Data Scientist,"Palo Alto, CA",Current Employee ,Effective & Lean Startup with great potential to grow!,Less than a year,0,"Working with a bright, dynamic and highly motivated team with diverse skills. Open to ideas from employees on business growth.",401K benefits are not provided yet.,,5.0,5.0,5.0,5.0,4.0,5.0
2018-08-21, Data Scientist,"Palo Alto, CA",Current Employee ,Data-driven startup with huge growth potential,More than a year,0,"- Small dynamic startup where you have the ability to learn many new skills and contribute to the success of the company in many different ways, which is great for someone early in their career like myself who is still exploring strengths and interests
- Upper level management listens to and acts on employees' ideas for improving the business; I feel like I'm making a big impact to the success of Gobble
- Culture is one of hard-working, passionate individuals that inspire me to do my best work every day - definitely the best job I've ever had and I'm excited to see where I can go with it","- The company is very lean and I'm looking forward to upcoming senior-level hires that will offer expertise and mentorship to enhance the effectiveness of the overall team
- No 401k benefits",- Proactively hire strong candidates to support future growth in key areas of the business,5.0,4.0,5.0,5.0,4.0,5.0
2018-08-02,,"Lancaster, PA",Current Employee ,Exciting & Challenging,Less than a year,0,"Easy to make an impact
Feels good knowing families are enjoying our food
CEO who is involved and visits facility","Fast paced
Refrigerated environment",,5.0,4.0,4.0,4.0,3.0,5.0
2018-07-25, Quality Control,"Stockton, CA",Former Employee ,Worst place - unprofessional,Less than a year,0,"They listen to music in the warehouse, fun high school like environment with lots of good drama","Management has their head up their butt, HR rep is very rude and uncaring, disorganized, people will blame you for their mistakes, lazy co workers who drink and do drugs on the job doing the bare minimum, new workers get yelled at for doing the same things as the older workers, lots of favoritism, they with held 88 hours from three months worth of pay checks I didn't know until I gave my two weeks- a month later I got a $1300 check for under payment, over working employees and not listening to advice from the line, I was personally being harrassed by a few co workers and had to quit after working there for three months. It was the worst experience of my life I have never been treated so poorly.",Get your act together. Gobble is hemorrhaging money and it's only a matter of time before you get shut down for lack of proper food handling and storage. Wise up to all the people who do drugs and drink on their breaks and lunches. So many reasons to randomly drug test your workers and yet you're not! That is going to cost you when some coked out forklift driver runs someone over.,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-11,,,Current Employee ,Exciting Challenge Every Day,More than 3 years,0,"I get to work with some of the smartest and hardest working people I have ever met. Each day I am challenged to become the best version of myself and to share that with a team of people who are doing the same thing. Everyone has a common goal and purpose which is to provide families with amazing healthy and easy to prepare meals.

There are a lot of challenges along the way each day, after all it is still food service, but the core team of players from CEO to Forklift Operators, to Kitchen Prep to GM's and the Chefs all have a lot of passion and grit.","The management seems to focus on only hiring the best, which causes longer delays in hiring. That sometimes means you have to wear a lot of hats, and it takes longer to move singular projects along when you are working on 12. That being said, when the new hires do come, they usually provide not only excellent value, but a level of ownership that catapults the company ahead in huge leaps and bounds.","Continue to hire smart, passionate, and engaging people. A stronger benefit package would be nice as well for those that are invested in the company, that the company invests in them.",5.0,5.0,5.0,5.0,4.0,5.0
2018-06-11, Project Manager,"Palo Alto, CA",Current Employee ,Fun and Exciting place to work!,More than a year,0,"We're a small company, but everyone is so dialed in. The entire executive team is focused on growing the company and taking care of it's customers and employees. The founder of Gobble - Ooshma spends time in each facility and each operation talking to the troops and keeping her finger on the pulse of the company! She insists that her executive team does the same - so all executive team members can be seen in the operations. Gobble promotes a lot of people from within as well, so all employees who have a strong desire - can really grow with the company! The people are nice, that's the main thing on any job!","It's cold in our production areas, so you can't work in production at Stockton CA. or Lancaster PA , unless you like the cold.","Spend most of your management time listening to and working with the people who are committed and making it happen. Don't let the ""squeaky wheels"" suck up all the attention.",5.0,3.0,4.0,4.0,4.0,4.0
2018-06-11,,,Current Employee ,Have Fun Feeding People,Less than a year,0,Dynamic work environment where creativity is encouraged. Plus it's a food company so we eat really well.,"It's a start up, so some programs and plans are in a continuous state of flux.",,5.0,4.0,4.0,5.0,5.0,5.0
2018-06-06, Operations Management,,Current Employee ,Operations Management,Less than a year,0,"The company has a great culture and values every team member. They are very transparent, strive to be the best and provide the best experience to their customers. As a new company there is plenty of opportunity to evolve programs and implement best practices. Employees can get a week's worth of meals for free!",The company observed holidays aren't as many as I was acustomed to. This is because high quality perishables don't have a long shelf life. We can't produce a large volume and hold it for days. This would compromise quality.,Stay the course.,5.0,4.0,5.0,5.0,4.0,5.0
