date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-14, Small Business Sales Representative,"Denver, CO",Current Employee ,Best Company To Work For--Hands Down!,Less than a year,0,"-great base pay
-unlimited PTO
-amazing company culture
-catered healthy lunch every day/ free snacks
-AWESOME people
-growth and promotions
-ability to feel always included","-Lots of information for new employees (can be overwhelming)
-long ""boot camp""",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-13, Anonymous,"Denver, CO",Current Employee ,The intersection of fun and hard work,More than a year,0,"Gusto is awesome - and for me, it is the perfect blend of ""small startup fun"" and still having enough structure/ resources that it is not madness.
-Very good work-life balance (PTO, schedule flexibility, WFH etc)
-Genuinely challenging work (While not the flashiest space, the domain is complex)
-Amazing people (both nice and smart)
-Equity! (Slice of the pie of a 2 billion company)
-No micromanaging
-Diversity and Inclusion top of mind and actually walk the walk
-Great benefits (catered lunch, free travel at 1 year anniversary, healthcare, etc)","The main cons with Gusto are honestly the best parts - it really just depends on what you like. i.e Scaling at a crazy rate and still experiencing startup growing pains. If ""Change is the only constant"" does not sound appealing, then Gusto may not be the happiest place for you.
-Super fast face growth - this can be a lot to handle and if you take part of interviewing it feels like you have two jobs
-There were higher cash offers out there so if you do not value equity you can likely find better offers
-Start up ""quirks"" - i.e no shoes, unique terminology (employees = gusties, PE = manager, etc) - Not a con in my book but if you looking for somewhere conventional then Gusto may fall short",Keep doing what you are doing! Gusto is unique and that is the best part about it!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-06, Recruiting,,Current Employee ,Phenomenal product filled with passionate people!,More than 3 years,0,"+ Amazing product. Gusto is needed in the market - we have an intuitive, easy to use product that is truly helping the lives of so many small businesses. When you can believe in your company and the product, it makes your passion for work so much more!

+ growing company means a lot of opportunity for career opportunities. I've had the opportunity to work within 2 different organizations and have had my team's full support for my career growth and progression. The timing made sense for me professionally as well as aligning with the business need.

+ Welcoming environment. Gusto is inviting, inclusive and welcoming to all Gusties. Coming to work every day to welcoming faces is just an added benefit of loving the job.",With growth comes a lot of change - which is not necessarily a negative thing! We have very open communication around what change is happening and people empowerers will explain the 'why' behind it.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-13,,,Current Employee ,Great but tiresome,,0,"-Awesome people to work with
-So much to learn!",-Being new during the peak season can be stressful,,3.0,,,,,
2019-02-21, Recruiting,"San Francisco, CA",Current Employee ,"Fast-growing, customer centric & still shoeless!",More than 3 years,0,"I've been a full time employee at Gusto for over 3 years. I love that I work at a company that is actually solving a meaningful problem for an underserved market. Gusto is a mission driven company and genuinely focuses on doing the right thing for our internal employees and our customers.

What has kept me at Gusto? I get to work with talented people, working on a challenging problems, and have had incredible career growth along the way. I love that my day to day work has a high level of ambiguity, ownership, visibility, and impact .

Even though we have grown quickly I feel like Gusto has stayed authentic to our values and maintained a consistent culture. For example, we are still a shoe-less office which might seem crazy given that we are over 850 employees. At the same time, I appreciate that we have kept the tradition alive because it aligns to our collaborative approach to work and ""no egos"" mentality.

On a personal note, Gusto has been a sustainable long-term career fit for me because I have flexibility when it comes to taking time off and working from home when needed. We have ""flexible PTO"" and I typically take off, ~4 weeks/ year. When life happens and I can't make it into the office, my manager has always been understanding and supportive.",We've grown from 150 employees to over 850 employees in 3 years across two headquarter locations. Gusto is scaling quickly and with any scaling company there are growing pains. The specific growing pains that I have experienced is that our internal processes and tools are always catching up to match the size and stage of the business.,Continue to focus on our internal teams- I'd love to see Gusto roll out a 401K matching program for employees!,5.0,5.0,5.0,5.0,4.0,4.0
2019-02-01,,"Denver, CO",Former Employee ,Good place to start Career. No Growth,More than a year,0,"-Great Culture
-Everyone is friendly
-Catered lunch
-Great Benefits
-Opportunity to learn fast and make an impact
-Great team environment","-Some managers are unqualified
-Pay is way below market depending on position
-Little room for growth",,3.0,5.0,4.0,3.0,4.0,5.0
2019-01-10,,,Current Employee ,Great place for career growth and opportunities to learn many facets of the business!,More than 3 years,0,Great people and a mission you can stand behind!,Work life balance is a struggle.,,5.0,3.0,5.0,5.0,3.0,4.0
2018-12-26, Account Associate,"Denver, CO",Current Employee ,"Don't be fooled by the ""amazing"" benefits",Less than a year,0,"-Free lunch
- Flexible work hours
-Frequent company events","-No vacation time. Don't be fooled by the ""unlimited"" vacation time. You will never get it. You will work, work, work, and wonder when that vacation time is coming, and then it will be back to work, work, work.
- Your job description will not be what you are doing.
- You won't be able to take your first year ""fly-away"" because your time off will be black listed. Unless you plan to take off during very specific times in the summer, forget about it.
- Your salary does not match the amount of responsibility you will have. You will take on the workload of an account manager (usually paid between 60-70k in the Denver area), but be paid at an associate level
- Despite being a theoretical owner in the company, you will have no idea what is going on with management
- A very ""clique"" high-school environment. Many individuals with inflated egos who make others feel inadequate. If you were not part of the ""in"" crowd in college or high school, you're going to have a hard time fitting in here
- A shocking lack of diversity. Coming from a lower-middle income family, an example of individuals who would benefit from small-business support that Gusto provides, you will find very little of this at Gusto. Think of an ivory tower. That is what you will find. I have encountered nobody from a similar upbringing at Gusto.
- No matching 401k. With the vesting in stock, this is almost understandable, until you learn you are not fully vested until your 5th year
- Your work will be an albatross around your neck. There is no escaping it. It may seem like a salary job, until you see the wage paycheck. Be prepared to constantly check your email and internal messaging system, even on weekends, evenings, and on holidays. Again, this would be acceptable if expectations were set beforehand and wages were set at what a standard salary job is in the Denver area.
- Your career opportunities will never be clearly defined. I have not been employed at Gusto for a long period of time, however, more tenured employees have expressed that that there is a cloud around future career opportunities.
- Work-life balance is abysmal. Unless you are single and have nothing else to do, you will be hard-pressed to find time for your out of work life. Gusto will be your life - at an entry level pay. Unacceptable unless you have never had a job.
- If you are right out of college, this may seem like an amazing opportunity. However, if you have had a job in the finance industry, particular in the Denver area, you will quickly learn how abysmally underpaid you are at Gusto","Be honest about the jobs that are posted. They certainly do not boast an ""entry level"" workload. I have had careers with significantly less workloads with similar pay.

Also, please be transparent about upper-level management decisions at Gusto. Many ""Gusties"" don't know about decisions that will affect their jobs until months down the line, despite, again, being theoretical owners in the company.",2.0,1.0,4.0,1.0,1.0,1.0
2018-11-23,,"Denver, CO",Current Employee ,"Great Mission and Values, but their are growing pains",Less than a year,0,"Incredible people to work with, and even more incredible mission. There is positive intent behind every decision made here.

Receive your own /macbook to work on everyday, you can take it home too.

Benefits are incredible. 100% of Medical/Dental and Vision, free catered lunch/free flowing snacks, beautiful office spaces.","Company is growing a bit too rapidly, internally and externally and you can see several teams feeling this quite a bit. A slower more steady growth would be much easier on employees.

As a startup, its a all hands on deck mentality, and there is mandatory OT which can make work/life balance difficult. Interesting/hard to work around time off policies around the holidays.

No 401k matching.

Starting to lose the family feel, as Gusto is growing so rapidly.",,4.0,3.0,5.0,3.0,4.0,5.0
2018-11-16, Software Engineer,"San Francisco, CA",Current Employee ,"2 years later, still waking up excited for Monday mornings",More than a year,0,"- The biggest pro is definitely culture. It all starts with a high bar in our values-fit interview. We've managed to curate some of the most talented, thoughtful, and humble people that I've ever had the chance to work with.

- Plenty of career opportunities. Working at a growing company means that there are always plenty of things to do and ways to stretch yourself.

- Mentorship is valued and really easy to find. Everyone is incredibly helpful and wants everyone else around them to do well. As a result, it is easy to find support everywhere

- Opportunity to make a real difference for people. We've always focused on small businesses and hearing the stories from our customers really drives home the impact we are making.

- Flexible work hours and PTO. Free lunch and dinner (that is amazing).",- It's hard for us to call ourselves a startup anymore. As we've grown there are more and more faces that I don't recognize at the office. But we've done a good job of keeping the most important parts of the culture.,"- Continue thinking of ways we can improve our process power.
- Continue focusing on the customer with every decision.
- Start taking more risks and driving new initiatives.",5.0,5.0,5.0,5.0,5.0,5.0
