date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-04, Home Health Caregiver,"Sacramento, CA",Former Employee ,Loved it,Less than a year,0,I worked for this company when it was just Indecare. Great staff! Very supportive. They will work with you with everything. Great job if you’re a college student: THEY WILL GIVE YOU HOURS!!!,Sad when you have to leave your clients (or if they pass away),,5.0,5.0,5.0,4.0,4.0,5.0
2019-03-30,,"Austin, TX",Current Employee ,A Compassionate Company,Less than a year,0,"This has been by far one of the best companies I've ever worked for! It can be tough finding a start-up company in Austin that builds its foundation with compassion and the importance of culture. I feel incredibly grateful to have found Honor. There are so many tech start-ups in Austin but most of their products and services are for the millenial generation, which is great, but Honor is using technology to help the aging adult population receive the care they deserve. Every day I wake up, no matter how tired I may be, I am so excited to come to work because I know I have an incredible team of talented, kind, and empathetic individuals and the work we are doing has a direct impact on families and their loved ones. It's truly rewarding work and the company not only treats its clients with compassion but compassion is shown to everyone throughout the organization. There's never a time I have walked into work. no matter what office I was in, and wasn't greeted by someone with a warm smile. We are fed lunch every day that encompasses all dietary needs (gluten-free, vegetarian, and vegan), the organization is incredibly diverse, and there is so much opportunity for individual growth. I am happy to not only call honor my job but also my home.","There is always constant change in the organization. I don't mind the change but sometimes people in the organization can be a bit resistant to change, but as a start-up tech company change is inevitable and necessary for growth.",,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-29, Growth Marketing Director,"San Francisco, CA",Current Employee ,"Strong management, Clear long term goals, Collaborative work environment",Less than a year,0,"Team transparency is very high and work environment is highly collaborative. There is strong dedication to an iterative testing workplace focused on not getting too comfortable and constantly pushing the boundaries. The mission of the organization is wonderful and aims at a higher purpose than most Bay Area start ups. The senior leadership is also incredibly accomplished and focused on changing a broken system so that life for our parents, and each and every one of us is better as we age. Industry is also ripe for technological advances, making the work interesting and challenging on both a micro (daily) and macro level.","The challenge of working in a highly unregulated and somewhat antiquated market (small local business owners) is that standard marketing channels don't always apply. This isn't a con so much as a challenge. It is an ongoing challenge to reach our target audience, do so effectively in tandem with our sales organization and ultimately continue to find new and effective ways to reach our prospective partners.",,5.0,5.0,4.0,5.0,5.0,5.0
2019-03-29,,"Concord, CA",Current Employee ,"Fast Paced, Plenty of Learning, Engaged Managers",Less than a year,0,"Our work doesn't just have purpose, it has tangible impact. We spend each day focused on setting up our caregivers to provide great care so that our clients can stay at home longer and so that their family members can have both mental and physical respite.

Executives and management are actively engaged in our professional development. There is a lot of transparency around strategy and how we are growing. I'm particularly impressed by the amount of focus on professional development at Honor. There is a lot of coaching and feedback available. I feel like my manager is a partner in my growth and is expanding the job opportunities available to me.

The team is fun, supportive, and everyone challenges each other to be better.",It is really hard and sometimes exhausting work. We are invited to be an intimate part of the team providing care to someones family member and the responsibility to do well is immense.,"I appreciate the transparency and how the company really feels like it belongs to all of us. Please keep doing that!

Also keep hiring!",5.0,4.0,5.0,5.0,4.0,5.0
2018-12-11, Sales,,Current Employee ,"Great Company, Strong leaders, Fantastic Mission",More than a year,0,Honor is trying to change an industry that needs more light to be shined on it.,"It's a startup, things break and that can be tough to deal with at times.","It would be nice if Senior leaders were more familiar with the job and struggles of the teams several steps under the,",5.0,5.0,5.0,3.0,5.0,4.0
2019-03-02, Care Team,"Concord, CA",Current Employee ,Used to be great place to come to work- management needs major improvement,,0,"Decent Salary, Good Benefits, Great Co workers, Amazing purpose","Employees stressed to their breaking point, If they don't like your honest feedback you are told you are being negative, employees are ""scared"" into conforming to ridiculous metrics and measurements, shape up or ship out seems to be the new motto, not interested in retention, employees do not feel valued.","I have been working here for well over a year- it used to be rewarding to come in every day and know that you made a difference in someone's life. Now we all feel like robots who have to live up to metrics and data in order to prove we are doing our jobs- The stress and anxiety is real- and the human touch is slowly withering away. We are discouraged from giving honest feedback about how we feel about all the changes and are accused of being ""negative"" if we do. We understand that Honor is a start up and things are always evolving and changing and that needs to happen! But when your employees are scared into keeping their mouth's shut there is a serious problem. We are the one's doing the work- I think our feedback and input should be invaluable. Our department has suffered tremendously over the last 4 months or so and morale is very low- but everyone is afraid to speak up- and that is sad. Many have left, have been fired, or are in the process of looking for new roles- and we all used to love our jobs. Management needs to take a step back and realize people don't leave jobs- people leave managers. It honestly feels like a dictatorship. Not a team where we (and our input) are valued.",2.0,1.0,2.0,3.0,4.0,2.0
2018-12-18,,,Current Employee ,all around awesome,,0,"management that is transparent, empathetic and caring with willingness to help, teammates who support and willing to discuss, mission and culture is top notch in health care companies tech i have worked at",can't think of any rn,2019 will be an amazing year for us! thank u,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-18,,,Current Employee ,Treated like slaves,More than a year,0,"Great salary, great coworkers, and great location","“Time off”, working a minimum of 10 hours a day, including weekends, no management training","Please ensure work life balance! There is “flexible time off” but you have to beg and plead to get some time off.

There is no diversity initiates, there are even smaller companies that have that! Come on honor! Colleagues have been begging to incorporate diversity, equity, and inclusion work and it is still not here! This is a shame! Honor doesn’t believe in diversity!

Stop giving us a lot of work! People are leaving like crazy! Every month, someone leaves. Soon, there will be all new employees here! Stop treating us like slaves by constantly putting more work on our plates! How can a company want to ensure seniors are living healthy but see us wither by working so much? Get it together!",1.0,1.0,1.0,1.0,4.0,2.0
2019-02-08, In Home Caregiver,"Los Angeles, CA",Current Employee ,Care Pro,More than 8 years,0,"Flexible hours, you get to pick the days to work, they offer bonus if you are needed on your off day.","Well, if you are not on a regular schedule sometime it's hard to pick up shifts on your app unless you call in request it.",none,5.0,5.0,5.0,4.0,4.0,5.0
2018-12-13,,"San Francisco, CA",Current Employee ,Great Workplace,Less than a year,0,It is a great place to work as they are true to the mission,It is a little bit uptight,,4.0,,,,,
