date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-25,,"Austin, TX",Current Employee ,Opportunities Abound,More than 3 years,0,"Overall, I think Khoros has a great future ahead of it. It's not the right place for everyone, so I would suggest anyone looking to join ask questions in the interviews to make sure you think it's a good fit for you.

* Amazing opportunities for all levels of the organization to grow in their career
* A lot of learning and options to expand your knowledge of how businesses work
* Decent benefits (including 4 / week lunch, access to gym, collaborative spaces, etc)
* Vision for what the company can be is phenomenal","* Still a lot of unknowns
* Disparate systems make for challenging day-to-day execution","* Focus on employee morale
* Don't underinvest in customer facing roles",5.0,3.0,5.0,5.0,4.0,5.0
2019-03-01, Strategic Sales Director,,Former Employee ,Great company,More than 3 years,0,Great company with lots of perks,"Just acquired by Vista Equity, so working through a number of pains related to the merger",,4.0,4.0,4.0,4.0,4.0,3.0
2019-02-26,,"Austin, TX",Current Employee ,Great Company,More than a year,0,Work life balance. Competitive pay. Great leadership.,Lunch isn't served on fridays.,,5.0,5.0,5.0,4.0,5.0,5.0
2019-02-01,,,Former Employee ,Smoke and mirrors,More than a year,0,"- Downtown office with parking.
- Some of the people who work there are creative, collaborative, and smart.
- Amazing SXSW parties.
- 100% covered health insurance.
- Free lunch 4 days a week & snacks.","- The politics and gossip here are insane. In general, anyone in a management role is way more focused on managing up then they are helping grow and support the team they manage.
- Middle management is a joke, personally speaking, my manager had no experience in leading (director level) and could care less about employee growth. I constantly asked for feedback and what I could do to get to the next level in my career and received no support or advice. I even took initiative and put together a growth plan for myself and walked him through it and it was pushed aside.
- Prepare to be chained to your desk or given the side eye if you leave to work from home or work from a coffee shop. There was little to no trust in employees to work autonomously.
- No growth opportunities.",Trust your employees more & give people growth plans.,2.0,3.0,2.0,1.0,3.0,1.0
2019-01-27, Doesn't Matter,,Former Employee ,Lithium+Vista Equity Partners - Spredfast people = bad newco,More than 3 years,0,"USED to be an awesome culture and workplace.
Executive team had a vision","the merger/acquistion resulted in an inordinate amount of lithium leaders staying and a huge amount of Spredfast leaders being shown the door. It was publicly stated in meetings that the newco by the new president and CEO that they wanted young , inexperienced (and cheaper) people to grow into roles...smacked of agism across the company","doesn't matter
too late",2.0,3.0,1.0,1.0,3.0,1.0
2019-01-15, Sales Director,"Austin, TX",Former Employee ,Good Job; enjoyed my time,,0,"Kind people, good product, snacks","high stress, high turnover, complex market",none,3.0,3.0,4.0,4.0,3.0,2.0
2018-11-20, Sales,"Austin, TX",Current Employee ,Sales,More than a year,0,"-Old leadership
-Product development
-People (old group)","Leadership at Spredfast used to have amazing leadership prior to the Lithium merger. Most of the original Spredfasters have left and now it is at least 50% Lithium. The C-suite of the new company seems formal, rigid & cold. It's too bad as Spredfast used to be awesome to work with & the culture was Play Hard, Work Hard.","Focus on all employees that remain; not just the Lithium folks. Decisions on layoffs were hastily done without even meeting or getting to know folks. Most, if not all, of the layoff decisions were made without any input from direct managers.

Chill out with all the formal changes. You are making the environment hard to be excited about.",3.0,4.0,3.0,3.0,3.0,3.0
2018-10-25,,"Austin, TX",Former Employee ,Remote online moderator in London,Less than a year,0,"Flexible working hours, online trainings",Cannot think of any cons,,3.0,,,,,
2018-11-08,,"Austin, TX",Former Employee ,Learned a lot but wouldn't dare to go back,More than 3 years,0,"free lunch. parking downtown. SOME really cool, smart people to work with. relaxed work from home and ""unlimited pto"" are really nice.

Getting to work for some of the biggest brands around is pretty awesome. Especially when you get to see your teams work in action on tv or a huge screen or whatever.

I learned a lot in my time here, but mainly only because most managers were not capable of doing their jobs, so the team basically had to do everything on their own and then watch as the managers took credit for the hard work done.","There is absolutely no career growth unless you want to suck up and brown nose the people above you. This causes people who have no business or experience managing a team to suddenly become your manager or get some other awesome promotion that is not deserved.
Workplace gossip is constant.
If you speak up because you and others on your team are unhappy, they'll find a way to shut you up.
Even before the merger, there was constant fear of lay offs and now it's only gotten worse.
Everyone in management has their own agenda and they don't care what they have to do to achieve their goals. Lies, shady actions, strange meetings... My time at this company reminded me of a high school filled with drama, only it's more sad because these are adults who know better.",Promote the people who deserve it. Listen to the individual team members. Stop trampling over the people who actually care about the company.,1.0,4.0,2.0,1.0,2.0,1.0
2018-09-26, Sales Engineer,"Madison, WI",Former Employee ,"Good Ideas, Great Freedom, Execution a bit Lacking",More than 3 years,0,"Put responsibility on the employees and kept out of the way
Good ideas on where to take certain products
Good office in Austin
Very intelligent people in some positions","Remote employees are neglected and forgotten
Product and Development on an island and don't work well with other departments
Integrations seemed random and poorly thought out while big ones neglected",Listen to the customer facing departments for suggestions on the product and integrations more as those departments are not in touch with the market as they should be. And pay more attention to remote employees as they are often left out.,3.0,5.0,5.0,4.0,4.0,3.0
2018-09-11, Vice President,"Austin, TX",Former Employee ,Cool Place,More than 3 years,0,"Really liked it....good team, great place.",Communication... it's like most growing companies. They could communicate better.,,4.0,5.0,5.0,4.0,4.0,4.0
2018-09-09,,"Austin, TX",Current Employee ,Spredfast Future is Uncertain,More than 3 years,0,"Some great and very smart people to work with. Good work/life balance and flexibility. Depending on which department you're in, challenging problems to solve.","So far it had been a good ride as I have a great manager and team members. But now that Spredfast was acquired by Vista Equities the future is uncertain. Vista is well known for hiring young, inexperienced and therefore more ""affordable"" people so we'll have to see what the impact of the acquisition will be.",,3.0,5.0,4.0,4.0,4.0,3.0
