date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-11, Intern,"San Francisco, CA",Former Employee ,Great learning experience,Less than a year,0,exactly what you need from an internship,you will not earn any money,pay your workers please,5.0,4.0,5.0,5.0,1.0,4.0
2019-03-13,,,Current Employee ,If it wasn't for the mission...,More than 3 years,0,"Staff and interns, especially long timers, are passionate, supportive and kind.
Impactful organization that has done well and has new, exciting initiatives.
Very strong internship and fellowship program.","Leadership - they don't seem to truly hear the voices of the staff. There's a lack of value and appreciation - not appreciating who has been there and done the work before they swept in. Hiring from the business world can be great - we need diversity and strong skills - but operating like a corporation in a cold way is not what we came for. There's a total lack of trust in the leadership. They get rid of people, who they say aren't needed, then hire for the roles again. This has happened multiple times in different departments.",,2.0,5.0,3.0,3.0,3.0,1.0
2019-02-14, Intern,,Former Employee ,Intern,,0,Amazing place to work at!,"Small company, little room for growth.",,4.0,5.0,5.0,3.0,2.0,3.0
2019-03-14,,,Current Employee ,Cocky leadership team,More than a year,0,"Kiva is an amazing organization with a great mission and vision; not to mention its impact.
High calibre of talented colleagues all over the world
Great location and office","The 'new' CEO and the leadership team are incredibly cocky. They are in a tearing hurry to get rid of everything that is 'old' instead of honoring it and building on it. This has led to deep discontent within the organization, that has led many to question what is valued around here (despite our new values).","A little humility would go a long way.. you can and must make changes for Kiva to have an even bigger impact. Evolve the new, more impactful Kiva in a way that is humble, mindful and respectful - these don't have to mutually exclusive. You don't have to trash the 'old' Kiva at every opportunity you get. Doing so will help you win real employee engagement and commitment, and help us have an even greater impact all around the world, which I know is what we are all working towards.",1.0,5.0,1.0,1.0,2.0,1.0
2019-01-17,,"San Francisco, CA",Current Employee ,Awesome organization,More than 5 years,0,"Great people who are talented, humble and hard-working; opportunities to contribute and grow in a lot of different ways; exciting new projects for the org; and a good benefits package.","As a non-profit, the pay is obviously less than most for-profit tech salaries in the area. There was also a fair amount of turnover in 2018, but I feel more confident in Kiva's future growth than ever.",,5.0,5.0,5.0,5.0,4.0,5.0
2018-11-27,,"San Francisco, CA",Current Employee ,Intern,Less than a year,0,Amazing people and learning experiences. If you have never had a real job this will teach you everything you need to know for when you enter the workforce.,Unpaid....a lot of work and responsibility yet still unpaid. I understand that its a nonprofit but they are very dependent on their interns which isnt sustainable.,,4.0,5.0,5.0,1.0,1.0,5.0
2018-12-07,,"Pawtucket, RI",Former Employee ,Was great way back when,More than 8 years,0,"Based on my experiences ten years ago, it was an incredible organization to work for with really cool people.","Once they started running into long-term funding problems, it became an inhospitable place to work. Bummer",,3.0,,,,,
2018-11-06,,,Former Employee ,Awesome people,,0,The people you work with,Communication as the organization grows and changes,,4.0,5.0,4.0,4.0,4.0,4.0
2018-09-17,,"San Francisco, CA",Former Employee ,Not what it used to be,More than 5 years,0,"There was no place like Kiva. Best team, culture, passion, talent out there. People deeply cared about making the world a better place and were doing everything possible to make that happen. You woke up excited to go to work because your coworkers were your family, and you were all in it together to truly change lives. There was absolutely no better work environment out there! Everyone wanted to work for Kiva, and you felt deeply appreciative if you were one of the ""lucky"" ones who landed a job. The salary was low, but you knew that working for a nonprofit, and everyone was okay with it because the culture and outstanding benefits made up for the difference in salary that you could be making at a for-profit in the Bay Area.","The new CEO has sadly changed everything. Rather than recognizing that the problem was with a lack of strategic direction from management, the CEO blamed all problems on staff. He is bringing in tons of people from the outside with no input from the current team and taking away responsibilities from current talented staff, giving all new projects to outside contractors. He claims ""new"" ideas as his own instead of recognizing that lower level staff have been working on these ideas for years and just never had management give them the green light to make them happen. The new exec team is largely very corporate and doesn't show signs that they are authentically there for the mission. It is run like any other tech company now and focused on technology, technology, technology instead of the mission (if people wanted to work for the latest technology, they could make 2x the salary at basically any other company in the Bay Area, so this is ridiculous). There is no input from the staff and existing Kiva users on how things can improve. Instead, it's the ""we need to revamp everything"" approach in order to be more like Amazon, Facebook, etc.

Half the staff has turned over in the last ~12 months. Terrible morale that is not acknowledged by the exec team despite constant attempts to get them to talk about it. All people that are still there that aren't recent hires are looking for new jobs.",Your team is your most valuable asset. Listen to people that have incredible ideas but never had the platform to make them happen. Don't ruin a beautiful thing.,3.0,5.0,2.0,3.0,3.0,1.0
2018-09-12,,,Former Employee ,Rough time to be at Kiva,More than 5 years,0,"-Exciting work, esp working with the partners on the ground.

-Interesting mix of tech and nonprofit.

-Warm and welcoming people trying to do good in the world.","Kiva was an incredible place to work for a long time. Unfortunately new management doesn't have the skills or desire to retain what was so great about it, namely the culture and mission.

-Extreme top-down approach - Direction and ideas come from the CEO only, not even other management team members, let alone the wider organization. New ideas and projects are not collaborative, information is hoarded, and people do not look out for one another anymore.

-Huge recent turnover - There was a mass exodus in 2018 under the new CEO, who has taken an extremely top-down, hierarchical and un-transparent approach. A few good people remain, but most are trying to leave.

-Heart gone from leadership - Much of the mission-driven management left under new leadership and the new CEO replaced them with mercenaries. New management has no relevant background leading to poor decision making.","Listen to your staff! Valid, innovative ideas can come from anywhere and anyone. And be more thoughtful about how things are communicated- this just has to improve.",3.0,,,,,
2018-09-02,,,Current Employee ,Great organization doing good in the world,,0,Amazing team focused on providing loans to those in need,Compensation is low but benefits are pretty good,,5.0,5.0,4.0,4.0,3.0,5.0
2018-08-01, Strategy Intern,"San Francisco, CA",Current Employee ,"Thunderdome"" review",Less than a year,0,"-Good samaritan service - above/beyond - helpful - supportive/collaborative
-Symbiotic partnerships
-Inclusive
-Results Drive vs. Time card duty","-Excess grace (too nice, need ""tough love"" / radical honesty / glassdoor reviews)
-Soft-minded (kind of like leaving notes on the board)
-Poor Communication (from mgmt about about any major decision)
-Ambiguous (about whether we believe in our values)
-Resistance to change/new (fear)(of poor leadership)
-Lost of trust in leadership (to say the least)",-Self-sustaining priority - someone has to pay,1.0,4.0,2.0,5.0,2.0,2.0
2018-05-16,,,Former Employee ,There's no place like Kiva,Less than a year,0,"Kiva is a place where you'll feel welcome, included, and even loved. Everyone who works there is driven by a passion for helping people, for making positive change in the world. It's a young crowd with a lot of energy and zest. They are earnest and always looking for ways to improve systems, always focused on how to better serve borrowers and lenders. The mission is incredible and everyone is bought in. Work-life balance is amazing, with flexible hours and options to work from home on certain days if you need to. The benefits are generally fantastic, with an option to take a trip to visit a field partner every other year.

I feel honored to have worked there, and will always cherish that experience -- there's really no place like Kiva.","Transparency is a core value at Kiva, but sometimes I felt it went overboard. It's not that transparency is necessarily a bad thing, but the culture of transparency sort of led to an overly democratic structure with too many stakeholders involved in every decision, which makes it difficult to be efficient. Leadership in general was weak, although they've gone through a period of transition at the top for a few years now which is probably the reason, so hopefully the new CEO is helping. If you want to work in nonprofits, you're obviously not driven by salary, but it seemed like Kiva is on the low end even for nonprofits. Kiva also relies on interns to keep running, and these interns swap out every 4-6 months. That means that you're retraining people, explaining basic things from scratch, and maybe shifting responsibilities based on intern competencies every 4-6 months. It can be difficult to plan and grow with this system. There are not a lot of growth opportunities at Kiva -- coupled with the low salaries, that leads to a lot of turnover even though everyone seems to love it there.",The quarterly priority initiatives system needs to go :),4.0,5.0,5.0,3.0,3.0,3.0
2018-05-11,,,Former Employee ,Excellent,,0,"Excellent mission drive organization, with dedicated people",Management needs more training on how to lead.,,4.0,,,,,
2018-03-08,,,Former Employee ,Not a good time to join Kiva,,0,"Passionate people, lots of fun inside and outside the office, great mission.","Low work ethic, political, top-down approach to overall management.",Trust the people you hired and they'll be more motivated to take ownership of their work. Work on better communication.,3.0,5.0,4.0,2.0,3.0,2.0
2018-02-23,,,Former Employee ,Kiva Fellow,,0,Great opportunity to really make an impact while learning about the microfinance industry.,"Low stipend, however it is sufficient enough to make ends meet in host country.",,5.0,5.0,5.0,5.0,3.0,5.0
2018-01-30, Portfolio Manager,"San Francisco, CA",Current Employee ,Portfolio Management,More than 5 years,0,"- Work with smart, creative and humble group of people
- More or less flat structure with minimum hierarchy (CEO & President welcome new ideas and discussions -- unheard of in other NGOs)
- Provide safe space for voicing opinions/ideas, transparent culture
- Teams are passionate about human development, environment, and the betterment of global communities.","- Diminishing revenue streams is a problem, however, senior management is too comfortable with status quo and has very low risk appetite
- Very little innovation is encouraged/sponsored, although staff boasts of excellent talent/ideas
- Do not seek to understand market realities and adapt organization goals/strategies accordingly","- Be more aggressive in experimenting with new products/programs/processes (the quarterly initiatives just do not work for an organization like Kiva! Need both short-term vs. long-term planning)
- Become more transparent with decisions and why some projects are adopted over others -- where is the business value/USP? This process needs to be better streamlined and objectively measured (for example, cannot invest all resources towards one FTD strategy -- very short-sighted)
- Need to stop working in silo for your own team; and think big-picture about Kiva's future with clearly communicated & dynamic strategies. Please do not let one person dominate decision-making within senior management.",4.0,5.0,4.0,3.0,3.0,3.0
2018-02-02,,,Current Employee ,Rehaul the Core,More than 3 years,0,"- new CEO is asking the right questions
- healthy culture
- interesting work","- coo/cpo is seen as bully, not effective -- product is stagnant and not responding to either our current lenders or potential lenders
- teams are strong individually but do not work together, this is a top-level problem
- retention is high but people are becoming less motivated","Explore new ideas, but also rehaul the core -- all pockets of the company agree that this hasn't seen a fair shake, and is a worthwhile investment to grow from what we know.",3.0,4.0,4.0,3.0,3.0,4.0
2017-10-16,,,Current Employee ,N/A,,0,"Great organization, great staff, people are very motivated.",It can be difficult to get work done in the open office environment.,,5.0,5.0,5.0,4.0,5.0,4.0
2017-10-24,,,Current Employee ,Good Intentions,,0,Powerful mission with incredibly bright and committed employees,"Lack of strategy and focus, poor internal communication and prioritization","Limit the number of ""Top Priorities"" and get all departments to work toward the same goals",3.0,5.0,5.0,3.0,2.0,3.0
2017-10-03,,,Former Employee ,Wonderful place to work,,0,"Amazing, dedicated and talented staff, flexible work environment, and a good emphasis on professional development.",There could be a little more transparency from the management team regarding long-term strategy and direction.,,5.0,5.0,5.0,5.0,4.0,4.0
2017-09-28, Intern,,Former Employee ,Internship Program,,0,"Lots of opportunities for learning and networking, awesome people and cool workplace!",Too many things to do and little time to be involved with everything.,Just keep bringing amazing people to be part of the organization and try to spread all the nice learning opportunities in more times to improve engagement. Maybe some events after work hours!,5.0,3.0,5.0,5.0,1.0,4.0
2017-09-21, Sof,"San Francisco, CA",Former Employee ,Excellent Company,More than 3 years,0,"great culture
everyone has input on the product and process",can let the perfect be the enemy of the good,,5.0,5.0,5.0,4.0,4.0,4.0
2017-08-11,,,Former Employee ,Great Experience!,,0,"Loved the organization culture, loved my coworkers, love my overall experience",as a non profit we all know how the salaries can be,,4.0,5.0,5.0,3.0,3.0,5.0
2017-06-22,,"San Francisco, CA",Current Employee ,Overall great place to work,More than 3 years,0,"Great coworkers, great mission, interesting work, great benefits and opportunities","As a nonprofit, Kiva salaries are much lower than comparable for profit companies",,5.0,5.0,5.0,3.0,3.0,
2017-05-28, Intern,,Current Employee ,Internship Review,,0,"Great way to gain industry experience, relaxed environment, and welcoming community.","Unpaid. Some managers are not great, but most are very supportive.",,4.0,5.0,4.0,,,
2016-12-02,,,Current Employee ,Best company ever!,,0,"Everyone is so friendly and the mission is amazing. Plus they allow dogs in the office...but really, very warm vibe",Nonprofit work is rewarding but can be overwhelming at times. It's easy to get bogged down in work and forget the mission you're striving for sometimes,,5.0,5.0,5.0,4.0,4.0,5.0
2016-09-08,,,Former Employee ,Intern,,0,"- Great cause and meaningful work
- Amazing team with entrepreneurial work style
- Flexible work schedule and energetic office culture
- Great opportunities to build professional networks","- Limited capacity in supporting all programs and career development
- Turnovers of interns and fellows
- Product/program design need to be improved in some markets",Let local staff have more flexibility in designing and refining development strategies targeting specific markets,5.0,5.0,5.0,4.0,3.0,4.0
