date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-09-25, Senior Finance Manager,"New York, NY",Current Employee ,Solid,More than a year,0,"Global company, approachable execs, good communication",lacks technological innovation - slow to change,Update your Microsoft Office,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-10, Operations Representative,,Current Employee ,its a job,,0,benefits are not bad overall,repetition and silly work practices,,2.0,,,,,
2019-03-12,,,Current Employee ,Evaluate your options,More than 8 years,0,Top insurance brokerage and exposure to large client base,Little to no advancement for high preforming young talent,,3.0,,,,,
2019-03-07," Senior Vice President, Talent & Learning","New York, NY",Former Employee ,"Solid performing copmpany that is too focused on the present, not the future",More than 5 years,0,Benefits program and workplace flexibility,Very difficult to get change through this company due to their being risk adverse,Empower leaders to make change through example and by rewarding early adopters,2.0,4.0,1.0,2.0,2.0,2.0
2019-03-27, Executive Assistant,"New York, NY",Current Employee ,Worst Culture,More than a year,0,"Flexible
Getting away with anything, people can do nothing all day and not get in trouble","culture
people
management
inclusivity
No one cares about your well being
Racist environment",Focus on all employees regardless of race and job title,1.0,3.0,1.0,1.0,1.0,1.0
2019-02-26, Digital Marketing,,Current Employee ,Not a place to grow,More than 5 years,0,Family environment. Good place if you are coming in at the level you want to be at.,Lots of turnover in management. Very hard to gain momentum in your career if you are ambitious. Very behind on the times digitally.,,3.0,4.0,3.0,1.0,4.0,3.0
2019-03-23, Senior Vice President,,Current Employee ,Pretty good company to work for unless you care about being rewarded for your perfomance,,0,"good people, good lower level manages that care about there people that give you what you need to do your job",No link between work performance an compensation. Go years between raises in base pay regardless of how much new responsibility you take on or even promotions you get. Dysfunctional compensation system that discriminates against older and more tenured employees. New people are paid competitive rate often causing them to be paid more than seasoned professionals,"Take care of your best and brightest, do a complete salary review to see how out of whack some people base pay is based on what they are worth in the market and what it will cost you to replace them.",1.0,4.0,4.0,4.0,1.0,1.0
2019-03-02,,,Current Employee ,Marsh review,Less than a year,0,Strong leverage with the market.,inflexible IT system and old school style.,,3.0,,,,,
2019-02-25, Associate Account Executive,"Los Angeles, CA",Current Employee ,The challenges of learning insurance,More than 3 years,0,"Diversity, great office, flexible, opportunities, resourceful","Busy, no training, not a clear career path, technology, inefficient processes.",,3.0,3.0,3.0,3.0,4.0,3.0
2019-02-08, Producer,"San Francisco, CA",Current Employee ,Excellent Execution,More than 10 years,0,"Under Dan Glaser, the company is practical, realistic and executing well.",Organizational silos can hinder a unified view in a geography,Foster geographic unity across silos.,4.0,4.0,5.0,5.0,4.0,4.0
