date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-14, Vice President Marketing,"San Francisco, CA",Current Employee ,"Opportunity, Accountability and Team Support",More than a year,0,"Subject matter experts across such a diverse range of skill sets, from the hard sciences of epidemiology, microbiology and public health to the exploratory sciences of data, AI, machine learning, etc, and everything in between, including insurance, government services, consulting, technology.","Prioritizing so many promising opportunities and projects while balancing them against funding, timing and resource challenges","Keep doing what you are doing; honesty, accountability, cross-functional teamwork, staying true to the mission but willing to consider product growth in realms that might be difficult to do but rewarding in terms of financial endpoints",5.0,5.0,5.0,5.0,5.0,5.0
2019-01-04,,"San Francisco, CA",Current Employee ,Great Company,,0,"-Great people to work with
-Company has lots of potential",-Annual bonus could be higher,,5.0,,,,,
2018-07-13, Project Manager,"Washington, DC",Former Employee ,Not a Stable or Ethical Place,More than a year,0,"The work I was a part of had a decent amount of travel opportunities and a lot of hands on experience, plus (on the surface level) a great culture, but that was really dependent on the people you worked and if you were lucky and on the right side of management making the calls.","If you need and value stability, especially in the Government side, ethics, or advancement due to merit, this isn't the place for you. There were no opportunities to shift within the organization, regardless of the efforts you made as an individual. It is also not a place you want to bring or leverage your network with, as they will be used and burned as other people see fit. The value was always the short, cash-grabbing win, regardless of the cost in reputation, relationships within the community, or professional ethics. After leaving, I and a number of colleagues have had to work against this negative reputation, and I have personally been called out on it in interviews for positions with their former USG clients. And yes, some of the high level leadership (C-suite) has now changed since I left, but that reputation has held true years later within the community.","Don't hire people if you don't have a plan or funding for them for more than a few months, be willing to have tough conversations with the staff you manage if you don't think they are meeting your expectations, stop burning your reputation and staff's networks, and maybe read some books on professional ethics and the FAR.",3.0,4.0,1.0,2.0,4.0,1.0
2018-06-12,,,Current Employee ,Best work environment I've experienced so far,More than a year,0,"- Great people with exemplary values
-Powered by a mission that gives meaning to everyday tasks
- Flat organization with lots of room for growth
- Great location and office amenities, as well as flexibility in work arrangements","- Typical pressure to achieve milestones that comes with being a start up
- Lean and mean, which means the company is frugal",Keep it up! I feel optimistic and empowered to make a difference,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-23, N/A,"Washington, DC",Former Employee ,"Poor leadership ran DC into ground, trying to rebound",Less than a year,0,The company has a noble mission supported by smart people.,"The former President ran the DC office into the ground by expanding into a ritzy neighborhood and adding a bunch of people without revenue to support it. Within 9 months, the founding CEO resigned and the DC office was shuttered despite most of the clients being located in DC after not landing a single new client in a year and losing their largest client. It's a shame because it could have been something special. Now the SF office survives on the left coast with orphaned east coast clients. Sales turnover was 100% despite leadership 101 issues making it a lost cause from the beginning. At least the board eventually fired the President (Robert Mann). Not that this helped the people who were hired/poached only to be laid off a few months later.","As you rebuild, focus on your core mission, keep a check on leaders with egos that are detached from reality. An opulent startup easily strays from it's mission. The team didn't do this, but leadership definitely did.",2.0,2.0,3.0,2.0,4.0,1.0
2018-05-04,,"San Francisco, CA",Current Employee ,Inspiring mission with great people,More than a year,0,"Company trying to solve a big problem
Has a strong foundational government business
Innovating a novel solution for insurers and others
Momentum is building for what the company offers
Really nice, smart people","Insurers are slow to adopt
Can be lots of travel",Keep focused and doing what you're doing. Look for more opportunities for employees to share their knowledge with each other.,5.0,5.0,5.0,4.0,5.0,5.0
2018-01-03, Data Analyst,"Washington, DC",Former Employee ,Decent part-time work,More than a year,0,Was hired while in grad school -decent pay and experience.,"Tedious tasks, no room to grow, and management was awful.",,3.0,,,,,
2017-08-09,,"San Francisco, CA",Former Employee ,Stay away from this dumpster fire. Robert Mann is the King Joffrey of start-ups!,More than a year,0,"- really cool vision
- founder has done some incredible work in the field
- opportunity to work in 3 different verticals (food safety, gov & insurance)","- management are maniacal, they don't care about anyone but themselves
- the COO was more interested in name dropping his fancy lifestyle than leading
- direction/roadmap changes every week
- no viable product, only services
- CEO is majorly into himself, and his personal office is 1/10 the size of the entire place","I hear they fired Robert Mann (COO) and hired someone people can actually work with. Good job, he was single handedly tanking this company.",1.0,2.0,1.0,2.0,2.0,1.0
2017-04-28,,,Former Employee ,Data Analyst,,0,Decent position for a part time job during school. flexible times,monotonous as it is mostly data entry,,4.0,,,,,
2016-12-07,,,Former Employee ,pretending and feeding on drama,,0,"Employees were provided with good laptops and monitors, without delays.","Micromanagement, unwillingness to recognize those with experience and knowledge. Disregard for regulatory environment.",Concentrate on non-USG Clients because this organization is not a viable government contractor.,1.0,1.0,2.0,1.0,3.0,1.0
2016-08-04,,,Current Employee ,Working at Metabiota,More than a year,0,"I love the mission and the forward direction of this company - using data and science, including building research capacity, to support global health programs.","As a part-time employee, I feel very disconnected and under-utilized. I have gone over 6 months without any assignments, despite many times asking to get more involved in ongoing or future work. The company benefits more from me being on their employee roster (to be able to boast X many employees with vast expertise) than I do.

I've heard from female colleagues that upper management is sexist.",Engage more with your part-time employees. Reach out to them regularly and consider ways to keep them engaged and up to date with what's going on.,2.0,4.0,4.0,3.0,5.0,3.0
2016-07-13, Staff Scientist,,Current Employee ,Interesting global health startup with vast potential for growth,Less than a year,0,very engaging and meaningful work on the global/public health front; really smart and talented people; fairly transparent online communication of company's work; globally representative and diverse staff,"offices are split across North America and all over the world (also a pro), makes coordinated communication difficult; sometimes too much work is done remotely; part-time work is sporadic and sometimes not well directed, so difficult to understand if you are contributing appropriately",don't neglect us part-timers; please find opportunities to engage some of your part-time help for more solid full-time opportunities (if they arise) as otherwise feel stuck as a part-time employee,4.0,4.0,5.0,4.0,5.0,
