date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-12, Web Developer,,Former Employee ,Application Developer,More than 5 years,0,Good company to work for. Very flexible,"no Cons, its a great company to work for",,5.0,5.0,5.0,5.0,5.0,5.0
2013-01-28,,"Redmond, WA",Current Employee ,Thoughts after 10 years....,More than 10 years,0,"1. If you love tech, this is a great place. No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.

2. What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations. If you've got family - the value of the benefits is even higher. 401k match is nice.

3. Even with it's struggles MSFT is still a cash printing machine. This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs. The stock you own likely won't tank, but probably won't go up much either. You'll get a bonus each year and some stock. It's a decent life if you aren't looking to light the world on fire.","Brand on Your Resume: After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.

Managing Your Career: Make you say this out loud so it registers - 90,000 employees work there. Double that for vendors. It is VERY hard to ""stand out"" and move up in the company. Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too. Not familiar with the stack rank? Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".","I'll type it here - but I don't they are listening...
1. Help proven talent move laterally in the company for new opportunities.
2. Kill/evolve the stack rank. Here's basically how it's viewed:. 30% of the company gets 1s and 2s - and they are happy. 50% get 3s and that basically feels like getting a ""C"" in school. This sucks for talented people when a multitude of UNCONTROLLABLE conditions keep you from getting into 1 or 2 range. The 20% getting anything below a 3 are walking dead. In summary, 70% of the company walk away from the review cycle feeling like crap. This is no good.

After 10 years, I'm leaving - it's just a matter of time until I find the right opportunity. I need to find a company spends 90% of it's time building technology experiences, as opposed to 90% of its time building PowerPoints. And I expect to refuse the exit interview - because if you really cared what I thought, you wouldn't ask me after I decided to leave.",4.0,4.0,2.0,2.0,4.0,
2019-04-11, Human Resources/Recruiting,"Redmond, WA",Current Employee ,On the right track,More than 8 years,0,"Culture is becoming more transparent, authentic & vulnerable.
New projects are exciting, high energy
Leadership is working to be more self-accountable
Stock price","Lots of room to still grow.
Still significant favoritism and politicking
Inconsistent middle management, misalignment between leadership layers",Spend more time with middle and lower level employees. The disconnect between layers of leadership is slowing progress,5.0,3.0,4.0,4.0,5.0,4.0
2019-04-10, Software Engineer,,Current Employee ,"good company, cool technology stack",More than a year,0,smart people around and growth,good work life balance and benefit,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-11,,,Former Employee ,Caring employer,More than 10 years,0,Great benefits - takes great care of employees.,"It can feel sometimes that there is too much of ""process"".",,5.0,,,,,
2019-04-11, Software Development Engineer,,Current Employee ,Great place to start your career,,0,Resources to learn on many challenging projects,Scope of work is sometimes limited. Not competitively pay.,,5.0,4.0,5.0,5.0,3.0,5.0
2019-04-09, Business Intelligence Data Analyst,,Current Employee ,Amazing experience,More than 3 years,0,Amazing work culture and good work life balance,At time it gets pretty slow as compared to other tech companies,,5.0,,,,,
2019-04-09, Service Engineer,"Redmond, WA",Current Employee ,love the company,More than 5 years,0,"Work From Home, great time off and vacations, good benefit",sometimes can be stressful but over all its great place to work,,5.0,4.0,4.0,5.0,5.0,5.0
2019-04-02, Senior Hardware Engineer,"Redmond, WA",Current Employee ,"Microsoft has ""Hit Refresh",More than 3 years,0,"- Outstanding Leadership
- Socially Conscious Culture
- Sound Financials
- Great Benefits
- Intelligent Peers
- Exciting Products","- Political atmosphere (ladder climbing and empire building are pretty typical)
- Densely-packed work spaces getting even worse with open office concept",- Forget about open offices... productivity and morale decline in this type of work environment.,5.0,4.0,5.0,5.0,5.0,5.0
2019-04-08, Senior PM Manager,"Seattle, WA",Former Employee ,"A great place to work, with only a minimum of drawbacks from being old and huge.",More than 5 years,0,"Work life balance has been a very important factor for all teams I was on. They want you to have a healthy and productive balance. Employees are all extremely smart and talented (not always easy to get along with socially) but very skilled. You can work on products with ridiculous scale, some of the largest most impactful products in the industry. Internal mobility is very easy. Once at Microsoft you have a huge number of project choices you could transfer to across a very large number of industries.",As a large an old company it can be slow. Employees can often be set in their ways and it can take a lot of internal negotiating to get things done. Individual performance rewards can get lost in such a large company (for good and bad).,,5.0,5.0,5.0,5.0,4.0,4.0
