date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-01, Product Manager,"San Francisco, CA",Current Employee ,On a mission to help customers innovate,Less than a year,0,"Fast paced and tremendously growing startup, open and collaborative culture, ample opportunities and practically every person in engineering/product/design is working on key strategic projects. Laser sharp focus on addressing product gaps reported by customers.
Smart co-workers which includes a ton of Carnegie Mellon, Georgia Tech and Twitter alums.","Mixpanel is an extremely technical product (hence can take some time to ramp up unless you have worked in the analytics space before).
Plenty of competitors in the data analytics space so sometimes can become hard to stay competitive since we are not a very big company and still growing. It's crucial everyone who works here understands how to ruthlessly prioritize which can be challenging sometimes.",Keep up the good work. Please continue to hire more engineers and product managers!,5.0,4.0,5.0,5.0,3.0,4.0
2019-03-26,,,Current Employee ,Overall great experience,More than a year,0,"Great people, perks, and pay. I enjoy the people at the office so much I rarely work from home, even though it’s an option if need be.","There are a lot of things to learn and be involved in, but career progression and plannng is not a priority.",,4.0,5.0,5.0,3.0,5.0,5.0
2019-03-14, Support Engineer,"San Francisco, CA",Current Employee ,Amazing People,Less than a year,0,"Friendly people, lunch about every day, snacks...",Communication from top to bottom...,More support towards other teams and the way communication happens when major changes happen...,3.0,3.0,2.0,4.0,3.0,2.0
2019-02-17,,"San Francisco, CA",Current Employee ,An exciting time to join,More than a year,0,"Mixpanel is an entirely different company than a year ago. We’re listening to customer feedback but also balancing the basics with innovation. The new leadership team is seasoned and knows what they’re doing. Even more importantly, they’re humble and open-minded. Everyone makes bad decisions sometimes, but instead of acting like they never happened, the execs discuss learnings from the big ones at company all hands.

All the people we're hiring are smart and motivated, across all functions. Global expansion is happening quickly, which is helping us better serve markets where time zones limited us in the past.

There’s a real company strategy. It also makes sense and is communicated to everyone so they can align their work to it. Having everyone focused on the same objectives seems easier than it actually is at companies our size in a fast-moving market, so it’s great to see it coming together.","The only negative at the moment is that the passion everyone has for the company and work can translate into long work days at times. Leadership is generally good at promoting internally, so there’s a payoff if you do well. Also, a larger amount of interesting and meaningful work beats being just another employee at a non-growth company, but that’s of course a personal preference and may not fit everyone.",,5.0,3.0,5.0,5.0,4.0,5.0
2019-01-23,,,Current Employee ,Big hopes for new leaders,More than a year,0,People are great. The new leaders seem like the right people to get Mixpanel back into the huge growth it knew early on.,There were a couple past years of stagnation.,,5.0,5.0,4.0,4.0,5.0,5.0
2019-01-22, Enterprise Sales Development Representative,"Lehi, UT",Current Employee ,Best company in the Valley,More than a year,0,Amazing leadership and best culture in Lehi.,Natural pains of scaling a new office and startup.,Outlining career progression plan. Need to put it on paper.,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-01,,"San Francisco, CA",Current Employee ,Exciting times ahead,More than a year,0,"New CEO and his leadership team are turning the company around as reflected in the upward trends of the reviews (which are not fake). Early signs of success are truly promising.

Great salary and benefits

Great culture & smart people.","The company is in a more competitive market now, which means there is more pressure to deliver and make an impact. Not necessarily a bad thing but can be stressful to some people.",Keep pushing the team to (re-)gain leadership position in the market.,5.0,4.0,5.0,5.0,5.0,5.0
2018-12-14, Software Engineer,"San Francisco, CA",Current Employee ,Momentum and maturity,More than 3 years,0,"Autonomy: you're trusted to be responsible for getting things done in the best way you know how. Micromanagement is absent. Process never becomes more important than delivering value.

Empowerment: It's not a bigco. Everyone makes a noticeable impact, and individuals receive responsibility for significant systems and infrastructure.

Learning: Coworkers are friendly, generous, and super-smart. Even after years at Mixpanel I'm still learning new things every day and profiting from the enormous breadth and depth of my colleagues' technical experience.","The staffing levels of different roles can vary wildly at different times, leading to unexpected bottlenecks (not enough designers, or product managers, or engineers specialized in some part of the stack). Small power vacuums around product ownership and direction occasionally lead to isolated competing efforts to address product pain points.

Extreme focus on business competitors can be demoralizing, though it's clear why it's necessary right now in the overcrowded analytics space.

Recent budget-tightening to improve financial efficiency is being applied in areas where it's too small to matter to the bottom line, but still detracts from the employees' quality of life. (office perks, desk budget, referral bonus)",,5.0,5.0,4.0,4.0,5.0,4.0
2018-11-29,,,Current Employee ,Great Place For Growth And Impact,,0,"Smart, friendly coworkers. No ego. Autonomy for teams. Challenging problems to work on and many opportunities for impact.

It is an exciting time to be at Mixpanel. We shifted focus in May to become more customer focused, all the teams were given autonomy to prioritize features into what they felt was the most valuable work.","We lost focus on our customers, but this all changed in May and now we're making up for lost time, delivering exciting features.",,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-09,,,Current Employee ,"Good company, challenges ahead. Hopeful it can work",More than a year,0,"Great people, Interesting problems. Small enough that your work actually matters.",Recent reorg has brought morale down a bit.,Continue being aggressive in taking on the competition.,5.0,5.0,4.0,3.0,5.0,3.0
2018-11-21,,,Current Employee ,Excited about the next year,,0,"- The company has made massive changes over the past year. At times that has been painful but we are now starting to see it pay off so I'm very bullish on the future.
- We continue to have a very talented eng, product, and design team. They're great to work with.
- The work environment is very low on process, meetings, reviews, etc. There's lots of autonomy and opportunity for those who are driven.",- It is a very competitive space. We're not a huge company so we sometimes have to get creative and scrappy in terms of how we execute.,,5.0,5.0,5.0,5.0,4.0,
2018-11-02,,"San Francisco, CA",Current Employee ,Exiting Times To Be At Mixpanel,More than a year,0,"'ve been at Mixpanel about 1.5 years, and it's a really exciting time to be a part of this company right now:

*Really great and genuinely nice co-workers. A lot of smart, hard-working people that don't have egos.

*In the last 6+ months management has put an intense focus on the things that matter to taking Mixpanel to the next level, and we're seeing measurable change and progress in organizations across the company. Very high degree of internal transparency around all of this, and management seems to genuinely consider all feedback.

*A ton of opportunities to take responsibility, make a difference, and grow your career/skillset.

*A comfortable, supportive and inclusive workplace.","*Lots to do around here. Double-edged sword to the opportunities to take responsibility, make a difference, etc. That said, not a push toward burnout but working efficiently on what really matters.

*There were a fair amount of organizational changes (as there can be with startups, which may be unnerving at times), but the direction is clear, strategy makes sense, and there seems to be an excellent management team in place.","Keep the course by maintaining focus on the things that matter, while monitoring feedback/progress to adjust tack or focus as necessary. Preserve transparency and easy access to management.",5.0,5.0,5.0,5.0,5.0,5.0
2018-11-13,,,Current Employee ,"Amazing company, great culture",Less than a year,0,"This is only my first month at the company. Mixpanel is growing rapidly with heavy emphasis on paying attention to what customers are saying. Lots of glowing reviews from customers are shared with the positive reinforcement that they also see the change within the company. At the same time the management is very open and also shares mistakes and any customer losses to help us understand what is going on and keep employees involved.

Culture - super fun-loving and also great on lifestyle. People care about others and making sure new employees are cared for.",Haven't seen too many cons yet. Will update as I learn more,Keep up the good work - the new leadership team is phenomenal and will propel Mixpanel to new heights!,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-07, Software Engineer,"San Francisco, CA",Current Employee ,Great team and lots of momentum!,More than a year,0,"After a long time, we're actually listening to what customers want! Our former CEO led us in the wrong direction for so long that it's a miracle that Mixpanel is still around. He was a big reason for attrition within the company, but now that he has ""stepped down"", things look a lot better. With the new management team, there is a lot of freedom to try new things and move fast. They understand that not everything can be perfect on first try and encourage releasing early and iterating. We're seeing a lot of positive signs from existing as well as new customers and this is just the start!","Things were pretty bad when our former CEO left and as we fix them, everything is a little rocky.",Keep up the good work.,5.0,5.0,4.0,5.0,5.0,4.0
