date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-07-17, Academic Tutor,"San Francisco, CA",Current Employee ,My best work experience so far.,More than a year,0,"Started as a part-time tutor, I shifted to full-time after graduation. People are really nice, the salary is higher than the market average and the office super-comfortable.","From time to time I have too much on the plate and work overtime. It's paid off, though.","Guys, we run out of chocolate chip cookies too fast!",5.0,4.0,5.0,,,
2017-10-27, Tutor,,Former Employee ,"nice salary, good working environment",More than a year,0,"I've worked at Nerdify for a year as a tutor. It's a very lovely place, people are very nice and the senior management really knows how to get the job done. Salary is good, but sometimes you have to work long hours.",The job interview is hard. Heavy workload.,,5.0,5.0,5.0,,,
2017-05-13, Tutor,,Current Employee ,High hourly pay for tutors,,0,I've been a freelance tutor for almost 2 years until one of my students told me about Nerdify. I decided to check it out and see what they could offer for an experienced tutor like myself. Turns out to be a great opportunity to get good payment for your work.,There are a lot of requests and you need to work hard.,,5.0,5.0,5.0,5.0,,
2016-09-08,,,Former Employee ,Perfect experience,,0,Flexibility and so easy to work with .. great experience .. great company .. Happy to work for such a fine company .. can not think of any bad experiences,None .. I truly can not think of anything negative .. Everything was good with no regrets .. Happy to have been there,Perfect,5.0,5.0,5.0,5.0,5.0,5.0
2016-06-21,,,Former Employee ,best place to work in SF,,0,"It was a pleasure to work for Nerdify: nice people, great product, comfortable work space and tons of food.",Don't have so much to say.. Maybe our communication with management could've been better.,Keep up the good work.,5.0,,,,,
2016-06-16,,"San Francisco, CA",Former Employee ,A really nice place to work,Less than a year,0,"Very cool product, amazing team and inspiring mission. I was very satisfied with everything Nerdify had to offer:
- You work with really interesting people with completely different backgrounds.
- Company cares about your career path and personal development.
- There were always free drinks and snacks in the office.
- Top management is very open minded and they always listen to new ideas and suggestions.","The job was a bit stressful. However, they did reward top performers, so it wasn't that bad.","Everything that Nerdify is doing is simply amazing and great. There is not much I can advice, except hiring more people to stay on top of the workload.",5.0,5.0,5.0,4.0,,
2016-04-11, Operations,"San Francisco, CA",Current Employee ,Good,Less than a year,0,"awesome co-workers, lots of fun, free food, great perks.",occasionally food can be dull,,5.0,5.0,4.0,5.0,5.0,5.0
2016-04-06, Marketing Manager,"San Francisco, CA",Current Employee ,Great opportunity,More than a year,0,"- Young and ambitious team that is always ready to help you out.
- Every employee has a clear scope of responsibilities and clearly defined KPIs
- Gym membership and pizza parties",I have to work on weekends to meet all of the goals.,We need more people in the Marketing department.,5.0,4.0,5.0,5.0,5.0,5.0
2016-04-05, Marketing Executive,"San Francisco, CA",Current Employee ,The best company to work for,More than a year,0,"I’m working on cutting edge projects with really smart people. There are tons of activities on campus, like gyms and cafes (the food is free). And I can talk to CEOs whenever I want, which is a cool thing. They’re brilliant, and care about their employees. I do admire how they lead the company","There are going to be winners and losers when it comes to career growth, so smart people can become losers due to the high standards.","Don't forget that there is already a pool of incredibly smart and talented people within the company, then maybe you won't lose some of the great ones.",5.0,5.0,5.0,5.0,5.0,5.0
2015-08-14, Marketing Manager,"San Francisco, CA",Current Employee ,Educational startup is a job of my dream,Less than a year,0,"It is extremely exciting and joyful to create such an innovative product. Team is friendly and open-minded, we share ideas and evaluate them all together. Management is aimed to inspire our creativity, I've never seen our founders in a bad mood - atmosphere in the office is awesome.
It's the first time I can sincerely say that my colleagues became my friends.","Our website GoNerdify.com is about to launch, so there is a lot of work and lack of personal time. But it's a common practice when you're a part of the startup's team.","Stop ordering pizza to the office, otherwise your team will have weight problems :)",5.0,4.0,4.0,5.0,5.0,
