date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-12, Analyst,"San Francisco, CA",Current Employee ,Opendoor sets the bar for amazing workplace,More than a year,0,"Incredibly smart AND kind people
Good Size
Interesting Work
Lots of funding
Not corporate
Allows for flexible lifestyle",unclear career trajectory due to nature of it being a start-up,,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-25, Data Scientist,"San Francisco, CA",Current Employee ,"Incredible Talent, Great Mission and Fast Paced Environment",More than a year,0,"Very smart, driven and fun team. While work hours can sometime be a little long, the incredible talent of your coworkers and their dedication makes up for it.",Normal growing pain of a company experiencing our growth rate. Nothing major.,"Retain top talent, work on work-life balance.",5.0,,,,,
2019-03-21, Coordinator,"Phoenix, AZ",Former Employee ,Hassle Free Home Selling - NOT,More than 3 years,0,"Marketplace employees are smart, hard-working and friendly. Company concept is great on the surface.","Upper management in San Francisco with little to NO actual real estate background (most are IT, Google, etc., backgrounds) and they don't listen to the ""boots on the ground"" individual marketplace Managers. It's all about increasing numbers (employees and markets) and NOT about buying and selling real estate.",Listen to the few people within your organization with actual real estate backgrounds when they tell you that you can't legally or shouldn't ethically do some of the things you are doing - like not disclosing problems with the homes you are selling),2.0,1.0,3.0,3.0,4.0,1.0
2019-03-06, Portfolio Manager,"Atlanta, GA",Current Employee ,Great Place to Work,More than a year,0,love working here and all the people,no cons to report on,,5.0,,,,,
2019-02-27, Software Engineer,,Former Employee ,Pay attention to the culture.,,0,"- Good work life balance, most people work < 8 hours a day
- Unlimited vacation that gets borderline abused
- Work by yourself on a project and deliver it in isolation (this is a con as well)
- Good food, decent benefits
- Good top level exec leaders
- People are generally inoffensive","- Engineers don't match Tier 1 company caliber. They don't care if you do something right, just that it gets done and shipped. I haven't yet met a truly passionate individual who I can learn from
- Engineers look out for themselves. They won't go out of their way to help you. It's each one for themselves
- Managers don't care about your career growth or learning or you as an individual - only if you have delivered on your OKRs. They provide almost no support in career development. As long as you get your work done, that's good enough for them.
- Management counts on one or two individuals to do all the work. The rest of us are backup dancers, figuratively speaking
- Lack of clear future looking goals and vision. C suite level leaders are good, but mid to low level management is overworked, lack direction, lack transparency, and is totally uninspiring
- Company only cares about moving the needle on business metrics. Developer experience and ensuring good engineering practices is at the end of the priority list. Don't waste your time on that ""useless"" stuff
- Pay is on the stingier side
- Not a fun culture. Polite small talk is the extent of friendships here",Inspire a culture where people take care of each other: empower and teach and learn from one another. That's the most important way to differentiate between a dream job and a day job for a paycheck.,2.0,4.0,1.0,1.0,2.0,1.0
2019-02-19,,,Current Employee ,Great company,,0,Innovative company focused on the customer,Still in the growing pains,,5.0,,,,,
2019-02-17, Customer Experience Associate,"Scottsdale, AZ",Current Employee ,Best company I have ever worked for!,Less than a year,0,"Free catered lunches daily, unlimited snacks and free dinner if you work a late shift. The company has a lot of perks from profit shares, they pay for part of your cell phone monthly. Everyone is so positive that I work with, everyone helps each other out. 15 days of PTO a year, sick pay and paid holidays. The managers are great, they don’t micromanage. The company is rapidly growing, I’m excited to see what the future holds.","The office building is in Scottsdale. I wish it was closer to the freeway. We’re moving locations to downtown Phoenix in April. They allow us to bring dogs to work. While dogs are fun, it can be distracting having the dogs running around you while you’re trying to work.",Keep on doing what you’re doing. You guys are great!,5.0,5.0,5.0,4.0,4.0,5.0
2019-02-14, Engineer,"Atlanta, GA",Current Employee ,ATL Office is the place to be,Less than a year,0,"- Culturally rich!
- Great personalities
-Great catered lunch (every once and a while breakfast)
-Brand new large office in the center of the city next to State Farm Area and the Benz Stadium
- Everyone wants to help. No egos here.",I honestly can't think of any. Maybe some growing pains as we adjust to rapid growth.,Keep mentoring and having open conversation.,5.0,3.0,5.0,5.0,5.0,5.0
2019-01-29, Senior Front End Developer,"Los Angeles, CA",Current Employee ,Good place to work at. Strong Engineering Team,More than a year,0,I love working at OpenDoor. The engineering team is very proficient and its a place where you can really take your skills to the next level,I don't really have any cons about Opendoor,,5.0,4.0,4.0,4.0,4.0,4.0
2019-01-18, Renovation Project Manager,"Atlanta, GA",Current Employee ,Hiring Process and experience,,0,It is the google of buying and selling houses and they take the hassle out of it!,"No cons
No cons
No cons
No cons
No cons no cons, no cons",Keep up the great work!,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-28,,,Former Employee ,Great,Less than a year,0,The benefits are a pro,There are no cons at this company,,4.0,,,,,
