date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-29,,,Current Employee ,Startup with an Exciting Future,More than 3 years,0,"Quantcast has awesome perks. Catered lunches and snacks, great happy hours, and culturally oriented events define a dynamic and fun culture. My colleagues are one of the more educated groups I've seen in the industry. I work with Ph.D. and Masters graduates from top tier universities. Even better, instead of relegating these folks to a research role, Quantcast leverages them to be part of releasing production software.

The newly devised business strategy is compelling. With the recent change to leadership, in addition to getting back to our technical roots, we are making consumer-facing software endeavors that could remake the way publishers and marketers monetize their content on the internet.

Quantcast is a place for gifted computer scientists to make a significant impact on exciting products. It's also a place where building software that non-technical end-users use. In short, it's a place where individuals can leverage their strengths to enhance a developing product suite.","As with any company that's growing and building new products, there can be substantial uncertainty. Taking risks can be uncomfortable for some people.",Keep playing people to their strengths and get us past some of the negativity that we've been experiencing. The future is looking amazingly promising.,5.0,4.0,4.0,5.0,3.0,5.0
2019-03-03, Media Strategist,"San Francisco, CA",Former Employee ,Smart People With No Direction,More than 3 years,0,Smart people and a great base product,Weak leadership and no new products in years,,3.0,,,,,
2019-02-18,,"San Francisco, CA",Former Employee ,CEO needs to step down to have someone else show us the exit..,More than 3 years,0,"Amazing food, people and fantastic work and culture.","Waste of time if you think you can make some money on equity as long as current CEO is present.
CEO is selfish guy, doesn't want to sell the company or show an exit. I can also understand, it's very hard for anyone to sell/exit it's own baby/company. So, Konrad is not the right guy, he is too attached to the company to show any exit for the company. He needs to step down, have the new CEO show the path to the exit. Lot of companies in the valley do that usually, especially founders take the side role and new person take company to IPO, it's less pressure/burden on the founder as well.","Konrad needs to step down, have someone else take over and show company exit.",2.0,4.0,2.0,3.0,1.0,2.0
2019-03-11, Key Account Manager,"San Francisco, CA",Former Employee ,Unethical business practices and poor management,More than a year,0,There are free lunches and snacks,"Team members are asked to participate in unethical business behavior including misleading clients on the details of their campaign set up and the products they are using. You are not seen as a team player if you don't go along with this type of behavior and thus become a target. Management is the root of this issue and it comes from the top down. Every year there is a new reorg or beta team setup that they claim is going to fix all of the issues, but these reorgs are led by the same people who made the decisions before and therefore will never fix the fundamental problems. The field west sales team is the worst of it and the teams around them suffer because of their behavior. Management duplicates work several times over by creating Gdocs and various trackers because they are so incapable of using their own management tools. They lay off their highest performing team members in reorgs, and those who generate the most valuable work are not rewarded or recognized for their contributions. If you see a high volume of job postings, it's because of the constant turnover. I would highly recommend staying away from working here.",Stop allowing these unethical business practices. Be honest with people in the hiring process. Hire managers who have the backbone to stand up for team members who push for what is right. It is not that complicated.,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-25,,,Current Employee ,Very Impressed,More than 5 years,0,"I’m very impressed with Quantcast, especially progress made the past 18 months. Here’s why:

Quantcast has made significant strides across diversity and inclusion. They take this very seriously and I’m hopeful they continue on this course.

The leadership team has taken thoughtful steps to addressing transparency and accountability. They address hard questions and they are all accessible and will stop and work through any problem with you.

Career development here is a real thing. I’ve seen many people grow to take consequential leadership positions at the company and we consistently receive the support we need to continue developing as professionals and leaders.

The product has improved and that team is listening to market feedback and quickly developing products that are going to bring real value to the industry. Exciting things ahead.",The company and employees are excited about where we are today. We need to reinforce our position and historically we haven’t done a great job at that. Our time to do that is now.,"Continue to focus on culture and balancing how hard our job is with celebrating achievements across the business, grand or small.",5.0,5.0,5.0,5.0,5.0,5.0
2019-02-18, Key Account Manager,"San Francisco, CA",Current Employee ,Poor Management - forced to do unethical work or will be seen as not a team player/client forward,Less than a year,0,"Free lunches, dinners, and snacks, good benefits","Poor management, disrespectful and deceiving counterparts","Stand up for your team/subordinates, you get paid more to deal with difficult situations. Pushing talents away isn't the solution if the core problem is ignored. Be genuine, care for your team, have an opinion, and be efficient. Creating a 100 google sheet isn't going to make everyone more organized but weighing the team down. No one has time to keep track of the google sheets that are not effective and unhelpful.",1.0,2.0,1.0,1.0,2.0,1.0
2019-01-26,,,Former Employee ,Shrinking quickly,More than a year,0,Catered lunches are nice and your peers are generally good to work with.,"The bottom line is that the company isn't growing and the only reason there are so many job postings is because attrition accelerated in the second half of 2018 and the company is struggling to hire because it can't give competitive offers because the value of Quantcast's equity is dubious at best and lacks any realistic path to liquidity. Beyond that it should be particularly alarming to people that a number of people quit without having their next job lined up.

If you want more details I'd strongly encourage you to check out the Quantcast related posts on Blind.",You have people who are in over their heads in key C-level positions which is driving your attrition. Get rid of those jokers before it's too late.,1.0,3.0,3.0,2.0,2.0,1.0
2019-01-03,,,Current Employee ,Terrible,,0,Good food and location in SF,Terrible working environment and backstabbing,,1.0,2.0,1.0,1.0,3.0,1.0
2018-12-05,,,Former Employee ,Business Development,,0,"Fair compensation, flexibility and great work life balance.",Product is out of date and will never catch up to where the market is due to ELT butting heads constantly around the vision of the company. Upper management does not respect employees and are delusional on the potential of this company.,Be real on the potential of this company. This is an outdated display offering and will never grow when the vision of the company changes every month.,1.0,4.0,1.0,1.0,4.0,1.0
2018-10-26,,"San Francisco, CA",Current Employee ,Growing Quick,Less than a year,0,"Awesome coworkers -- everyone is nice and wants to help each other
Lunch AND Dinner every day (I really only stay for the lunch, but I know the teams who arrive late/stay late enjoy it
Evolving Product
Upper Exec staying very transparent (good at taking feedback and make sure they address issues employees have)
Huge office
No micromanagement
Big emphasis on career development (a lot of promotions happen internally)","No matching 401k
No unlimited PTO","keep staying transparent to the company, it shows that you are paying attention",5.0,5.0,4.0,5.0,4.0,4.0
2018-10-08, Support Engineer,"San Francisco, CA",Current Employee ,Culture and Growth,More than a year,0,"- Great company and work culture (putting customers and employees first)
- Fun workplace and team events!
- Lunch + Dinner provided
- Encourages and emphasizes on career development!","- Depending on the team, work may require longer hours.",,4.0,4.0,5.0,5.0,4.0,4.0
2018-08-30, Senior Software Engineer,"San Francisco, CA",Current Employee ,Engineers that like each other and have massive challenges to solve,More than 3 years,0,"- Have heard this inside and outside of Quantcast that the bar is high and really really smart engineers are working alongside each other.
- The impact, scope of problems and type of challenges you get exposed to are pretty unparalleled across the industry. You work on the same category of problems the top 1% at Google work on.
- You have a lot of freedom to work on the problems you like, and engineering managers are asked to not assign people to projects they dislike, or won't make them grow
- Quantcast invests in engineer's growth. The management culture here is such that projects and services push people out of their comfort zone so they can learn. Company compensates for workshops, seminars and training material
- Work life balance is pretty great. Working from home is pretty common, and there's never pressure towards working over time.
- Steady revenue; company has been profitable without raising capital since forever
- Quantcast is an ethical ad-tech company. We don't do the bad stuff the big names do.","- Compensation doesn't compete with the companies stealing talent from us (Google, Facebook, Uber, etc.)
- For a while engineering quality was de-prioritized in favor of business outcome. This led to building unmaintainable crappy services. With the new CTO this culture is changing.
- Frequent re-orgs in Sales and Account Management has led to a lot of unhappiness there.","Focus on our roots; the engineering driven culture that made massive disruptions in ad-tech.
Fix compensation; companies are stealing talent from you.
Sales need proper senior leadership. Hopefully the new COO and CRO will fix it.",5.0,5.0,5.0,5.0,3.0,5.0
2018-09-19,,"San Francisco, CA",Current Employee ,Changing for the better,More than 5 years,0,"Company that embraces change, non hierarchical, cares about its employees, positions itself around the customers it wants to solve for, at a turning point right. now. New leadership is strong and working well together.",Has large-company tendencies that prolong decision making which can be frustrating. Something that the company is trying to breakdown though.,Celebrate the wins a bit more.,5.0,4.0,4.0,4.0,5.0,5.0
2018-09-17,,,Current Employee ,Work in Progress,,0,"- New Executive Leadership Team are listening and steering the company in the right direction
- Product and Engineering Leadership understand the realities and have a vision and strategy to take the business to the next level. They work very effectively together.
- Incredibly smart and dedicated people
- Good food",- Business in transition.,Stay the course.,4.0,5.0,4.0,5.0,4.0,5.0
2018-09-13,,,Former Employee ,Ae,,0,Great place to learn Programmatic,Leadership is lacking - needs better direction,,4.0,4.0,4.0,4.0,4.0,3.0
2018-09-13, Sales,"San Francisco, CA",Current Employee ,No complaints,More than a year,0,met several of my closest friends in the city while working there,after about two years the feeling of growth and being challenged had pretty much gone by the wayside.,management was solid while I was there.,4.0,5.0,3.0,3.0,3.0,3.0
2018-08-30,,"New York, NY",Current Employee ,Fortunate to work here,More than 3 years,0,I feel very lucky to be part of a supportive culture where I learn from some very bright people. They have great perks and benefits and generally enjoy working with everyone. It is a nice work life balance too.,"I really wish they matched 401k.
I have felt like certain people tend to push off work or point the blame, rather than find a solution.",,5.0,,,,,
2018-08-24,,"San Francisco, CA",Current Employee ,Great place to work!!,Less than a year,0,"*Work-Life Balance
*Smart colleagues
*Great perks & benefits
*Flexibility of WFH
*A better Leadership team","* Frequent Reorgs
* No 401K Match",,5.0,5.0,4.0,5.0,5.0,4.0
2018-08-22, Senior Software Engineer,"San Francisco, CA",Current Employee ,Quantcast is chill,More than a year,0,"Quantcast has an amazing culture and work environment, filled with really nice people. Sure, we had a tough couple of years (business-wise and with senior leadership) but we've definitely bounced back. The new CTO is fantastic, and there's a renewed sense of collaboration among teams. People from other teams are always happy to chat with you and answer questions. There are also lots of fun events like happy hour.",Some teams are oversubscribed and don't have enough engineers to get things done.,Keep investing in the people we've got.,5.0,5.0,5.0,5.0,4.0,5.0
2018-08-15,,"San Francisco, CA",Current Employee ,A place for those who think outside the box,More than a year,0,"- Working with some of the smartest and most passionate people I've ever met
- Friendly & cooperative company/work culture which makes it a great place to learn
- Breakfast, lunch, dinner provided along with snacks and drinks
- Paid monthly phone bills
- Review cycles 2x a year = more chances for promotion/salary increase","- No 401k matching
- Leadership's good intentions are there but the way they take action, especially when there is a reorganization or change, comes off an insensitive to employees who are affected by the change
- Not necessarily a con but for those who need structure, Quantcast may not be the place for you. Someone who is flexible and adaptable to changes with a drive to learn will strive here",Be more sensitive and in touch with employee's concerns,5.0,5.0,5.0,5.0,4.0,3.0
2018-07-27,,,Former Employee ,Will miss Quantcast!,,0,"Culture: Employees make friends and enjoy life while working on interesting problems.
Benefits: Employees are spoiled with great food and snacks, as well as great facilities, medical / health benefits, top-notch IT support, training etc.
People: Employees are smart people you *want* to work with and even become friends with - very good environment for meaningful, supportive work relationships.
Leadership: Newer leadership is approachable, transparent and motivated to make progress. Minimal hierarchy — fairly flat organization with many opportunities to have visibility at the exec leadership level.
Career growth: Employees have opportunities to grow their career, take on more responsibilities or even transfer to new roles of interest.",Recent change in leadership and some reorgs have led to a bit of chaos which I believe is resolving quickly.,"Stay the course, be accountable, lead teams to deliver on what you know they need to and keep inspiring trust by being transparent and open.",5.0,,,,,
2018-08-06, Campaign Analyst,"San Francisco, CA",Former Employee ,Interesting Company,More than a year,0,Food is good and IT support is entertaining,"Poor management, but making improvements","Focus on employees and development, less on pumping out projects",4.0,3.0,2.0,4.0,4.0,2.0
2018-08-15,,,Former Employee ,"Good people, constant changing leadership",,0,"Smart and passionate people, fun office environment","First time managers, immaturity, gossipy",,3.0,4.0,3.0,3.0,3.0,3.0
2018-08-08,,,Current Employee ,Incompetent,More than a year,0,"Free lunch
A paycheck
Good people to work along","Horrible management

Run for the hills avoid wasting time and career opportunities

Company is dying (check LinkedIn headcount decrease %16 this past year due to layoffs and churn)

Incompetence across the board, highly evident with over %50 of sales team churning in SF

Micromanaging insecure leadership

Managers promoted to manage for first time who severely lack empathy and humility (this is a prerequisite to be promoted at Quantcast it appears)

New CRO is like a ghost and has no positive influence on company

Decisions like product, marketing, and most facets of the company are made in a vacuum causing groupthink, poor go-to-market strategy, and unhappy customers who’s needs are not met

The revenue model of Quantcast is fundamentally broken because it is unpredictable, which causes sound business decisions to appear impossible",Good luck,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-20,,"San Francisco, CA",Former Employee ,Had a good run..,More than 3 years,0,"- good perks/benefits
- amazing, intelligent individuals to work with
- company initiatives and programs
- a warm and inviting culture that you felt a sense of belonging
- lots of opportunity for impact and to work autonomously","decisions with upper management. People getting promoted for no reason and constantly reorganizing the company structure (for the worst). During my time there, I've seen new executives in and out within a year.

Lacks transparency and communication. People are in the dark with changes/decisions. We get that there are ups and downs within a company and we want to know about it! I'd rather hear the hard truth than have leadership hide them.

Bleeding talent. They need to take care of their employees. Give them job stability, future company outlook, improve company morale.

Lack of resources to train new managers and new employees","Listen to your people. The people on the ground working their butts off have great ideas, feedback, and opinions. Be empathetic and compassionate. Have a heart...",3.0,5.0,5.0,2.0,2.0,1.0
