date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-11-12,,,Current Employee ,Most of the other reviews have it right,More than a year,0,"The people and culture are superb, the tech is fun, generally a great place to work with a few issues.","Management - A post further down gets it spot on, though perhaps is a little too critical. There are issues in any organization, and Ridecell is no exception. I have not found in my experience that there is any problem being heard, but actually enacting change is quite difficult - those that can are typically busy doing other work, and I believe that to be the single greatest issue the company is facing.","Hire/promote more and distribute workloads in a reasonable manner; many managers claim not to have time to work on refining our processes, and I believe it is largely due to a lack of resources.",5.0,5.0,5.0,4.0,3.0,3.0
2018-08-13,,,Current Employee ,"Great product, great industry, great people",,0,"- Product is interesting, meaningful and has a ton of potential
- Industry is exciting, growing rapidly, global and relevant
- People are all talented, genuine and hard working
- Perks are generous and competitive","- Easy to burn out
- Lack of process and communication
- Work ethic imbalance

(hey, it is a startup though)",,5.0,3.0,4.0,4.0,5.0,4.0
2018-08-08, Senior Backend Engineer,,Current Employee ,Completely Mismanaged,More than a year,0,"Ridecell has some very interesting opportunities. They have fingers in the ridesharing, carsharing and autonomous vehicle pies, so there's a lot of potential long term to work on some interesting problems.

Generally speaking they have a culture that is the right mix of playful and business minded. I like my co-workers for the most part. And it is easy to not see the problems in the organization as a result.

The company used to be better at encouraging collaboration but mismanagement has destroyed that aspect of the culture.","The engineering department has been seriously mismanaged. After some much needed management changes, the environment never course corrected.

The result is that there was no cultural change and the department was left rudderless for a long time while it retreaded the same broken practices. The current management practices include a command and conquer approach using various levels of micromanagement and a healthy dose of poor communication. Management is more interested in attempting to wear the engineering hat and dictate solutions down to their reports rather than building up and supporting the engineers under them.

The result is a pool of talent that is suffering a major brain drain as the all-stars seek jobs elsewhere. Jobs that once held more opportunities for ownership feel more like mechanical/non-creative work.

Recently, a re-organization doubled down on this direction. This leaves an impression that the management woes are either not understood at the highest levels or they are being actively endorsed.

The remote team has more or less been decimated through refusal to hire more coupled with poor work/communicate strategies. Lip service is paid to how important that aspect of the company culture is with no actions to back it up. I can't foresee remote work being sustained long term.

The organization as a whole can't stick to any consistent set of priorities. The results of which leave the engineering department thrashing wildly from project to project while not actually completing any of them to any degree of quality.

The result of this is that anything that requires a long term strategy such as tech debt or complex feature creation is nearly impossible in the environment. The whiplash of these changes is frustrating. Anybody who tries to act as a stabilizing force to combat it is frustrated, worn out and inevitably quits. There will be some serious fallout when it becomes evident that this is not sustainable.

Tech debt is willingly embraced and it often leads to more problems than it solves. Tech debt is rarely addressed. The product quality is embarrassing and getting worse as the talent declines.","Clean house in engineering management.

The space of autonomous vehicles, carsharing and ridesharing is pretty vast. It will be necessary for the company to pick a sub-space of that and dig in and perfect that. Attempting to ride the middle ground without substantial talent and planning and good management will inevitably lead to failure.

You've lost so many talented engineers and you are not attracting their like in your replacements. This is a strong signal that your culture is toxic.

Learn to make remote work or own that you can't.",1.0,3.0,4.0,1.0,3.0,1.0
2018-05-12,,,Former Employee ,Great Company,,0,Great place to work for,Some management inefficiencies create problems for communication between teams.,Communicate better,4.0,3.0,5.0,4.0,4.0,4.0
2018-02-09,,,Current Employee ,Excellent growth opportunities,Less than a year,0,"Employee happiness is of paramount importance in this company. Being a fast paced startup in the cut-throat mobility industry , it's easy to ignore the aspirations of each employee but the CEO and the executive team inculcated a culture of putting employee happiness as a top priority for every manager.

The company's biggest strength is their founding team who stood intact through the ups and downs since the beginning of the new age mobility industry (since the birth of Uber, Lyft) and are now on the path of being the pioneers in the mobility industry.

The company has a rich engineering diversity that includes full stack developers, design teams, hardware engineers and the new Autonomous Driving Division. This gives a great amount of exposure and learning resources for any new employee.
The company is on a high growth curve right now , every team is growing exponentially. So if you want to accelerate your career and learn on the go, this is a right time to be in this place.",New employees are joining almost every week and the company's infrastructure is playing a catch-up to accommodate to the growing number of employees. The new office building in February might address this problem.,The company is recognized as a new age mobility pioneer by the customers and industry players but doesn't have enough reputation in the engineering community. Take steps to increase the awareness of company's popularity/achievements among the top talent of the Silicon Valley.,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-13,,"San Francisco, CA",Current Employee ,A horrid place to work,Less than a year,0,"* HR is excellent; they genuinely care about employee well-being and go the extra mile

* Good benefits:
    ** Unlimited PTO
    ** 401-K (not matched)
    ** Tax-free commuter card
* Cool perks:
    ** Daily catered lunches
    ** Monthly cash ""Happiness Allowance""","The benefits and perks may make this outfit sound like a pretty decent place to be.

Don't be fooled.

Engineering:
The culture in engineering is that of a sweat shop. Expect to be on-call 24 x 7 x 365, although this is never mentioned openly. While PTO is unlimited, it is made quite clear that extended vacation is a major inconvenience.
There is no structure to development whatsoever. As an individual contributor, expect to be interrogated on status by VP-level and higher management. If work is deemed to not be moving fast enough, someone will physically sit at your desk ""to help you along"".
Management perpetually swears ""this is the last time we're rushing"" and that the promised land is just around the corner.

Releases:
Release management is non-existent and long-standing feature branches make for nightmarish merge conflicts. Branching strategies are subject to trial and error at every turn. Botched, patchy and failed all-night deploys are the order of the day.

DevOps:
No priority is placed on hiring a capable DevOps team, which is grossly under-staffed with a few mostly junior or mid-level backend developers who are left scrambling to google solutions to problems during on-going production deployments.

Management / Environment:
Upper management seems utterly tone-deaf to the day-to-day chaos in engineering. It seems there are ""management off-sites"" every other week, but they yield little else than hollow proclamations of grand visions for the future. Major holes in the current product offeringare left unattended in favor of the next new and shiny.

There is unrelenting pressure to churn out work and every crisis seems to lead to the next one. Any and all customer escalations are turned into major fires that must be dealt with immediately. Open blaming of both teams and individual contributors and shouting matches during meetings are a common occurrence. Frustration levels are off the charts.

Office space:
Cramped seating, lack of personal space, inadequate toilet facilities and uneven temperature distribution only add to the discomfort.

This place is not worth it. Keep looking.",,1.0,1.0,1.0,1.0,4.0,1.0
2018-02-09, Principal Engineer,"San Francisco, CA",Current Employee ,Great Future ahead,Less than a year,0,"* Top mobility service company
* Strong focus on autonomous driving future
* Wide variety of very big customer base
* Very good top management, CEO has great vision and very good execution and conflict resolution. HR genuinely cares for all it's employees an goes the extra mile to help.","It is still a startup and comes with all the problems of a fast growing startup in this stage.

Tackling scalability, financial efficiency, new compliances and new initiatives all the same time create a lot of challenges that you would come to expect if you are passionate to work in a growing startup working on cutting edge technology. This might include crammed office space, low restroom ratio, and frequent overtimes, responsibilities for deployments and meeting outside of standard office hours.

These are all being taking care of, with new office buildings coming up next month, more project managers to smoothen out workload.

Till then we are all part of the roller-coaster journey to an exciting future.","* Try to realize your time constraints sooner and how it might be blocking others and resolve them sooner than later.
* We would need stronger and more well defined, well communicated/practiced processes as we grow.
* Practices (of documentation, meetings) needs to improve to allow remote/satellite office to be as productive and less isolated from the main HQ.",5.0,3.0,5.0,5.0,5.0,4.0
2018-01-31,,"San Francisco, CA",Former Employee ,Go RideCell,More than a year,0,"The product kicks butt and puts the company at the forefront of an exciting industry. The people are very talented and generally good people, great to spend long work hours, and even after hours with. If the company values are those that you yourself like to live by, it’s a no brainer for you.","The company had some great accomplishments during my tenure, but we needed to slow down to take the good and the bad all in, reflect, and ensure that we did better the next time. And ensure we continued to do the right things. There wasn’t enough of that. Working remotely I felt that there were a lot of communication gaps, some employees were very good at keeping remote members in the loop, or they didn’t even bother at all. The remote set up was not always ideal either (for the longest time the internet would go out for the team at HQ). The space was also pretty cramped when I was there in the office, a lot of people complained about Conference rooms.","Continue to live by and operate through company values, be ruthless, be thoughtful and communicative with, and listen to your people. The group I worked with at RideCell was like no other. I’m excited to see them go far!",5.0,4.0,5.0,3.0,5.0,5.0
2018-02-08,,,Current Employee ,A company scaling up,More than a year,0,I have been here for more than a year and I haven’t ever been at any place more focused on one mission - to enable mobility for all in the most efficient way. The perks are pretty good for a company this size. The HR management does a great job of providing great benefits and meals and always ensure employees needs are catered too. Overall it is a pretty good place to work that’s going brought scaling up and maturing. Churn is natural with changes - we need to take it in our stride . Excited about the new office space.,Accountability should be improved - too many departments for a small org. Not enough communication about the business.,Focus on quality and innovation. Focus on scaling up - bring in people for values and not previous brands. Weed out the non performing faster. Encourage iteration and experimenting. Encourage candidness. Expand Asia presence.,4.0,4.0,4.0,4.0,4.0,4.0
2018-01-15,,,Current Employee ,Sales,,0,Ridecell has provided a great place for my personal and professional growth during the time I have been employed here. I have had the chance to step up and take on new responsibilities and learn quickly in ways that would have not been possible at other companies. The space we are in is also very exciting. It is great to come in to work each day with other like minded individuals who are enthusiastic about the problems we aim to solve within mobility and becoming thought leaders in the worlds transition to autonomous mobility services. I am overall very excited about the future and where we are going!,"Some of the things that need to be improved are mainly the effects of growing so quickly. They are all things that I believe can be addressed with the right focus.

Lack of cross team coordination impacts our ability to move as quickly as we want to and as quickly as I know we are capable of. I know we are putting in steps to improve this skill company wide but there is a lot more work to do.

There are also things we can do better around measuring performance of both well performing and poorly performing employees. It can be discouraging to others on the team to see someone stick around that is performing poorly. It is demoralizing and undermines the hard work of the top performers. Hopefully this is something that can be addressed in the coming months. As we get larger this will only get more difficult so it is important to start putting measures in place now.",,5.0,3.0,5.0,5.0,5.0,5.0
