date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-29, Senior Project Manager,"San Francisco, CA",Current Employee ,The BEST. Place. I’ve. Worked. Ever.,More than a year,0,"Very bright and senior coworkers, VERY collaborative office, such friendly staff, some truly amazing leadership! ICs are given trust from leadership to do what they were hired to do. PERIOD.","Product is new, company is young. Some hard work and late nights to get the work done, but it’s a startup, we are working towards something bigger then ourselves","Keep it up! Honestly! Don’t change a thing, maybe more swag, I got one free sweater and a pair of socks, don’t hoard the swag! ;)",5.0,3.0,5.0,5.0,5.0,5.0
2019-02-20, Integration Engineer,"San Francisco, CA",Current Employee ,Building Fintech's next generation of tools,Less than a year,0,"- Ripple has found the necessary balance between new tech like blockchain and the needs of slow-changing financial institutions

- There's tons of space for new projects and individual initiatives despite already being a relatively large startup

- Direct access to leadership is possible, frank conversation encouraged, and people do not tend to have fragile egos

- This is a truly global organization from the start. With offices and teammates from all over the world, plus a focus on cross-border payments, it will only get more so.","We're doing everything we can to change highly regulated and conservative industry. Much of how things play out with issues like policy and regulation are completely out of Ripple's control. If the thought of that stresses you out, this may not be the place for you!",Keep up the good work! Let's make sure Ripple stays at the forefront of both innovation and reputation in the Fintech and blockchain communities!,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-14, Senior Manager,"New York, NY",Current Employee ,"The ""Adults in the Room"" of Crypto",Less than a year,0,"Excellent on-boarding process that really gets you to meet and learn from everyone, including leadership. Friendly, bright colleagues that are more than happy to collaborate across business units. Modern technology and tool flexibility. Clear vision and plans to change the world.","Some growing pains that would be common at any high-growth company, as systems and processes that were designed for 50 people have trouble scaling to hundreds. Snacks/drinks in SF are so good that the (still pretty good) pantry in NY pales in comparison. Travel policies could be less stingy.","Keep up the strong vision, and remember to grow in a smart, people-focused manner.",5.0,5.0,5.0,5.0,4.0,5.0
2019-02-14, Executive Assistant,"San Francisco, CA",Current Employee ,"Great culture, exciting industry",Less than a year,0,"Seamless recruiting process from start to finish with brilliant people. Very dynamic pace but exciting at the same time as company grows and scales, The culture is that of caring about employees and being very transparent with them. Overall great positivity.",There are really no cons since the company is growing and learning how to adjust and scale along the way but doing it in a way where employees feel like the culture is not shifting and that they are making an impact for which they are being recognized.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-20,,,Current Employee ,Brilliant and Kind People Doing Important Work,,0,"Company has a great, important, and globally relevant mission. Smart people working fast to accomplish A LOT and it's really happening. I'm happy to be in a place where there's a lot of positive energy and momentum.",Steep learning curve in this industry but the company does an amazing job of onboarding to give you all the necessary resources to get up to speed quickly.,Keep up the great work of communicating so well with employees and taking good care of them and we will keep working hard to advance our mission.,5.0,5.0,5.0,,,
2018-12-11,,,Current Employee ,Great place to work,,0,Ripple's dedication to employee engagement is fantastic. This is a company that really wants you to enjoy working for them. Everyone is very friendly and excited about the company's future. Excellent benefits.,"I wish they provided catered meals all the time, lol. But that's just the Silicon Valley in me talking.","I think there should be a management feedback survey that allows for specific short answer-style comments to be made about managers' style. While it's nice to get a general sense of people's opinions through bullet points, a person who checks ""5/5"" for ""manager is dedicated to getting the job done"" might really be saying, ""manager micromanages and has a tendency to jump down people's throats if not everything is done exactly to his/her extreme specifications, which were not given at the beginning of the project and are never freely given in general.""",5.0,5.0,5.0,4.0,5.0,5.0
2018-12-14,,,Current Employee ,Great Overall Experience,,0,"Leadership seems to be weathering the volatility in the marketplace with ease, keeping everyone motivated and happy. Closed deals and partnerships are announced almost every day. New hires are joining weekly in offices all around the world. There are multiple events (lunches, speakers, team building, happy hour, etc) every week. It's a very exciting time to be here.",Snack selection could be improved,,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-26,,,Former Employee ,Data analyst,,0,"good environment
great location
good pays
nice teammates",NO no no no no,,5.0,5.0,,,,
2018-10-11, Project Manager,"New York, NY",Current Employee ,Great place to work!,Less than a year,0,"- Super friendly - Love the culture!!!! Everyone is nice and helpful!
- Plenty of documentation to help understand all the products! ie: confluence, videos, training material, power points.. Ripple has its own technical writers so you don't have to worry about keeping up with your documentation. :)
- Structured - I was surprised when I joined to see how structured it is, that way it makes it easier to understand what we all should be doing.
- Transparent - Brad himself during the all-company meeting tells us the good, the bad, the ugly ... and this helps tremendously to know where we stand and what we need to do!",- I'm eating too many chocolate covered pretzels.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-25, Information Security Architect,"San Francisco, CA",Current Employee ,Caring company with bright future!,More than 10 years,0,"Ripple has one of the most exciting products in Fintech, they’re trying to solve real world problems with real potential of disruption in payments! The vision and strategy of the company is super solid, execution is getting better every day! Leadership team cares for employees as much they care for business and customers. Ripple spends lots of time honing core values and making sure everyone aligned with it! This is a typical growth phase of startup so things change constantly as company tries to find better way of doing things.

Lots of flexibility and decision power if you come with subject matter expertise. Mangers are super supportive of new ideas. Nobody watches when you come or leave , they just focus on getting things done!

Kitchen is always stocked with great snacks, drinks and way more options for coffee than I’ve seen elsewhere. Lunches and breakfasts served few times a month. Coming from a corporate background this is a breath of fresh air!",Not much that I can say,"Hire best and brightest, keep laser focus and stay down to earth!",4.0,5.0,5.0,5.0,5.0,5.0
