date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-31, User Experience Designer,"San Mateo, CA",Current Employee ,One of the coolest place that you can work for,Less than a year,0,"1.) Very efficient recruiting process, Bette is definitely the best HR I have ever worked with. She is always pretty responsive, helpful and considerate. I also had a CEO interview for a non-manager role, I can tell this place really respects and values their candidates just from the recruiting process.

2). A lot of delicious snacks, drink, and fruits in the kitchen. They even have some ice creams which I like the most. Free lunch, a lot of choices. You can order delivery with eatclub too when you are too busy to go to the cafeteria.

3). Good for my career. I am working on the platform played by millions of users, this makes me feel very proud. A lot of challenges need to be taken as well, I believe I can learn a lot here.

4). Good work and life balance.

5). Transparent communication. I love my team, they are super smart, easy to get along with and work with.",Nothing particular at this moment.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-28,,"San Mateo, CA",Current Employee ,"Roblox, a place that truly Inspires",Less than a year,0,It is so wonderful to be surrounded by such great minds - an amazing group of very smart and savvy colleagues. I have learned so much and have grown so much in the last year and half of being at Roblox. Seeing the impact of what we have created in the player community is so exciting and look forward to being apart of the growth at Roblox.,None come to mind.,,5.0,4.0,5.0,5.0,4.0,5.0
2019-03-14, People Operations Specialist,"San Mateo, CA",Current Employee ,"Roblox, helping accelerate my career in the right direction",More than a year,0,"The people are passionate, knowledgeable and fun. Career growth opportunities are endless.",Open concept office can be distracting at times.,"Maintain the unique culture, focus on the most important goals, and continue to crush it!",5.0,4.0,5.0,5.0,4.0,5.0
2019-03-14,,,Current Employee ,"Great Culture, Good People!",More than a year,0,Fun place to work. Proud to be apart of such an inspiring company. Roblox offers anyone who wants to build games the chance to do so. They provide so much opportunity for young developers to essentially build there own business. It's great to be apart of such a vision!,I do not have any cons to report,Keep doing what your doing!,5.0,4.0,5.0,5.0,4.0,5.0
2019-03-18,,,Former Employee ,You will look so cool to your kids,More than a year,0,Kids love the product and you should be proud,"Kinda startup, but it's been around for a while and codebase was somewhat far from modern.",,4.0,3.0,3.0,5.0,3.0,3.0
2019-02-28, Technical Staff,"San Mateo, CA",Current Employee ,Great Experience All Around!,Less than a year,0,"Great culture where everyone is very helpful and willing to share ideas together. People are hungry to innovate and move the whole platform toward scalability! I've really enjoyed my entire experience from getting recruited, to interviewing, to today.",I don't see any cons thus far,Invest in infrastructure... the outcome will be happy gammers world wide :),5.0,5.0,5.0,4.0,5.0,5.0
2019-02-25, Software Engineer,"San Mateo, CA",Current Employee ,"Great people, great work",Less than a year,0,"- Definitely the people, very friendly and approachable
- Growing fast - a lot of exciting opportunities
- Free food and snacks",- The developer tools are a little outdated but there is focus to improve it now,,5.0,4.0,5.0,5.0,4.0,5.0
2019-02-24, Software Engineer,,Former Employee ,Worst Place to work,More than a year,0,"- Kitchen is stocked
- Lunch provided","- Managers intention is not to grow Employees. Lots of politics and if you can play that well, this place wont be suffocating.
- Micro Management
- Funnily when i left, I spoke to HR and told them the reason I am leaving is my manager and the response I got was ""You are the 3rd person leaving for the same reason""
- They dont do anything to change the culture of the place. But when they are interviewing you, they provide this amazing picture of the company and culture which is not true.

Would not recommend this place to anyone.",,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-16,,,Current Employee ,No other place like it!,,0,Company is in hyper growth mode. It’s fun being a part of something special and helping build a new category. Company has potential to be the next big thing! Kids get excited when they find out you work for Roblox.,There are so many things to do and sometimes feel like not enough time or resources. The tech stack needs update but we’re working on it.,Keep hiring the right people.,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-23, Technical Recruiter,"San Mateo, CA",Current Employee ,Roadblocks is more like it....,More than a year,0,Decent lunches and snacks. Standing desks. Onsite gym.,"Worst People Ops team I've ever worked with. Non stop gossiping, immature managers who don't know anything about technical recruiting or strategy in closing candidates. I overheard a manager speaking poorly of other companies in an effort to close a candidate and that's just not how you do it. Current People Ops management doesn't know the HR Legal realm and are extremely uneducated in Recruiting and Human Resources practices.

So far, my worst job yet-I left a great company to come to Roblox and it was the worst decision I ever made. I'm currently interviewing at other companies on Roblox's dime. That's how much I can't stand the recruiting team or the company.","Clean house on the recruiting team. Hire new, competent managers/leads who know how to close candidates without making Roblox look bad, and who are graceful and have class. The current management team lacks education, class and the ability to reduce gossip and keep things confidential.",1.0,1.0,1.0,1.0,2.0,1.0
2018-11-30,,,Current Employee ,Backstabbing culture,,0,"Nice kitchen. Enjoying all the food, and piggin' out every day. Kids are happy!","Everybody smiles at first, but the company is run by fear. Management terminates a lot of people on a whim, for no reason. Entire teams can be gone in a blink. Pretty much everyone here, especially management, wants to backstab you and make you dispensible in order to let you go easier.",Stop lying.,1.0,3.0,1.0,4.0,2.0,1.0
2018-10-06, Senior Software Engineer,"San Mateo, CA",Current Employee ,Failing middle management,More than a year,0,"Popular products, happy ""customers"" :)",Unprofessional middle management. New people are hired at higher level while they are nowhere near match for most of the senior engineers. In some cases people with almost zero exp are hired at similar or higher level than people with 10+ years of experience. That's how failed management makes existing employees seek for other opportunities elsewhere.,"Hire down, pick the best to lead. Promote those who consistently deliver good results instead of ""promoting"" those who just joined.",4.0,5.0,5.0,4.0,5.0,2.0
2018-09-19, Marketing Associate,"San Francisco, CA",Former Employee ,Marketing Associate,More than a year,0,"Great management, opportunities for growth, and people who were really passionate about their work.",Lack of communication between the marketing department and other departments.,,5.0,5.0,3.0,4.0,4.0,5.0
2018-10-19, Recruiter,"San Mateo, CA",Former Employee ,Lacking focus,Less than a year,0,"Free lunch
Nice and smart people","No alignment on company goals
People keeping busy",Choose what you work on wisely and then execute,1.0,1.0,2.0,1.0,2.0,1.0
2018-09-21,,,Current Employee ,Nice place to work,,0,People are professional and nice,"Promotion is hard, high pressure",,4.0,4.0,5.0,3.0,4.0,5.0
