date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-07, Global Marketing Intern,,Current Employee ,Position Details,,0,"-great place to meet other professionals
-global projects
-opportunity to work on more projects with other divisions
-mentorship
-friendly and caring group
-flexible hours
- great team
-office is wonderful",-little mobility to be hired as entry level roles are limited,,5.0,4.0,5.0,4.0,5.0,4.0
2019-04-02, Clinical Vet Associate,"Nutley, NJ",Former Employee ,Great place to work,More than 5 years,0,"Very Professional, paid well, great management",I can not think of any cons,,5.0,4.0,5.0,4.0,5.0,5.0
2019-04-01, Associate Director,"Tucson, AZ",Current Employee ,Great company to work for,More than 8 years,0,Stable and employees are treated with respect. Reasonable bonus,A large company and it takes a long time to make decisions.,,4.0,4.0,4.0,4.0,4.0,3.0
2019-03-17, Principal Software Engineer,,Current Employee ,Great place to work,,0,Very friendly atmosphere. Highly skilled specialists. Excellent benefits. Management makes a lot of efforts to keep people happy.,"Very complicated organizational structure and, as a result, too many levels of programs/projects management and people who actually do not produce anything useful",,4.0,5.0,5.0,5.0,,
2019-03-15, Biostatistics Manager,"Hayward, CA",Current Employee ,Great company to work for...,More than 10 years,0,Great colleagues to work with and excellent compensation/benefits package.,"Politics are crazy. It's who you know - not really how well you do that gets you promoted or a higher salary ... I wish it were not that way. Incredible nepotism in the Biometrics Programming Group (at least in Pleasanton, CA).",Give a little more free reign and wiggle room to optimize the assays and put quality back into our everyday lingo again...,4.0,4.0,5.0,3.0,5.0,4.0
2019-04-04, Documentation Specialist,"Indianapolis, IN",Current Employee ,Standard Corporate Company When Working OnSite,More than 3 years,0,"Atmosphere and dedicated workforce are both big positives. Having an aging workforce that cares greatly about the work being done highlights how important the work is, but also highlights how little management cares.","Management is not honest, to the point where it isn't a personal critque but rather something that's just understood by the greater workforce. Extraordinarly little diversity for a company in this sector, very unfortunate..","Listen to your employees, share information with people. Workforce is tired of being managed by a person not on site, worrying about cuts they know are coming but aren't allowed to mention, etc.",2.0,1.0,1.0,3.0,4.0,3.0
2019-03-27, Senior Software Engineer,"Mountain View, CA",Current Employee ,LifeScience + Technology to work in Bay Area,More than 3 years,0,"- Good collaborative environment
- Productive lunch and learn meeting",- Ventana management still struggling and didn't get acceptance widely.,,3.0,3.0,3.0,2.0,1.0,1.0
2019-03-18, Former Manager,"Pleasanton, CA",Former Employee ,Not a progressive company,More than 3 years,0,"Great talent, opportunities to meet with senior management on a regular basis, can grow by taking advantage of different job opportunities internally",Lacks innovation. Senior management does not consider the amount of great talent available within the organization when making strategic decisions. Also very politically driven.,,3.0,3.0,3.0,4.0,3.0,3.0
2019-03-23, Field Service Engineer,"Las Vegas, NV",Current Employee ,Good pay and benifits,More than 5 years,0,"Good compensation
Great people
I feel that I am helping people live better lives when I do my job","Lots of travel
focus seems to be shifting to sales and from providing good service to existing customers","Focus on customers we have first, not just acquiring new accounts",3.0,2.0,4.0,3.0,4.0,2.0
2019-02-20, Technical,,Former Employee ,"Opportunities, but not on a platter",More than 10 years,0,"Most of the areas I worked in had a good culture and working environment. There were a few flighty ladder scramblers, but most of the people were solid hard-working folks who made working there a pleasure. The pay and benefits were very good, which I belatedly realized I'd taken for granted!
The products are high quality and provide many positive aspects, which employees can feel good about. For example, you might work with a product that helps diabetics better control their disease or an instrument used in labs seeking the cure for diabetes or devices that are fast and accurate, getting you health answers quickly.","It's tough when you work for a company's largest market (US) and are still managed from afar. This frustration is compounded when strategies, tools, and programs are developed in the company's much smaller and different home market to apply everywhere. These ""gifts"" are given to the rest of the world with little leeway in their use. If changes are approved, the cost and time of retrofitting the ""gift"" falls on the receiving markets.
Although generally good, the prevailing culture, pace, and management style in the business areas vary widely. This is an issue when you move to another area, as you are encouraged to do, because you may go into an unexpectedly stressful environment. I once encouraged a friend to work at Roche. When they described the pressure, management style, and stressful atmosphere in their area I was shocked and embarrassed.","Avoid laying off seasoned employees for tenure, fiscal or re-organizing reasons. You are casting off a huge investment in their wisdom and experience. Instead, have that challengeing conversation to see if something could be arranged so that your investment isn't walking away to benefit the competition.
There are many ways to avoid meetings that still accomplish the goal of the meeting. Start implementing these alternatives and foster a ""meet as a last resort"" culture, which will increase productivity and reduce stress. If a meeting is unavoidable, give equal planning time to the ""how"" of a meeting segment as well as to the ""what"", which usually receives all the focus.",4.0,3.0,4.0,3.0,5.0,4.0
2019-02-27, Senior Scientist,"Madison, WI",Former Employee ,Good Company. Great Benefits. Would recommend to a friend.,More than 5 years,0,Solid Company to work for. Nice compensation package with great benefits. Working environment has a lot of flexibility. Great people to work with. Overall experience was very positive,Lacking in advancement in opportunity. Feels like the vision communicated from senior management and the day to day activities are somewhat misaligned.,,4.0,4.0,5.0,2.0,5.0,3.0
2019-02-27, Attorney,"Pleasanton, CA",Current Employee ,good benefits and great culture,More than 8 years,0,"good place to work at, good pay",little opportunity for career advancement,,5.0,5.0,5.0,1.0,5.0,3.0
2019-03-12, Applications Specialist,"Boston, MA",Current Employee ,Top Heavy,More than 5 years,0,"Benefits are outstanding, 401K is second to none.","No accountability within upper management. All decisions based on the ""team"" mentality.",Abandon the matrix process and open environment work-spaces.,3.0,3.0,3.0,3.0,5.0,1.0
2019-02-26, Technical Analyst,,Current Employee ,Good but not Great!,More than 5 years,0,"PTO, Health benefits, 401k matching, decent salaries. I've also worked with some great managers and individuals here.","Micro-Managed. Constant upper-level changes. Poor communication between marketing, sales, and support with customers. Division changes every few years. Slow growth potential and opportunities. Lay-offs.","Stop investing in ""better customer interaction,"" and focus on communication between each group/division. Take notice of aspirational employees and seek to assist them, in their growth. Truly listen to your ground employees. Stop making changes for customer experience based on what you believe will benefit them. Talk with your front-line support teams who interact with customers daily and listen to their advice.",4.0,3.0,3.0,2.0,5.0,2.0
2019-02-23,,,Former Employee ,HR Sr. Manager - Sales Compensation,,0,"At the time, it was still family owned. The family owned 51% of shares. They treated employees well. It was also a European company. Therefore, the culture was better than most large American public companies.",My immediate manager wanted HR to be run like GE. GE had a policy of laying off 5% or perhaps it was 10% of its workforce every year. This created an extremely internal competitive culture that was dysfunctional and unproductive.,"Now that Roche merged, I’m not sure of the culture. It is always a good idea to treat your employees well. The number one reason an employee leaves a company is due to their immediate manager. Incorporating a 360 review process for managers gives executives an idea of how employees are being treated.",5.0,,,,,
