date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-13, Technical Support,,Current Employee ,Great place to work,More than 5 years,0,"Great Benefits, people, and the culture is amazing",There is no cons for working here.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-23, Vice President Sales,"Jacksonville, FL",Current Employee ,A wonderful company that is starting to not be so wonderful,More than 5 years,0,"Salesforce is a destination company and there are few places where you will find so many truly interesting and gifted people in one firm. There is a real effort to continue to promote the company's values, including trust and equality. Support for philanthropy is significant (although I would agree with the reviewer who noted that ""volunteer"" activities are often anything but voluntary but rather expected/required. (Not to say that giving back is anything other than positive, but it's just worth noting that most company activities include it as part of the agenda.)

The customers are interesting and the tech is pretty solid. The benefits are what you would expect from a firm that wants to hire top talent, in other words, extensive and high quality.

The company continues to grow at quite a fast rate, and that is an imperative. The acquisitions are part of that and it's quite clear that they are necessary since there is only so much organic growth coming out of the core businesses. If you are in a ""good"" territory / team / department, this may in fact be a dreamjob. There are quite a lots of employees who are able to devote many hours (days) to volunteer causes, company social functions, training opportunities and so on. This is particularly the case if you are employed in one of the hub offices.","The rapid growth and the pressure around quarterly metrics is starting to come at the expense of cohesion and quality. The annual reorganization of the business is quite disruptive and is particularly problematic in business areas where the sales cycles are longer, like the more heavily regulated verticals or larger enterprise environments where aligning stakeholders and building vision takes time. You can work your &#$# off here and have all that worked handed off to someone else in a new fiscal. Happens a lot.

Above the mid management/senior director level, the political environment resembles the Hunger Games. The lack of capable management and the lack of transparency around career progression / promotion are a drag on the business and a significant business risk. The departures of more tenured people should be very concerning to leadership; just look at the difference in the reviews of new (<1 year) employees and those with 5 or more years of experience. It's not a positive marker. There is a reason that the employee survey now asks about the ""psychological safety"" of our workplace. Leadership should be commended for recognizing that this is a problem, but now needs to actually do something to fix it. Just adding a feedback app and calendar reminders to use it are probably not going to get the job done.

Once you are hired, progression within the company can be difficult. There is a policy that all internal transfers should be lateral in terms of grade and compensation, even if an external candidate with the same credentials would be offered significantly more compensation and a bigger title. There is a sense that the only way to get a promotion is often to threaten to (or actually) resign and unfortunately, plenty of evidence that this is an effective strategy.","The company's attention to culture, values and social justice are admirable. Recognize that those efforts also create an expectation within the firm that ALL management will demonstrate those values - something that is far from reality. This is not a problem that is going to be solved with Trailhead. Cultivating good people managers who can support and develop talent within the company should be as much of a priority as sales, and great management talent should be celebrated and rewarded. Likewise, those who treat people poorly, have significant attrition or staff departing for other teams should not be retained in management positions.",2.0,3.0,3.0,2.0,3.0,4.0
2019-04-04," Account Executive, Growth Business","San Francisco, CA",Current Employee ,Great Company to Work For,Less than a year,0,"Great benefits, culture, lots of opportunity.","Your manager/territory/account list will have a huge impact on your success, so relationships are key to protect yourself on those factors.",,5.0,5.0,5.0,5.0,4.0,5.0
2019-04-12,,"San Francisco, CA",Current Employee ,Awesome Place to Work as an Engineer,,0,"Interesting and Challenging work
Friendly and Qualified co-worker
Great work life balance
Great growth opportunity
Excellent overall benefits",No Free Lunch for Engineer,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-11, Senior Vice President,"San Francisco, CA",Current Employee ,"Strong growth, values, and industry leadership",More than 10 years,0,"I’ve worked at Salesforce for 14 years and it’s been quite a ride! The company is fast-paced, values-oriented, and full of opportunity. I’ve always felt confident that the company bases its decision making on what is right for our customers and the future of the company. People who are motivated, collaborative, and hard working will succeed here. As Salesforce has transitioned to a larger company, a lot of effort has been put in place to integration and foster collaboration across the company. Salesforce has maintained and strengthened its culture with growth, something that is not easy to do. It’s a pleasure to work here.","Salesforce is a large company, but you can find an entrepreneurial spirit and freedom in many of the smaller divisions in the company.","Stay true to your values. With many difficult ethics issues arising in technology, Salesforce has an opportunity to lead the industry in doing what is right.",5.0,5.0,5.0,5.0,5.0,5.0
2019-02-16, Senior Director,"San Francisco, CA",Current Employee ,Good employer that makes themselves look great through extensive marketing,More than 5 years,0,"If you are in the right business area, maintaining a good work/life balance is very easy. There are some employees spending as much as 50% of their time on volunteer activity - literally logging more than a thousand hours of volunteer time a year. The support that the company offers its employees in times of need is exceptional, and the care and understanding of middle management is genuine. I care for all of my team members well being, and support them personally and professionally as much as possible. So do my colleagues.","Underneath the facade, Salesforce is focused on perception more than reality. VTO isn't volunteer time off at all. It's voluntold time on-top (of existing work load) for most of the company. We have targets for VTO set, but many business units aren't staffed appropriately to actually take the time off. Instead it's just adding work load on top of our existing work load. Also, the company really exemplifies the wealth gap, with those at the top heavily rewarded with expensive trips, awards (including cars, watches, etc.) while the majority of the company is paid somewhere around the 75th percentile of industry. We once had a travel freeze but the company still sent the top 100+ employees to a big shindig in Hawaii - and they broadcast it and insisted that everyone across the company ""tune in"" to it remotely. Wow.","Focus more on results and less on perception. Eventually the wrong (or right, perhaps?) person will see behind the curtain.",3.0,2.0,3.0,4.0,4.0,2.0
2019-04-08, Talent Advisor,"Indianapolis, IN",Current Employee ,Truly an amazing company!,More than 10 years,0,"Constantly learning, never a dull moment, latest technology at your fingertips, passionate team members, opportunity to grow your skillset, excellent benefits and industry leader with pay.",I have had a very positive experience so far.,,5.0,4.0,5.0,4.0,5.0,5.0
2019-04-08, Principal Solutions Engineer,,Current Employee ,Great Company to be a part of,More than 5 years,0,"Tons to learn, great experience to be had",Constant pressure to follow corporate message,,5.0,2.0,3.0,5.0,5.0,3.0
2019-04-04, Junior Business Analyst,"Irvine, CA",Current Employee ,Great Company,Less than a year,0,The culture and vibe and dogs,have to go home sometimes,sleeping pods,5.0,1.0,5.0,5.0,5.0,5.0
2019-04-06, Senior Account Executive,"New York, NY",Current Employee ,Great Place to Work and Grow,More than 5 years,0,"Great culture
Company has values and lives them
Innovative
Thought Leaders
Bright people
Friendly and Respecful culture
Amazing Brand","Salesforce app culture sometimes make things very interrupt-driven and /or seems like doing anything requrires inputting a lot of detail into the system. I get it from a macro level, but it can be a lot",,5.0,4.0,5.0,5.0,5.0,5.0
