date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-04-12,,,Former Employee ,Dream job,,0,"-the best coworkers: intelligent, mission-driven, all around wonderful humans
-incredible leadership who take a personal interest in your well-being
-effective and impactful model: Samasource is changing lives in a sustainable way
-org wide commitment to excellence, transparency, and innovation
-approach to international development is built on respect and empowerment
-autonomy and creative freedom in your role
-flexibility to work from home
-paid a living wage (which is saying a lot for a nonprofit in SF)","-constantly shifting priorities
-too many hats, which sometimes made it difficult to be successful in specific functions",,5.0,5.0,5.0,4.0,5.0,5.0
2019-01-18,,,Current Employee ,Project Manager,,0,Supportive Culture and AMAZING people.,Pay is not that great.,,4.0,4.0,5.0,4.0,2.0,3.0
2017-10-30,,,Former Employee ,Summer Associate Intern Samasource/Samaschool,,0,-great colleagues and work environment,-lots of turnover and some politics,management should focus on professional development/retention,4.0,,,,,
2017-06-06,,"San Francisco, CA",Current Employee ,Social Enterprise with Incredibly Talented Team,More than 5 years,0,"As somebody who has been at Sama for many years, I can say quite sincerely that the org, the leadership and culture has evolved substantially in my time here, and that I feel very happy and fortunate to be here. I'm also looking forward to being part of Samasource's future as a leader in the world of social impact, as well as a provider of high quality services in the world of tech and machine learning in … 



Show More","The office location is not my favorite, as 16th and Mission can get pretty rowdy, and the building itself is a bit old, but it's something I can definitely live with, especially since there is flexibility to work from home more often than other jobs I've worked at.",,5.0,4.0,5.0,4.0,4.0,5.0
2016-12-14,,"San Francisco, CA",Former Employee ,"Great people and mission, fast-moving and ever-changing",More than a year,0,"I thoroughly enjoyed everyone I worked with. My co-workers were smart, dedicated, and fun to be around. I feel the organization is making a meaningful impact in the world. Management actively seeks out feedback from employees and works to improve areas that are challenging for employees.","My job title, manager, and responsibilities changed frequently due to turnover and shifting priorities. I was constantly taking on new projects and putting others on the back burner. It sometimes felt like we were chasing things rather than setting a strategy and pursuing it.","Continue to listen to feedback and build on the organization's strengths - it's people, mission, and work environment.",4.0,4.0,5.0,4.0,4.0,3.0
2016-11-01,,,Current Employee ,Cautiously optimistic,,0,"This organization is outcomes driven; constantly striving to evaluate and re-evaluate how to deepen and broaden impact. Impact sourcing is hard, especially in a competitive environment. However, the desire to continue experimenting, investing, succeeding and sometimes failing, makes this an incredibly inspiring place to work. I am consistently amazed at the maturity and caliber of talent this organization has.","Working in a budget constrained environment can be challenging. With a mission as broad as solving poverty, it can be tempting to lose focus and drive too many initiatives.",Focus - Keep your eye on the ball. Invest in your team by promoting from within and creating as many growth opportunities as possible. Keep a discipline of sustainable growth.,5.0,,,,,
2016-10-19,,,Former Employee ,"Sharp, values-driven employees",,0,"All-hands meetings were well-attended and valuable
Ops and product leadership are fantastic
Office space is beautiful, conveniently-located, and dog-friendly
Employees extremely welcoming of newcomers","High turnover leads to perpetual hiring cycles, which are difficult on all current employees
Sama brand has fragmented into too many different directions, sacrificing integrity
CEO is out of touch with daily operations",More emphasis on supporting internal movement to prevent problems with turnover. Many employees would benefit from and are interested in at least a trial period in another position.,4.0,4.0,5.0,4.0,4.0,4.0
2016-10-17,,"San Francisco, CA",Former Employee ,Samasource is a great brand and therefore stepping-stone to launch your career,More than a year,0,"I am sharing my experience at Samasource after having left the company more than 3 years ago. (I am writing this in the Fall of 2016, and I resigned of my own accord in mid-2013. I didn't depart to join another company; I left Sama to take some much-needed time off and gain some perspective.)

Within 3 months of my departure, 7 staff people (2 of which were on the management team) and 2 board members also … 

Show More","Back in 2013, Samasource was a sinking ship. However, to Leila's credit she rebuilt the team from the ground up, and in 2014 reset the management structure entirely. And, importantly, she reset the Board. Nevertheless, I still hear of regrettable attrition and there is even a closed / secret Facebook group of ex-Samasourcers, seeking counseling and support, after their negative experiences.

However the … 
Show More","Advice to management: Keep hiring the best and brightest. There is something in that Kool-Aid you serve that is oh so sweet and catches us all in like flies.

Advice to staff: Don't stay longer than 1-2 years. That's all you need to launch into the next iteration of yourself and your career. Samasource will use you; It's okay to use them too.",1.0,1.0,1.0,5.0,1.0,1.0
2016-08-26,,,Current Employee ,Project Manager,,0,"Amazing team, work environment, flexible schedule, career growth, learning opportunities, and being able to connect with people from all different backgrounds. I feel like the work we do truly is making a social impact and we are creating a model that can/should be followed by others. We are showing how it's possible to make sustainable social impact through a revenue model that gives us the ability to reinvest and … 
Show More","Since we connect low-income people to the digital work economy, it's challenging to deal with the inevitable lack of resources, skillsets, and infrastructure of these third-world economies when also striving to be competitive in the market. However, this biggest challenge is also the biggest motivator to continue what we are doing because we are beginning to prove how it can be done.","Continue to promote transparency, two-way feedback, collaborative office space, and future company direction updates. I recognize the bad reviews of Leila, but we wouldn't have the visibility, connections, and success that we've had (and are having) without her work. It takes a driven, commitment person to travel, speak, and connect with influential people as much as she has done and she is always thinking about how … 
Show More",5.0,4.0,4.0,4.0,4.0,5.0
2016-02-29, Executive Assistant,"San Francisco, CA",Current Employee ,Fighting Poverty Against All Odds,Less than a year,0,"Being at Sama is to become a gladiator in the greatest battle against inequality and to help give work and education to those that lost in the lottery of life. It is to spend everyday around people who leave you inspired by their brilliance, dedication, and resilience. It is that village of people creating change in the world, some of us are seeking to be part of. The work nurtures a strong dynamism and agility to … 

Show More",Fighting inequality is a battle. It is not a standard shift at the factory to clock in and out of. It requires a lot of heart and stamina because poverty is a monster with many limbs and there is no single solution to overcoming it. Some days it feels very heavy because inequality is a never-ending battle and the weight of it all sometimes follows you home and sits on your mind or your inbox.,Keep fighting the good fight,5.0,4.0,5.0,5.0,5.0,5.0
