date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-09,,"San Francisco, CA",Current Employee ,Life at a fast-pace hyper-growth tech unicorn!,Less than a year,0,"Samsara is a tech unicorn and is currently massively growing. The environment is super fast pace and at the end of the day, I am amazed at how fast the day has gone by. People are extremely talented and bright. You choose how to involve you want to be in the culture with the vast amount of clubs and opportunities to network with other employees.","The company is constantly hiring so it takes away from daily productivity. However, time management is key to being successful here","Keep doing what you are doing! The growth is amazing, I am excited to see how the Samsara culture evolves as we continue to grow in every department.",5.0,4.0,5.0,5.0,5.0,5.0
2019-03-25, Account Development Representative,"San Francisco, CA",Current Employee ,Fantastic Company,Less than a year,0,"Growing fast
Good work life balance
Great CEO
Friendly and eager to help management
Fun employees
Young company
Responsive to customers
Great career pathway",Very few qualms. Work culture is a bit male-centric due to our customer base but other than that it's a healthy culture.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-03,,,Former Employee ,Realistic,Less than a year,0,Room for growth within the company,It’s your typical sales job.,,3.0,,,,,
2019-01-30,,,Current Employee ,"Be realistic, no job will be perfect.",,0,"It's so clear that some of the recent reviews were written by people in their first job who may not realize work is not going to be fun 100% of the time or just don't like their position. Samsara is my third full time job out of college and it blows the other two companies out of the water. The entire company cares about your success and is willing to invest in your professional growth. You can change teams if you don't like your position. Some of the negative reviews around sales seem to focus on just not liking sales itself. At any company, sales will be grindy and you'll feel underpaid if you aren't hitting quota. Luckily, Samsara allows you to switch career paths within the company after just six months, so anyone who doesn't like sales can try a new path. Samsara has free lunch and tons of company activities and I really don't think there's much to complain about. Benefits are also completely above average (especially for a startup) and there's an extremely high caliber of talent and extremely intelligent people from the CEO down. Culture is great as well, everyone is friends and there's literally a slack channel to get automatically matched with a person you've never met so you can grab coffee. Plus, there's tons of clubs you can join if you want to be friends with your coworkers. Like any job or group, the culture is what you make of it and you can either take advantage of the perks or not.",I genuinely can't think of any. Any complaints (even about small things like the catering) seem to get addressed very quickly by the company.,Make sure culture scales as you grow and be certain new hires are a personality fit for the company. Make sure your managers are fully trained even if they're young and maybe invest in a leadership program to be certain of this. Keep up the great work like constantly adding new benefits and improving our food vendors!,5.0,5.0,5.0,5.0,4.0,5.0
2019-02-14,,,Current Employee ,This place is buzzing,Less than a year,0,"Amazing company to work for. Whip-smart, experienced leadership team that's down to earth + approachable. Super motivated colleagues excited to learn, challenge one another and collaborate. Product is complex, interesting and making a difference for an industry tech often overlooks. You have the opportunity to add real value starting on day one. Great benefits seal the deal.",Growing very quickly so typical company growing pains.,,5.0,3.0,5.0,5.0,5.0,5.0
2019-02-14, Recruiting Coordinator,"San Francisco, CA",Current Employee ,Amazing place to work,Less than a year,0,"- Amazing leadership
- Great career growth
- Fun people to work with (I love coming to work everyday)
- Challenging work
- Company is doing really well","We're still a growing company, so there are obviously going to be some growing pains, but they pros far outweigh the cons. It's hard for me to think of cons that are serious.",Listen to your direct reports to hear if they have any suggestions.,5.0,4.0,5.0,5.0,4.0,5.0
2019-01-29,,,Current Employee ,Great Opportunities,Less than a year,0,"- Career Growth (I have been promoted twice in under a year)
- Transparent leaders that listen and act upon feedback
- Great benefits and always adding more (i.e. career growth fund, catered lunches, fertility benefits, unlimited PTO...)
- Equity!!","- Pay tends to be below market
- It's a grind
- no set processes, sometimes it is kind of crazy but thats part of the startup life!",Keep listening to feedback,5.0,5.0,5.0,5.0,4.0,5.0
2019-01-09, Sales AE,"San Francisco, CA",Former Employee ,Burn & Churn Sales Life,More than a year,0,"- Product is well developed and much better than the competition
- benefits are good
- CEO is thoughtful and well-intentioned
- strong investment in the company and board members
- Experiencing crazy growth
- relatively achievable quotas","- It's a call center for lack of a better term.
- your sales activity is micro-managed by managers
- managers are sticklers about arriving on time (by the second) so that they can get you promoted and then leave early and go play golf with each other
- not great coaching or sales development in terms of training
- no team-building events despite the companies massive success
- it's a bro culture to the fullest and no diversity
- OTE is way below market - they sell you on over attainment and raise quotas every single quarter
- people can be subjectively PIPed. A rep on my team had never missed quota, but because his pipeline generation wasn't to their liking they PIPed him","Treat your sales employees like human beings. Lead trainings, be more active in leading from the front. Not inspiring sales leadership",2.0,1.0,1.0,3.0,3.0,1.0
2018-12-28, Sales Engineer,"San Francisco, CA",Current Employee ,Great place to work,Less than a year,0,"Fun atmosphere
Young, energized workforce
Huge market and grown potential
Mostly responds well to customer and employee feedback","Lack of diversity
Pay is a little below market rate",Keep aiming to actively improve diversity issues,5.0,5.0,5.0,5.0,4.0,5.0
2018-12-18, Account Executive,"San Francisco, CA",Former Employee ,It could be for you but it's definitely not for everyone,More than a year,0,"Inspirational CEO
Good Benefits
Stock Options- the company has had a meteoric rise and seems destined to continue to do so
Superior product & a gifted engineering dept.
Free lunches
$200 a month Uber/Lyft credits
Fast tracked career due to success","Culture:
Sink or swim. Great if you're doing well and really miserable if you aren't. At times it felt like a scene from the Wolf of Wall Street. It's a highly pressurized grind culture, very bro-y with limited diversity. There is an expectation that you are at your desk at all times.

Day to day:
Pipe is 80%+ self sourced. You'll need to cold call a few hours a day every day. Quoting, getting discount approvals and generating proposals could be much more efficient.

Financing- I believe this has been covered in another review but this is the most frustrating part of the Samsara sales cycle. A 3rd party financing company is required to give monthly payment options (an industry standard in transportation) to customers. A large % of customers are not approved and you are left in a situation where someone wants to purchase and you literally can't sell the product to them. This may be a teething problem as Samsara grows but it is a huge source of frustration especially as targets grow.

Business Systems/Processes:
Often try to build in-house systems and bolt them onto the CRM which leads to things inevitably breaking. Fixes for these bugs can take weeks and even months, probably a teething problem but very frustrating. It's hard to know if this is a cost saving thing but the cost to productivity should justify investment in some better systems.

Work/life balance- This is not something that is fostered. It's a regular occurrence that reps receive calls from management and directors whilst on PTO. Expect calls in the evenings and on the weekend from your customers and prospects.

Other-
Without going into specifics communication was poor. ADR's take a paycut to progress to AE which I've never heard of before. Pay discrepancies between people doing the same role were common. Targets seemed to be plucked from the air, increasing by 230% when I was there with no additional resources and smaller patches.

In summary, Samsara isn't for everyone, but it may be for you. Don't expect to be developed as a rep but if you can grind it out there is real earning potential. For me the juice wasn't worth the squeeze. There are companies that are better to work for who pay more in the Bay Area. If you get a funny feeling when interviewing that this might not be the place for you you are probably right. If you love the grind, high pressured fast pace environments and enjoy cold calling you'll love it.","Acknowledge and act on growing pains.
Be more transparent.
Invest in the staff.",2.0,2.0,2.0,3.0,3.0,2.0
