date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-15, Financial Analyst,,Current Employee ,Growth!,Less than a year,0,"Good pay, Great benefits, Growth, Diversity",Work comes first! Need better work balance,,5.0,3.0,4.0,4.0,5.0,5.0
2019-04-08,,,Former Employee ,Good place to work,More than a year,0,It is a good place to work with influx of tech. And a diverse environment. Recommended.,"There is little work/life balance. My life was all about work, work and work.",,3.0,3.0,3.0,3.0,3.0,3.0
2019-04-03, Field Sales Manager,"New York, NY",Current Employee ,Job not Career,More than 5 years,0,"Great health care, and 401k; Quick milage reimbursement; Fair pay and yearly raises.","Zero work life balance, unrealistic weekly work goals, everything is a fire drill, never knew how your schedule is going to change.",Get monthly work calander out to the team two weeks before hand so we can plain our lives.,3.0,1.0,3.0,2.0,5.0,2.0
2019-03-31, Senior Sales Manager,"Austin, TX",Current Employee ,Love the team I work with and the job I do. However Korean HQ micromanagement and short term focus is frustrating.,More than 8 years,0,"Great health insurance
Matching 401k
Innovative products","Korean HQ micromanagement
Short range thinking
Internal procedures are horrible
1990's IT technologies.",,3.0,3.0,2.0,4.0,4.0,4.0
2019-03-21,,"Ridgefield Park, NJ",Current Employee ,Wonderful to work,More than 5 years,0,Many opportunities to learn technologies.,Cultures are different and most of time to work with Korea in the night.,,4.0,4.0,3.0,4.0,5.0,4.0
2019-03-17,,,Current Employee ,Good pay but micro managed,,0,"Pay and Benefits, amazing products",GPS and more micro management,"Not having to work every Saturday and major holiday s like Thanksgiving. Work less Sundays. Less selling events, more control of schedules by field teams. more internal promotions",3.0,,,,,
2019-03-14,,"Ridgefield Park, NJ",Former Employee ,Great place to start career but difficult for growth,More than 5 years,0,Great health benefits and employee discount,Work life balance was challenging,,3.0,2.0,2.0,2.0,4.0,2.0
2019-03-12, Market Manager,"Atlanta, GA",Former Employee ,Challenging and Innovative Culture,More than 5 years,0,Amazing products to represent! Pride in being part of one of the largest and successful conglomerate in the world. Excellent benefits and opportunities for advancement for both education and career development. Innovation and improvement are part of core belief system at Samsung: Everything can be improved and feedback is appreciated.,Large corporation with many employees to navigate. Finding the correct person/resource for information could be an obstacle. Communication flow was sometimes challenging due to sheer volume of information distributed daily.,Continue the charge! Galaxy was an amazing brand to be a part of building and I look forward to being a loyal Samsung follower!,4.0,2.0,5.0,5.0,5.0,5.0
2019-03-07, Sales,,Former Employee ,Good and bad,More than 3 years,0,-Prestige of working for Samsung,"-Not as likely to hire/promote from within; they prefer bringing in people from other companies.
-Management always changing so direction of company constantly changing.",,3.0,,,,,
2019-04-04, Marketing Manager,"New York, NY",Former Employee ,Culture Clash Makes for Horrible Environment,More than 3 years,0,"Big brand with recognizable name

Big budgets",Everything you would imagine in any big organization but the real warning is that Korean leadership clashes horribly with a North American value system of integrity. Do not expect to be treated with any level of respect and there is no such thing as work/life balance.,,1.0,1.0,1.0,1.0,3.0,1.0
2019-04-01,,,Current Employee ,"Come for the pay, leave because of everything else",,0,Competitive pay. But only because they know they need to over pay a little to make up for the cons (see below),"Everything else.

Lack to respect or trust - US employees at all levels are not treated with trust or respect. We are always under a microscope from HQ. Constantly challenged, scrutinized and spoken down to regardless of level or expertise.

No understanding of US workplace culture or norms - working here is like working for a Korean company in Korea - in all the negative ways (e.g. hierarchical, always on, follow orders without question, motivate via fear and intimidation)

Constant musical chairs of leadership - senior leadership is rotated, by design, annually. This results in constant shifts in direction, constant re-orgs and general confusion and uncertainty for the masses. The current CEO, Tim Baxter is actually a good leader, but he's retiring in a month and being succeeded by career Samsung people from HQ.",,1.0,1.0,1.0,1.0,4.0,1.0
2019-03-28, Senior Manager,,Current Employee ,Job takes your life and soul away demanding 65+ hours per week.,More than 5 years,0,"Compensation is good
Benefits are reasonable
Co-workers support each other through the chaos with unreasonable demands from leadership and HQ","No work life balance
Culture is awful
Zero senior leadership support
Processes, procedures and systems are antiquated
Lack of diversity in senior leadership 90% Korean males that speak very limited English",Please correct the culture and diverisfy leadership.,1.0,1.0,1.0,3.0,5.0,1.0
2019-02-21, Financial Management Associate,"Ridgefield Park, NJ",Current Employee ,Great company poor management,More than 3 years,0,The benefits are fantastic,"Depending on the department, management can be poor.",Listen to your employees and things can be more efficient,3.0,1.0,3.0,3.0,4.0,1.0
2019-03-21,,"Ridgefield Park, NJ",Current Employee ,Poor Management,More than 5 years,0,"They pay well, consistent bonus payout.","This is not a US run company, despite the 18,000 US employees. The cultural differences can't me overstated. Top down mgmt structure stifles innovation. Being Busy > Being Smart. Major turnover at the top (CEO gave notice 2mo ago) and many other leaders are fleeing. Do your homework, at Director levels and above you will have problems if you're not able to adapt to the Korean structure, value system and mgmt style.",Be honest.,1.0,1.0,1.0,1.0,3.0,1.0
2019-02-19,,,Current Employee ,No Direction,More than 5 years,0,"-Above market pay and generous PTO
-Flexibility
-An extremely easy job if you know how to manage your time","-Hire externally even though there are people more than qualified to take management positions.
-Upper management is so far removed from the field that they have no idea what's going on. They dictate schedules even though they preach that their team should be ""entreprenuers""
-They hire new employees with the impression that they will be working M-F when in reality, you're probably working T-S and sometimes 6 day weeks without additional compensation",Look for talent within the field and be more in-tune to what the field is asking for. Give employees more autonomy and stop the politics.,2.0,3.0,2.0,1.0,4.0,1.0
2019-02-10, Senior Executive Secretary,"New York, NY",Current Employee ,It was a wonderful experience,More than 3 years,0,"The love of the job, the experience I have, the love of technology, the love of working in a big country and the love of having a office",Working together as Co worker,,4.0,5.0,5.0,5.0,5.0,5.0
2019-03-12, Analyst,"Ridgefield Park, NJ",Former Employee ,Not good,,0,"Widely known company, decent salary, that's about it.","Management by far is the worst part of the company. Clueless and disorganized. Everyone is a part of the suffering. No one enjoys it here. No career growth. No culture. I think the reviews over 3 stars are fake on here. This is not a place to call home. Don't expect it to be more than just a job, it's just a big name on a leased building.",Apple and Huawei are better.,1.0,2.0,1.0,1.0,2.0,1.0
2019-03-07, Product Manager,"Mountain View, CA",Current Employee ,Big Company with Big Problems,More than a year,0,The company does have some exciting products that could potentially represent great areas of learning and contribution.,"Poor talent across most teams I've worked with.
Politics and optics trumps everything else
Extremely hierarchical approach to things. If you're old enough, you're smart enough.
You would have to jump through so many hurdles to get even the most simple things done.
HR cannot be trusted","A big overhaul is needed
Revamp HR - they epitomize the bureaucracy that exists within the organization.
Have a flat organization - Team leads have a very top down approach and are almost untouchable. Evaluations are all one-sided.
Enforce strict cross organization collaboration
Hire more engineers than product/business people
Job security should be independent of a person's full time or contractual status
Incentivize employees largely based on their performance rather than their age/experience/other factors",1.0,1.0,1.0,1.0,2.0,1.0
2019-02-01,,,Current Employee ,Good to work,More than 10 years,0,Gap between contractor and RFT,5days PTO per year too low and so on,Need to hire more RFT not contractor,5.0,5.0,5.0,5.0,,
2019-01-25, Manager II,"New York, NY",Current Employee ,Strong Pros and Strong Cons,More than 3 years,0,"Flexible work schedule and location, pays well within industry","Company is handcuffed by processes and inflexibility, limited clarity in direction",,3.0,5.0,2.0,3.0,4.0,4.0
2019-01-22,,,Current Employee ,"Challenging, but exciting",More than 5 years,0,"Team works hard and solves for ambiguous problems. Some have a hard time navigating, but some can thrive.","Constantly evolving organization, but this keeps things interesting.",,4.0,5.0,3.0,4.0,4.0,4.0
