date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-11,,,Current Employee ,Amazing Company!,Less than a year,0,Such a positive and rewarding place to work. Management really cares about company and employees and it shows! Can’t say enough great things about this company!,No cons to share from me!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-09,,"San Francisco, CA",Former Employee ,Best of the Best,More than 5 years,0,"Doesn't get any better than this! Incredibly smart and transparent leadership team, solid products and solutions, solving very interesting industry problems alongside smart and driven people. One of the best company cultures you can imagine. Everyone is so nice, success is celebrated in a big way, and employees live the core values. Excellent perks and travel industry benefits. Tons of opportunities to learn and grow.",None really. Unless moving fast and learning something new every day is not your thing.,More of the same you have been doing!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26,,"San Francisco, CA",Current Employee ,Huge opportunity to make a difference,Less than a year,0,"-Lots of runway in dynamic space
-Seasoned Leadership team that wants to win and cares about employees
-CEO and his team are very approachable and willing to help or answer questions
-Profitable and strong growth trajectory
-Great location for SF office",-Unlimited PTO. There is flexibility to take time off but would prefer a set amount of vacation that is earned and builds.,Execute and hold teams/ regions accountable that are not.,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-18, Marketing Manager,"Omaha, NE",Current Employee ,Favorite company I've worked for so far,More than a year,0,"Incredible growth opportunities, forward thinkers, inspiring leadership, great culture, a company that teaches you something new everyday.",Cross team collaboration can be limited at times but is definitely improving.,Keep up the stellar work!,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-14,,,Current Employee ,Amazing company!!!!,More than a year,0,Everyone is super sweet and friendly.,There are no downsides to working here.,Keep on doing what you're doing!,5.0,4.0,5.0,5.0,4.0,5.0
2019-02-07, Global Director Recruiting,"San Francisco, CA",Current Employee ,AMAZING,Less than a year,0,Executive Leadership is humble and incredible. They are a genuine team of people who lead by example. It's not lip service. I'm SO happy I made the move to Sojern! The entire recruiting process from start to finish was quick and impressive.,It's not a con but would be an asset to have onsite IT team in SF to assist new hires with on-boarding and team members with any IT issues that arise.,Keep up the exceptional work! I love working at Sojern!,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-18,,,Current Employee ,Director,More than 3 years,0,"Great overall culture, working independently within a framework of goals","Intense and constant change, but for the right person, makes is fun","Keep the growth coming, while resources & nascent structure rises at similar pace",5.0,5.0,5.0,4.0,5.0,5.0
2018-07-28,,"San Francisco, CA",Former Employee ,Americas Team PS,More than 3 years,0,"Great unlimited PTO policy, cool and smart people, fun culture, lot of free food and team events, ok benefits (could be better 401k) great managers that care about your future. This is not your typical old school office environment, they provide laptops and standing desk, fun open door office and everyone can interact with each-other, which makes it fun.","No matching 401K, regions are not connected and communication falls short, company moves too fast and creates inconsistency which can make it very stressful. Strategies are very general instead of considering it by market. Immaturity kids can be seen within different teams, and for managers it can be stressful since there is an entitlement culture at times.","Don't get scare of growing and holding people more accountable. You can't please everyone, at one point you need to get rid of the ""start up"" mentality. Have realistic and achievable goals.",4.0,4.0,4.0,3.0,4.0,3.0
2018-08-08,,"San Francisco, CA",Former Employee ,Old school culture and poor management,,0,"-Nice office and location
-Good snacks
-Office Manager is great and helpful!
-Average pay","-Micromanaging culture
-Old school processes that requires a lot of manual work
-Only select old timers are happy here
-Unlimited vacation and work from home policies are just namesakes and not really encouraged",,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-28, Account Manager,,Current Employee ,Constant change & weak leadership,,0,"Smart & genuine peers/colleagues
Better than average pay & benefits","Generic programmatic product
Lots of manual work
Constant change & reorganizations
Some folks in management are immature and not deserving of being a manager
Weak senior leadership",,1.0,2.0,1.0,1.0,3.0,1.0
2018-06-07, Customer Success Manager,"San Francisco, CA",Current Employee ,"If you like change, you'll love Sojern",More than 3 years,0,"Fast, fun, friendly. Sojern is a great company and I'm insanely grateful for the opportunities they've given me. Leadership is experienced and accesible. You'll get what you want if you ask, work hard, and prove yourself.",500 person startup. There are a lot of things going on at once.,"As busy and stressed as you may be, take the time to invest even more in the people.",5.0,5.0,5.0,4.0,4.0,5.0
2018-05-29,,,Current Employee ,Great Company,,0,"-The culture
-The people
-The fast paced environment
-The autonomy and flexibility","I don't have any cons with Sojern. Business does move quickly, so you have to be willing to put in the hours. We have a lot of fun doing it though.","Continue to operate at a fast paced, having high expectations for your employees, and creating a fun and friendly work environment.",5.0,3.0,5.0,3.0,3.0,5.0
2018-05-24, PS Sales,"Omaha, NE",Current Employee ,PS Sales Team,Less than a year,0,"Best company I have ever worked for. Best career decision yet. Inclusive, loaded with culture, understanding to all situations that come up (death in the fam in my case) and willing to train at every avenue. All about the growth and support!","Yesterday was my 4 month anniversary, none yet. Although I might be slightly buttered up from one of the best times of my life, the annual global conference.",KEEP ON KEEPIN ON! THANKS FOR ALL YOU DO,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-09,,,Current Employee ,Innovated and fast paced. Fun place to work!,,0,"The team here is great and the company really puts an emphasis on team building events. Although the envionrment is fast paced, I feel that I have the opportunity to have the opportunity to grow and have a high impact here.",Sometimes change happens very fast and some information is lost in the process.,More focus on internal communication and manager training.,5.0,5.0,5.0,5.0,4.0,5.0
2018-05-09,,,Former Employee ,Alright,,0,"- Energetic/passionate People
- Global network
- Startup Culture
- Flexible time off when you need it","- With the constant change, its hard to see how you fit in to the bigger picture of the company’s organization.
- Recognition is not always given.
- No opportunity for further education.
- No goals, or opportunities to move up (unless you move laterally)
- Goal making not taken seriously.
- Lack of communication from management about structural changes (between San Francisco and Omaha chiefly)
- No matching 401k, tuition reimbursement, or any other major benefits","- Create a development plan for people when they are brought on to the company. Even talk about it during the interview. Show that they are valued for their skills, and follow through on it.",3.0,3.0,2.0,2.0,2.0,3.0
2018-03-26,,"Omaha, NE",Current Employee ,Associate Sales Executive,More than a year,0,Culture is great and is a fun place to work!,Can be a pro or con depending on how you view it but everything is constantly changing.,,5.0,5.0,5.0,4.0,4.0,5.0
2018-03-15, Account Manager,"Omaha, NE",Current Employee ,Amazing company - Amazing people,Less than a year,0,"- Sojern hires the most motivated and engaged people I have ever worked with
- Always on the leading edge of industry knowledge/technology/tools
- Company culture is unmatched, the most positive and inclusive place I have ever worked","- Sojern is constantly changing/adapting which can be a struggle at times, but offers a lot of exciting challenges",- Keep doing what you're doing!!,5.0,5.0,5.0,5.0,4.0,5.0
2018-03-14, Senior PR Manager,"San Francisco, CA",Current Employee ,Amazing Culture at a Fast-Growing Company,Less than a year,0,"The people are fantastic. Everyone is so nice and so genuine, no mean girls here.
The Company is growing like crazy. It's a great time to join!
Great benefits and travel perks.",Typical growing pains of a young company,Keep up the good work!,5.0,5.0,5.0,5.0,5.0,5.0
2018-03-06, Account Manager,,Current Employee ,The,Less than a year,0,"Some of the co-workers are cool.
The kitchen used to have good snacks provided
Cool view

That's all I got","Management loves to talk and not listen
The company promises a lot and never follows through
This is the kind of meetings we have.... all the time

We here at Sojern realize that it is better to transition compellingly than to target virally. We understand that if you reintermediate extensibly then you may also generate interactively. Think granular. Think killer. Think extensible. But don't think all three at the same time. It comes off as improbable, but it's realistic! Think end-to-end. Think social-network-based. Think B2B. But don't think all three at the same time. Without iteration, you will lack cyber-cross-media affiliate-based obfuscation. We apply the proverb ""Grass doesn't grow on a racetrack"" not only to our macro-out-of-the-box versioning but our ability to reinvent. We will amplify our power to iterate without depreciating our power to cultivate. Our technology takes the best features of XForms and FOAF. Without meticulously-planned e-tailers, platforms are forced to become long-term. Think frictionless. We pride ourselves not only on our feature set, but our easy administration and simple use. We will integrate the ability of markets to matrix.","Listen, Listen, Listen - Wouldn't that be ironic if this worked?",1.0,2.0,1.0,1.0,2.0,1.0
2018-01-09, Associate Account Manager,"Omaha, NE",Current Employee ,My Best Employment Experience to Date,Less than a year,0,"Sojern is fast paced, growing rapidly, and constantly changing. This allows employees to grow, be challenged, and test new ideas!

Employee input is valued and encouraged. If you want to forge a path and try something new, employees have the support of their peers and management.

Sojern focuses on work/life balance. They encourage taking personal time to travel the world and instill flexibility within your role.

Sojern has fun! The work hard, play hard mentality is instilled throughout the organization. Hard work is rewarded and employees are recognized for their efforts.

Because of the constant change and growth of the company, each day brings something different and employees are constantly learning new skills.","Training leaves something to be desired. Due to constant change, training given to new hires may not be pertinent to their role once they move into their full role.

At times there is lack of uniformity in processes or communication due to the nature of the business and the evolvement of the business.",Continue encouraging employees to take on projects that interest them and maintaining work/life balance. Focus resources on creating uniform processes and training.,5.0,5.0,5.0,4.0,4.0,4.0
2017-12-29,,,Former Employee ,Account Executive,More than a year,0,Some smart people that work in the organization. Do a good job of company events and make it fun environment to be around.,Need more transparency in performance good or bad.,Stick to the endemic business and grow from there.,4.0,5.0,5.0,4.0,5.0,5.0
2017-11-18,,,Current Employee ,Great Company to work at,,0,"Feels like a family. Nice, fun coworkers. Good work/life balance. Interesting work for the most part. Management is making good decisions. Steady positive growth for years now.",Work is usually interesting but sometimes you need to take one for the team. That's life.,Management has a great positive attitude that makes us all feel happy and confident in the direction of the company; keep it up!,5.0,5.0,5.0,4.0,5.0,5.0
2017-09-11,,,Current Employee ,Part of a growing company,,0,Great benefits and compensation: health insurance and travel benefits,Nothing specific that comes to mind,,4.0,5.0,5.0,4.0,5.0,5.0
2017-08-15, Account Manager,,Current Employee ,Sojern is the best company I've worked for,Less than a year,0,"They truly care for their employees
Everyone's opinions are welcome and encouraged
Everyone is willing to help
No micro-management","Fast paced-- Things evolve quickly here. I personally like it, but I see how it could be frustrating for others.",,5.0,5.0,5.0,5.0,4.0,5.0
