date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-12, Recruiting,"San Francisco, CA",Current Employee ,Upward personal growth and business growth,Less than a year,0,"- A lot of autonomy to build
- Very collaborative teammates
- Emphasis on culture and principles
- Leadership is extremely transparent with company's financial standing
- Very open lines of communication and set expectations
- Better ""work-life harmony"" than other startups I've worked at","- Not always all the resources needed to build must maintain scrappiness, but thats what a startup is all about",Build out learning and development for all the new leaders to be able to empower their directs.,5.0,4.0,5.0,5.0,5.0,4.0
2019-04-12, Team Lead,"Chicago, IL",Current Employee ,Great company to be a part of,More than a year,0,"Culture, Communication, Daily Challenges, Creativity, Diversity, Flexibility, and Opportunities.
This company has shown me what it's like to work somewhere that genuinely cares about your well being in every way. I'm constantly being pushed to challenge myself and broaden my overall experience in my professional and personal life; I've developed skills I didn't even know I had -or- could have.

I would recommend this company to anyone that is interested in being part of a fast-paced, challenging, and creative team with a lot of opportunity for growth.","Sometimes we deal with difficult vendors/landlords, so if someone isn't experienced with those situations it can be a challenge, that being said, whenever I'm not comfortable with a certain task, I'm never forced to do it, rather, offered support to get through it and resources to make it easier.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26,,"San Francisco, CA",Current Employee ,Best company to be a part of!,Less than a year,0,"From my first interview, I could tell how different Sonder is to other startups. The people are extremely intelligent and capable, yet down to earth as warm. Everyone is genuinely excited about what we are building. Teams are fired up about the massive growth Sonder is experiencing and there’s a humble sense of pride. The benefits are great and the culture is amazing. You get autonomy to do your thing but the leadership team is very responsive and supportive if you need them. I’m personally thrilled to contribute to scaling Sonder up. We are going to crush it in 2019!","I can’t think of one thing, really. Maybe just the lack of office space/private meetings rooms lately but I know we have solutions in the pipeline.",Keep doing what you’re doing. You’ve got winners on the team and we are getting it right!,5.0,4.0,5.0,5.0,5.0,5.0
2019-03-25, Software Engineer,"San Francisco, CA",Current Employee ,"Great Team, Great Leadership",Less than a year,0,"Sonder has accomplished a very difficult feat: it has scaled competence. Every engineer is extraordinarily capable. Individuals and sub-teams move autonomously in the same direction. At all levels, leadership is strong. I have a clear understanding of what is expected from all teams.

I am not sure what to say about the strongly-worded negative reviews. My experience is limited to the engineering team, but I've never felt overlooked or overworked. As for the discussion of not vesting, I feel there should always be an understanding that vesting is not unlike an optional clause to extend a contract -- if you've proven your worth, you should never expect to be let go.

At the end of the day, we are helping travelers experience the world by redefining hospitality. It's a good gig.","We have no infrastructure to train inexperienced engineers. Which works fine for now as we do not have any inexperienced engineers. But, at some point we should invest in avenues for junior engineers to join the team. Obviously, this is a startup luxury.",,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-13,,,Current Employee ,Best company ever!,More than a year,0,The excitement is growing as we continue to expand globally! We're winning a ton of Best Place to work awards because we love working at Sonder.,At times it can be overwhelming given the rate that we are growing.,Continue to be transparent and real. I appreciate the visibility into our business at Town Hall. Keep working on the benefits and perks so we stay competitive in the marketplace.,5.0,5.0,5.0,5.0,5.0,
2019-03-14, Former Employee,"New Orleans, LA",Current Employee ,Poor Management and unclear job title,Less than a year,0,New innovative ideas for travel industry and there is no micro-managing. Co workers are fun and very hard working.,"There is definitely a bro culture among management they come across as very nice and understanding. However, over time it is clear that there is underlying discrimination, racism, and disrespect. I was told in the interview that I would be hired on as an Admin assistant and would rarely be out in the field, but barely a week into the job I began feeling like more of an errand girl. I also felt discriminated against by management which is very unprofessional.",Treat employees better and provide a clear explanation of each position and what is expected.,2.0,3.0,2.0,2.0,3.0,2.0
2019-03-01,,,Current Employee ,Humble people with a vision,Less than a year,0,"From the top down, the people of Sonder are incredible. It is obvious that people love the company and love their jobs. Tremendous interpersonal respect and an emphasis on having fun and keeping your humor. Everyone truly believes in Sonder's power to change the hospitality industry forever. Every person matters and every person makes an impact.","Benefits are not great at the moment, but that is to be expected due to the infancy of this start-up.",,5.0,5.0,5.0,5.0,3.0,5.0
2019-02-11,,"San Francisco, CA",Current Employee ,Launch your career on a rocketship,Less than a year,0,"It's rare to get the opportunity to help build a company that is growing a few hundred percent every year. Employees are empowered and encouraged to own their areas. Co-workers are passionate, smart, and inspiring.","There is very little process and most policies and programs are in the process of being built. It's certainly chaos, but organized chaos. For the right person, this could be a pro but it takes a lot of mental energy and initiative to build while you try to get things launched.",Keep letting the high performers build but sometimes its worth taking a step back to see if high performers from years ago are still truly the high performers. The company is such a different company even from 3 months ago. Is it really realistic or possible for humans to grow 3-4x a year?,5.0,5.0,5.0,5.0,4.0,5.0
2019-01-31,,,Former Employee ,"Couldn’t make ends meet financially, but great people & culture.",Less than a year,0,"Fantastic coworkers, laid-back atmosphere, overall no micromanaging (depending on dept. I suppose), good long-term vision.","The atmosphere and people will make you stay—the pay will make you leave. If you’re a non-exempt (hourly) employee, don’t expect the perks that are listed on many of the job descriptions; they don’t apply to you. If you’re comfortable working 2 jobs, you might be able to make it work financially.","As you continue to grow as quickly as you are (which is great!), you’re going to need more and more people to support the company. Pay them accordingly (they need to eat and pay rent!) and reward them with benefits so that they don’t leave. The cost of a new-hire is overall more expensive than increasing the pay of your current employees.",3.0,4.0,5.0,3.0,2.0,4.0
2019-03-10, Guest Experience Specialist,"Denver, CO",Former Employee ,Where’s YOUR Empathy?,Less than a year,0,"The pay and benefits are decent, as are the opportunities for growth","Had a mental breakdown while on the phone with a customer. Walked out and never came back. No one checked on me. Not the people I worked with on a daily basis, and not my managers.",Hard to promote empathy as a company culture when you clearly don’t practice it with your employees.,1.0,1.0,1.0,3.0,3.0,1.0
2019-01-10,,,Current Employee ,Developer,,0,"Sonder has a clear mission & market opportunity that makes aligning within & across teams easy & clear. The teams across all the teams including engineering, design, recruiting, management exude talent & clearly communicate and collaborate without politics getting in the way. It’s clear that Sonder really cares for its team & focuses on building a cohesive culture & empowering individuals to fiercely execute.","There’s a lot of exciting work & projects coming up that I wish I could work on today. The company feels like a start-up in terms of working environment which means that I don’t always have the ideal set of resources to get the job done, but at the same time it’s clear those resources will come in the future.",There’s more room for empowering individuals across teams with knowledge to give everyone the “systems-minded” thinking to make Sonder better. Keep up the awesome work!,5.0,4.0,5.0,5.0,4.0,5.0
2019-01-16, Guest Experience Specialist,"Denver, CO",Current Employee ,Exciting company growth and vision!,More than a year,0,"Great perks, fun culture, opportunity for growth and career development, bi-weekly virtual meetings with CEO.",hourly vs salaried employee perks are quite different,Find unique ways to hire top talent and retain hourly employees w/ perks!,5.0,5.0,5.0,5.0,4.0,5.0
2019-01-06, Hospitality Agent,"San Jose, CA",Current Employee ,Excellent Opportunity for Professional Growth.,Less than a year,0,"Being a part of the company's growth and success as well as your own personal growth.

*Benefits*
*Paid time off* (Full Time)
*Vacation days*
*Inspiring Leadership*
*Awesome Management*
*Opportunity for Growth*
*Entry Level Pay (Hospitality, Guest Services, Operations, Customer Service)*
*Satisfaction of Getting Job Done*
*Building Professional and Career Experience*

Must like being able to move around and hitting the streets.

Must like opportunity to be a part of something fresh and new.

Must be able to anticipate guest needs and executing to guests satisfaction.

Must like challenges.

Must have a desire to exceed guest and company expectations.

Must have ability to take on challenges not in job description.

Must be able to work independently, responsibly, and within a team.

Doesn't mind working for a startup.

Willing to adapt to changes in processes and procedures as company scales.

Are an overachiever and gets things done in a timely and efficient manner.

Perfect for someone looking for something unique and likes the fact each work day is different than the last.",None. We are still growing and looking forward to growing our team in the South Bay and beyond.,Keep doing what you're doing. It has been a great opportunity with lots of room to grow. Thanks for your understanding and patience as we continue to grow our new markets. Looking forward to building a team around the success of our company as well as individually. Management has been best I've ever had over the years. The team really steps up and helps each other.,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-12, Finance,"Denver, CO",Current Employee ,Great Company,More than a year,0,"Been with Sonder more then a year , like young companies is up and Downs .. The different of this one is the Culture very lay back love it!!! , The team is great, communication with management , supervisor and co-workers great. You can bring your dog too! is amazing ... My team is not only a team we are family",I will love to get 401k,Keep a open communication with your employees and be there like always you do :),5.0,4.0,5.0,5.0,5.0,4.0
2018-12-12, Customer Service Specialist,"Denver, CO",Current Employee ,Customer Service Specialist,Less than a year,0,"They work around schedules, fun environment, employee perks, the kitchen (always stocked [= . ), team outings every month, and nice high tech desks",I don't notice any cons.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-10,,,Current Employee ,Exciting company that cares about the well-being and development of its employees,,0,I've never been treated so well by an employer before. The benefits and perks are excellent and the work is interesting and challenging.,"There are occasional growing pains, as with most start-ups, but nothing that I would label an ongoing concern.",Continue to develop your high performers.,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-10,,"San Francisco, CA",Current Employee ,All in on Sonder,More than 3 years,0,"- Ride of a lifetime (willing to bet my career on it's success)
- Explosive growth (therefore interesting opportunities and learning curves)
- Top notch team (everyone says this for a reason)","Carve out work/life harmony time or else you'll burn out. This is tough to learn, since you'll be surrounded by A-players who have different needs from your own.",Continue over-investing in your people and touting transparency and inclusion. I'm frequently in awe of the culture we're building.,5.0,4.0,5.0,5.0,5.0,5.0
2018-12-09,,"San Francisco, CA",Current Employee ,Great Culture and Vision. Still lot to improve.,Less than a year,0,"1. The company is growing fast. Great vision and company culture.
2. Challenging work.
3. Diversity","1. Employee benefits and perks need improvement. (No 401K, commuter benefits)
2. Low salary compared to a market average.
3. HR and Finance teams are slow to respond.
4. Need bigger HQ office and in-office facilities like meeting rooms, cafeteria etc.",The company is doing great and has a bright future. One of the best place to work in Silicon Valley but need to work on benefits and talent retention to cope with the competitors.,3.0,3.0,4.0,4.0,1.0,4.0
