date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-10, Data Entry Clerk,"San Francisco, CA",Current Employee ,employer review,Less than a year,0,good company to work for they provide free lunch on monday and weds and friday is free lunch the employees are friendly and my manager is excellent,i have know cons now,,5.0,5.0,5.0,5.0,,
2019-04-11,,,Current Employee ,Fast-growing and passionate,More than 3 years,0,Financials and stock have been strong. Good pay and benefits. Maternity and paternity leave is fully paid for 20 weeks. The people are highly passionate about what they do across any org.,"Scaling for the extreme high growth is weak. But, I guess it comes with the territory.",,4.0,,,,,
2019-04-11, Sales Development Representative,"Plano, TX",Current Employee ,SDR,Less than a year,0,Great benefits and great people. Innovative product.,Managers micromanage and sometimes treat us like we're incompetent.,,4.0,,,,,
2019-04-02, Manager,"Tysons, VA",Current Employee ,Making Strides!,More than 3 years,0,At Splunk you have the opportunity to continuously grow professionally and personally. Splunkers who intentionally focus on being adaptable and embrace the constant change will find themselves leveraging the multitude of resources available to them. This typically results in innovation and creativity leading to success within their current role and beyond.,Improvement has been made in this area over the past year but it took too long to identify and move out employees who did not uphold Splunk’s core values. Many have since left the business which is good and has improved our culture but we need to see deliberate focus on maintaining good people and move quickly to identify employees who are poisonous to the team.,,4.0,5.0,4.0,5.0,5.0,5.0
2019-03-28, Customer Success Manager,"San Jose, CA",Current Employee ,I love this company!,More than 3 years,0,Great people; amazing purpose. I think the leadership are very authentic! Great working environment.,Consider Improving the benefits. The fact that we don’t provide free health club membership is antiquated.,Don’t change as we grow!,5.0,5.0,5.0,5.0,4.0,5.0
2019-03-30, Professional Services Consultant,"Sacramento, CA",Current Employee ,Best job I have ever had,More than a year,0,"Great culture, full of smart, friendly people. Splunk is willing to invest in employees, great benefits. Customers love the product. Consistent company success. Interesting challenges, but not overwhelming. Plenty of room for personal growth. Embraces diversity. Growing rapidly - plenty of opportunity, but not as chaotic as you might expect from such fast-paced growth.","Fast paced. It's up to you to maintain a good work/life balance. With so many smart, effective people, can be difficult to stand out.",Keep making smart choices.,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-26, Consultant,"San Francisco, CA",Current Employee ,"Amazing, fast paced, stressful and full of opportunity",Less than a year,0,"Culture, growth, opportunity, learning, experience, excitement, fun","Stress, volume of work, need better support/resources for employees online",Give managers time to be people managers as well as product drivers.,5.0,3.0,4.0,5.0,5.0,5.0
2019-02-07, Senior Director,"San Francisco, CA",Former Employee ,Mixed Bag,More than 8 years,0,"Excellent first to market technology
Exceptionally talented employees across globe
High pay, strong benefits
Successful customers
Great workplace environment/buildings/locations
Lot of food, snack, ping pong tables, lego room, cubbies to rest
Leaders are doing their best
Great IT","The no-""as#hole"" rule no longer applies.
Read the review from the employee who believes that only 20% of the employees move the needle. The title is ... Growth - it hurts go good ... this is what a non-leader who does not respect or believe in its employees would say and this person works at Splunk in a senior team leadership position.
Many of the people who made the Splunk culture great are long gone.
Disastrous marketing leader situation at one point (Did NOT make the company a better place than they found it) not ousted soon enough, damage was permanent
In some areas, politics and empire building now reign over a commitment to exceptional work","Splunk the HR files, know who your concerning leaders are
Cut the poison out WAY faster
Promote from within or continue to lose top talent
Make right the damage that was done to several careers under poor leadership in products and marketing in 2017/2018 (many are now gone so too late)
Care about your employees, customers and partners - brand that
Make D&I training regular and mandatory for all employees
The growth mindset concept needs rocket fuel",2.0,2.0,2.0,2.0,4.0,2.0
2019-03-12,,,Former Employee ,Sales: Welcome to the Hunger Games.,,0,Tons of money if you are tied to big deals. Great product. Good place if you have no family or personal life; Splunk demands all of your time and will become these for the money you might be making.,"Product is expensive and resource-intensive to unlock its considerable value, so only the big account teams are making lots of money. But if you're in 2nd or 3rd tier accounts or new logos, it's a very difficult slog and you're going to be blamed. ""Bob sold $10M to Facebook, why can't you sell $1M to Ed's Gas Station or the City of East Moose Jaw? It must be your fault."" Culture is cutthroat.","Is cruelty necessary, especially when you are making this much money? Why permit it? Was the no-donkeys rule repealed at some point and I missed it?",3.0,1.0,2.0,2.0,5.0,3.0
2019-03-27, Engineer,,Former Employee ,"shinny outside, corrupted inside",,0,"*free (mostly unhealthy) food, free drinks, flexible hours, good work life balance
*some good people left
*good paternity leave benefits","* endless politics and reorgs
* product organization lacks leadership
* nepotism everywhere
* some managers have abusive behavior against employees
* HR is incompetent and for the most part not doing their jobs
* law suits against the company from employees in some divisions
* compensation is now much less competitive than a few years go
* high turnover on some teams is bringing productivity to its knees

Don't join Splunk if you don't have friends in higher up places to cover your back",nothing that other people haven't suggested,2.0,3.0,1.0,2.0,3.0,2.0
2019-03-26, Senior Recruiter,"San Jose, CA",Former Employee ,Senior Recruiter at Splunk,More than a year,0,"Great company, culture, work/life balance, people, free food and drinks, fun events","Fast growing, lots of changes so you need to be able to adjust quickly day to day",,4.0,5.0,4.0,4.0,4.0,4.0
2019-03-06, Technical Support Engineer,"Dallas, TX",Current Employee ,"Good compensation, extreme stress",More than a year,0,"Growing, exciting company. Compensation and benefits are good.",Support is hugely overloaded with no career advancement options in sight for those looking to move up in the company. Management's solution is to focus on adding more formalized procedures that increase the time each case takes to handle while also implementing metrics and pushing for faster case resolution so that the same number of employees can handle even more cases. Working employees to the bone to eek out a few more cases per person is not a viable long-term solution to dealing with growing case volume.,"For most of the technical people at a customer, support is their primary point of interaction with the company, not sales and account managers. If you want to focus on customer retention, put more of those efforts and resources into the support teams and stop viewing them as a cost center to try to extract maximum value for minimum investment from.",3.0,2.0,4.0,1.0,4.0,4.0
2019-01-15, Engineering Manager,"San Francisco, CA",Current Employee ,Not what it used to be,More than 3 years,0,"- some good teams
- excellent compensation
- great product","- career ending technology in core enterprise
- awful program management. no idea of how to do agile/scrum
- re-org almost every year. new management comes in, screws up, gets fired, and the cycle continues. Extremely demoralizing. I think most experience Splunk now just kick back, do the bare minimum, and go home. Please wake us up when you have figured what you are trying to do.",which one,3.0,3.0,2.0,3.0,5.0,2.0
2019-02-20, Vice President Finance,"San Francisco, CA",Former Employee ,Great company to work for,More than 3 years,0,"Great culture, company growth, pay and benefits",Strategic direction questionable. Product roadmap not clear,,5.0,,,,,
2019-02-11, Sales,"San Francisco, CA",Current Employee ,Best Gig I have ever had,More than 5 years,0,"Hyper-growth company with amazing potential to be part of something unique. People like the product, implementation times are short in comparison, disruptive data driven approach to old and new business problems.","With growth comes challenges. People refer to it as the ""teenage years"". Nothing I have seen in my career is perfect... nothing.","Don't try to get where other companies achieved too fast. Changes that are represented by companies who achieved the same level too fast, cause negative feedback.",4.0,4.0,3.0,5.0,3.0,4.0
2019-01-10,,"San Francisco, CA",Current Employee ,Golden handcuffs and bad environment,More than 3 years,0,"- Splunk Enterprise and the Premium apps are great
- bunch of smart folks (foot soldiers only$
- customers love the product (that was built many years ago)","- nepotism, nepotism, nepotism
- promote abrasive and brash leaders who don’t respect others (contrary to what the culture supported many years ago)
- just need to learn to manage up.. only skill required
- lots of noise around diversity and inclusion (but never seen it in action).. never seen them walk the talk
- dysfunctional product Mgmt and marketing team
- lots of old timers who haven’t work any place else stuck here (resting and vesting) and lack new ideas, disconnected from how the outside world operates
- only skill required - thrive in politics to survive the reorgs","Well, what advice do you give any ineffective management team that other reviews haven’t?",2.0,4.0,1.0,1.0,4.0,1.0
