date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-13, Supply Chain Manager,"San Francisco, CA",Current Employee ,Solid,More than a year,0,"Work-Life Balance, Culture, Benefits, Opportunity","Compensation does not always align with feedback, low focus on performance based compensation",Hold on to the good people,5.0,5.0,4.0,3.0,4.0,4.0
2019-04-10,,"San Francisco, CA",Current Employee ,"Innovative, inclusive and balanced!",Less than a year,0,"Square is building amazing products that have a direct impact on the economy, specifically small businesses. Working at Square gives you the opportunity to see how ecommerce and payment solutions can change the world and how fintech can be, dare I say it, FUN!?!? The workplace is the most diverse I have ever experienced, people of all different walks of life, age groups, educational backgrounds, and socioeconomic classes thrive here. It is also a very balanced work environment with people putting themselves and their lives before work while also being inspired and able to work on amazing things while in the office.","As with any innovative company, sometimes process struggles to keep up with the pace of growth.",Keep doing what you are doing and pushing forward!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-30, Customer Success Adovcate,"Saint Louis, MO",Current Employee ,Best Job I've ever had,More than a year,0,Company is designed for internal growth- lots of opportunities,"Very hard work, not a job you can just show up for.",,5.0,5.0,5.0,5.0,4.0,4.0
2019-03-27,,,Current Employee ,Amazing place to work,,0,Square was one of the best places I’ve ever worked. The culture is amazing and there are great opportunities for growth and internal transfers,"None - great mission, great compensation, incredibly well run company",,5.0,,,,,
2019-04-07, Resolution Desk Advocate,"San Francisco, CA",Current Employee ,Square Is A Great Place To Work,More than 3 years,0,"Food is provided - lots of options for breakfast and lunch, as well as snacks in micro kitchens. Also, the people you work with are pretty wonderful, too.",I feel that compensation could be better - a 3% raise every 6 months doesn't show that the company values the work I put in.,,4.0,3.0,5.0,4.0,3.0,3.0
2019-03-19,,,Current Employee ,Great company!,More than a year,0,Been here about two years and am super happy,Really don't have any to share!,,5.0,4.0,5.0,5.0,4.0,5.0
2019-04-02,,"San Francisco, CA",Former Employee ,Good place to start your career,More than 3 years,0,Lots of advancement opportunities for young people and great culture,Really messy when you climb the ranks as Jack just lets the other execs fight it out for power,,4.0,3.0,5.0,5.0,3.0,2.0
2019-03-18, Operations Manager,"San Francisco, CA",Current Employee ,Square is a great company to work for!,More than a year,0,"Great people, great perks, lots of freedom to experiment, tons of support if you are willing to ask for it.",The team I work on is not the most motivated.,,5.0,5.0,4.0,4.0,3.0,4.0
2019-03-26,,,Former Employee ,Great mission,,0,"Great mission + people, interesting work",Grew too quickly so Processes needed to be built,,4.0,,,,,
2019-03-09,,,Current Employee ,Great!,More than 3 years,0,Great company with an awesome culture,No cons at this time,,5.0,,,,,
2019-02-26, Business Development,"San Francisco, CA",Current Employee ,Excellent company,More than 3 years,0,"Open, transparent, low ego work environment. Genuine passion and purpose from basically everyone I've interacted with. Smart, scrappy, committed leadership.",We're working on a lot and at times can lose focus.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-21,,,Current Employee ,Horrible consumer manager and team lead,More than 3 years,0,Free breakfast and snacks in kitchen,Working on consumer team in Capital is horrible. They are not flexible and very micro managing,Hire better managers and team lead for consumers,1.0,1.0,1.0,1.0,1.0,
2019-02-26, Ap Accountant,"San Francisco, CA",Former Employee ,Cool Company,More than a year,0,Great Culture and Products. Always some sort of vendor there every wee.,Bad management after IPO. High turn over on accounting team.,,3.0,2.0,5.0,2.0,2.0,1.0
2019-02-23,,"San Francisco, CA",Current Employee ,Good place to work but lots of politics,More than a year,0,"Great perks, hard problems, mostly strong colleague",Politics can make getting work done unpleasant and difficult. Seems worst at Jack's leadership level.,,4.0,,,,,
2019-02-09, Packaging Production Manager,"San Francisco, CA",Current Employee ,Great place to work,More than 5 years,0,"Great people, great workplace, great perks",Can be lots of travel,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-22, Senior Software Engineer,"San Francisco, CA",Current Employee ,Solid choice,More than a year,0,"- Growth, Growth, Growth
- RSU packages are extremely valuable (4.2X stock growth over 24 months!)
- Benefits are nice (unlimited vacation, WFH etc.)
- Still a lot of unsolved hard engineering challenges
- Strong engineering culture
- A mission (economic empowerment) that's worth fighting for
- Positive impact on businesses","- major innovation is getting harder to get to. Case in point introducing something like Square Cash it's challenging now due to inter-dependencies on other teams
- certain internal departments are not as strong as engineering
- while high level of decentralization is good, lack of strong mandate makes it difficult to push for larger changes",,5.0,5.0,4.0,4.0,5.0,4.0
2019-01-25,,"San Francisco, CA",Current Employee ,"Great Company , Great People . Really love this place",More than a year,0,"- Great benefits (healthcare is paid 100%, stock program and stock awards, unlimited PTO, flexible WFH, breakfast & lunch, smoothie bar, omelette bar, etc)

-Great people. I love the people that I work with. They are so passionate and inclusive. I've worked at companies before that were very cliquey and all based on title, this is definitely not how Square is

-Mission driven. We have an overall mission of economic empowerment and transparency. I really feel our mission in our daily work and I feel like it adds so much value to the work we do.

-Fun atmosphere, very collaborative, lots of opportunities to work cross functionally.

-leadership is supportive of new projects and working with other teams / team members.

-Great place to grow and learn. So many resources and people that want to help!","-Open work environment can be very distracting. I wish there was more of an office feel (I know that not many people would say that)

-I think the pay may be on the lower end of big tech in SF. You really have to fight for your comp here and it can be frustrating.

-Internally, the promotion/compensation process is not very transparent and it seems like if you don't fight tooth and nail and bring it up every week you'll get passed on and they don't promote people out of the regular promotion cycles very often.",,5.0,5.0,5.0,5.0,4.0,5.0
2019-01-29, Customer Success Associate,"Saint Louis, MO",Current Employee ,Great company,More than a year,0,"Square has the best work culture I've ever experienced. Excellent benefits, decent PTO, and the best coworkers",i love square and where they are headed as a company,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-02, Operations,"San Francisco, CA",Current Employee ,Great Place to work,More than a year,0,"Not much red tape. Lots of chances for advancement. Great environment, perks and coworkers.",pay seems a little less than expectations/company. Not much room to negotiate for higher wages.,,4.0,5.0,5.0,4.0,3.0,4.0
2019-01-14, Product Manager,"San Francisco, CA",Former Employee ,Great culture and leadership,More than 3 years,0,I really enjoyed my time at Square. The culture is very inclusive and there are world class leaders that are accessible at any level.,"As the company grows there are many re-orgs that can be distracting, but that is normal.",,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-13, Software Engineer,,Current Employee ,Not A Good Place To Work,More than a year,0,"Total compensation is ok.
Amenities are decent.","Company lacks focus and direction.
Multiple teams on wildly different technology stacks.
Developer tools and support are not prioritized.
Often don't have the infrastructure or tools needed to accomplish a task.
Developer education and onboarding is left to teams.
Re-orgs are frequent.
Managers are not held to a consistent standard across teams.",,1.0,2.0,1.0,1.0,3.0,1.0
2019-01-10,,,Former Employee ,Great company with room to excel,,0,"- engaging, fast paced work environment
- customer-centric approach to product development
- terrific compensation & benefits","- open office layout, which may not work for everyone
- opportunities to grow through promotion or increased responsibilities may be limited, depending on the team/product","Continued investment in development programs for employees, including mentorship opportunities, career development workshops, and the ability for employees to work on projects for other teams/products (however small) to explore other areas of the company.",4.0,4.0,4.0,3.0,5.0,5.0
2018-12-13, Operations Associate,"San Francisco, CA",Current Employee ,Great Company,Less than a year,0,"Benefits, Management, Facilities, Snacks, Programs","Career Growth, Location does not have many options",,5.0,5.0,5.0,3.0,5.0,5.0
2019-01-17, Software Engineer,"San Francisco, CA",Current Employee ,Keep cutting benefits,More than 3 years,0,"If you like Jack and you want to build products to help small businesses, you might want to work here.","Dinner was cancelled late last year, breakfast doesn't go as late as it used to, and lunch (subsidised, not free) is now never served on Friday. The new Oakland office will have no free meals at all.

PTO is still unlimited, but now tracked.

Seems this company just gets worse and worse.",Stop cutting benefits!,1.0,3.0,1.0,3.0,1.0,3.0
