date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-02-15, Sales,"Redwood City, CA",Current Employee ,All things SALES!,Less than a year,0,"First off... The culture is 2nd to none! Nice people, friendly and willing to invest time ensuring your success.

Great Compensation - Great perks - happy hour, catered food.

Flexible schedule - ""do what helps you be the most productive"" type of attitude is what you'll see and hear.

Work Culture- Hard work and commitment is highly appreciated and rewarded.

Management- Great leaders who not only focus on the company and it's customers, but value their employees most! Something not typically found at companies in Silicon Valley.

Peers- No politics, fair people, always ready to help.",Not a huge fan of the location and commute.,"Continue to focus most on your employees. after all, they are your greatest asset.",5.0,5.0,5.0,5.0,5.0,5.0
2019-02-15, Inside Sales Representative,"Redwood City, CA",Current Employee ,Exciting company,Less than a year,0,"Flexible hours, great perks, overall very positive attitude towards the future of the company",Haven't come across any yet,"Continue to build and support growing teams, what we're doing is working!",5.0,5.0,5.0,5.0,,
2019-02-15, Sales,,Current Employee ,Great place to be,More than a year,0,Great company culture. Everyone is a pleasure to be around,There are no cons at Synack.,Keep doing what you're doing.,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-15, Sales,,Current Employee ,Great culture & leadership!,,0,"-Everyone in the company (regardless of department) is easy to get in contact with and have a conversation with. Whether it is work-related or not.
-Great leadership team to help with any aspect of your work.",I have not come across any cons!,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-15, Sales,"Redwood City, CA",Current Employee ,Great place to be,Less than a year,0,"People are friendly and everyone knows everyone.
There seems to be a genuine belief in the company/product across the company.
Flexibility with hours and work from home.
Executive team is open to having conversations.
Free lunch everyday.",As with any startup resources are limited. People wear many hats and budgets are limited.,,5.0,5.0,5.0,4.0,4.0,4.0
2019-02-15,,,Former Employee ,bad culture,More than 3 years,0,"Good work/life balance
Unlimited personal time off","Toxic executive leadership that doesn't listen to subordinates
Below industry raises and compensation
Lack of transparency & communication across teams",,1.0,5.0,1.0,1.0,1.0,1.0
2018-11-28, Operations,"San Francisco, CA",Current Employee ,Flexible and Understanding!,More than a year,0,"If you are looking for a company that is flexible with your schedule and provides you opportunities to help better yourself in and outside of work, look no further than Synack. I live in the city, so being able to avoid commuting every day has saved me the peace of mind needed to excel at my day-to-day duties.","As with any startup, resources can sometimes be scarce. If you are lucky enough to be hired on, prepare to take on several roles.",,5.0,5.0,4.0,3.0,5.0,2.0
2018-11-19,,"Redwood City, CA",Current Employee ,Sales,More than a year,0,"Awesome team with great core values. There is a lot of opportunity both individually and for the company as crowdsourcing is becoming more mainstream in the security space. There's awesome perks like snacks, lunches, team events, flexibility, etc. Most importantly the management has strong vision and doesn't micromanage.","Synack is very results driven, this isn't the type of job where you can ""coast."" It is hard work and as with most startups there are a lot of competing priorities.",,5.0,4.0,5.0,5.0,5.0,5.0
2018-10-20,,"Redwood City, CA",Current Employee ,Great place to work and learn,Less than a year,0,"- Friendly atmosphere, great people around.
- Lot of learning with outstanding product.
- Great culture and work life/balance.
- Challenging but in a way that forces you to learn and grow
- Free food and snacks!",can't think of any right now,Keep it up! Happy to be part of this amazing company.,5.0,5.0,5.0,5.0,5.0,4.0
2018-10-09, Senior Customer Success Manager,"Redwood City, CA",Current Employee ,Best Place to Work!,Less than a year,0,"• Ground breaking Technology and Product
• Vibrant and Friendly management and teams
• Great culture
• Huge opportunity for growth and advancement
• Work/life balance
• Flexible workplace",Can't think of any!,Keep it up! Loving this place.,5.0,5.0,5.0,5.0,5.0,5.0
