date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-10-06,,"San Francisco, CA",Current Employee ,Awesome Place to Work,More than 3 years,0,"Tapjoy is invested in its employees and has done a lot of work to make sure the team jives and is inspired to grow together. Thanks to the company's size, employees have the flexibility to participate in different areas of the business and find their highest point of contribution. After refining strategy over the last year I think Tapjoy is set up to make waves in the industry. It's a great place to work, with huge opportunities for growth.","Communication has been an issue in the past, but I think the company is actively working on this by getting really clear about the vision/mission/values.",Make sure employees get the context they need from their managers to understand why their work is valuable in terms of the larger company strategy. This is especially relevant for non-sales (not goal based) roles. Even small tasks become inspiring if an employee can see that they are contributing to a greater whole and moving the needle.,5.0,4.0,5.0,5.0,5.0,4.0
2019-03-20, BD Manager,,Former Employee ,Good place,More than 3 years,0,"Very smart guys, willing to move
location, snacks","hear more voice from the hands on guys, they are short of support.",,4.0,4.0,4.0,4.0,4.0,4.0
2018-10-31,,"San Francisco, CA",Current Employee ,Poor Leadership,,0,"Catered Meals Location, Company Events, Ok Product, Snacks","If you like your leadership with difficult personalities, condescending, and with huge egos, this is the right place for you. I have been in finance and it's really been the worst experience and job I have had. Zero appreciation. Bad company politics. Lack of diversity at the top. I have hard time with leadership in my area because of how we are treated. Forget about bringing up a new idea or ask any questions. Unless you like being talked to like a child. That's the kind of response you will get. Make you feel like your opinion doesn't count.

Total lack of support, respect and professionalism. It's been a very negative experience and most people are looking for a new job. Sinking ship. Stay away!",Take a hard look at the top...you know where your problems are.,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-18, Software Engineer,,Former Employee ,"Good, not great",More than a year,0,"- Great benefits
- Smart people
- Tough problems","- Poor onboarding
- Poor visibility across the organization",,4.0,3.0,3.0,3.0,2.0,3.0
2017-07-07, Design Manager,"San Francisco, CA",Former Employee ,Great place to learn and grow!!,More than 3 years,0,"Amazing people to work with, really talented and care a lot about making impact in the industry. Really rewarding work as well - because of the size of the company, it is possible to get your ideas heard, specced, and built, and see it make real change that affects the whole ecosystem.

Any problems that I had with products, people, communication, culture, planning (or really anything) would eventually get solved, because people cared about improving the company.

I left because I received a big opportunity elsewhere, but it was truly one of the most difficult decisions I've ever made, because Tapjoy was like family - close knit, focused, and a really fun place to work (even when we were busting our butts!)

With recent changes to internal communication and a restructuring of priorities, I think Tapjoy is slated to make big impact in their industry and keep growing the business in a positive way!","- Work/life balance was not always the best, simply because the teams are small and every person counts.
- Communication between offices is always difficult, regardless of company","Towards the end of my time there, communication of priorities and planning was getting really good. My only advice is to focus more on long term gains (infrastructure investment, improving user experience, and big innovation bets) rather than short term revenue growth.",5.0,4.0,5.0,5.0,5.0,4.0
2017-06-13,,,Current Employee ,"Awesome place to work for, keeps you on your toes.",,0,"Great atmosphere, great people to work with.",Culture and values are constantly changing.,,4.0,4.0,3.0,5.0,5.0,3.0
2017-05-22, Product Marketing Manager,"San Francisco, CA",Former Employee ,amazing company to work for,More than a year,0,"-AMAZING PEOPLE: nice, smart, caring, passionate people
-executives who care/listen
-growth opportunities
-work/life balance
-location: at the heart of SF Financial district","could be more entrepreneurial & take risks
slow product roll out.","could be more entrepreneurial & take risks. if we can launch new products faster, that would help the business a lot.",5.0,5.0,5.0,5.0,4.0,5.0
2017-05-09, Sales,"San Francisco, CA",Current Employee ,Great place,More than 3 years,0,"Great people
Good growth opportunities
Good work/life balance
Minimal drama/politics","A little stuffy, could be more fun/entrepreneurial
Product roll out is a little slow, could be faster and more entrepreneurial","We could definitely be more spontaneous/fun - Cinco de Mayo surprise was great. More daily/weekly recognition of wins around the company, not just new publishers.",5.0,5.0,4.0,5.0,5.0,4.0
2017-04-13,,,Former Employee ,Nice place to work,,0,"Positive company culture, smart, hard-working people",Ad tech is a tough industry,,4.0,4.0,4.0,4.0,4.0,4.0
2017-04-27,,,Former Employee ,Disorganized at the top,,0,Smart people who are knowledgeable about the industry,Difficult personalities didn't work well together. Lots of egos and not enough trust to think outside the box.,,3.0,,,,,
