date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-14,,"San Francisco, CA",Current Employee ,Taulia Really Believes in What It's Doing.,More than a year,0,"Taulia is a place that truly tries to put the effort in to everything it does. The people here invest a lot of work and compassion into the company and their fellow colleagues, which can often promote a really inclusive culture built on relationships. The leadership is incredibly transparent and hold Q & A's called ""Fireside Chats,"" where we can all gather (through videoconference as well) and discuss issues or questions we all have as employees. They make the roadmap and strategy of the company available to us and involve us all in the process.

Taulia is composed of so many good people all over the world who generally care about the well being of others.

Opportunities for professional development.","There have been a few times that folks have left with a sour taste after being let go for whatever reason, or not agreeing with a leadership decision, which is bound to happen in any company. It can be really vulnerable to lose one's job, so the sentiment is understandable.

Since it is a startup, it also makes sense that there are operational inefficiencies that have grown and needed work in the past (and currently) in most departments. However, many people find that part of it invigorating.

Resources are not always available in the capacity that everyone wants it to be.","Continue to be transparent and treat employees as human beings, and the rest will work out.",5.0,5.0,5.0,5.0,5.0,5.0
2019-01-17, Account Executive,,Current Employee ,Great Company with Great People!!!,Less than a year,0,"I have been working here for over 4 months and completely love it!!! They offer amazing benefits, great salary, and amazing perks!! Love that we each get a Macbook Air, $100 per month for our phone bill, plus three-weeks vacation. Work-life balance is great as well. One of the most fun companies I have ever worked for.","None at this point. So far, so good!",Keep it up!!!,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-30,,,Current Employee ,Great Company & Great Product & Great People,More than a year,0,"Great Culture - teams have fun, work hard, and honestly enjoy working together. Great product. - solutions are best in class and evolving. Growing business - fun to be part of a winning company with constant growth. Good managers - people management is getting better as company grows. Positive impact on customers business - customers are winning and greating great value. Taulia is a place where your ideas are heard and you can make a difference. Leadership is very open and communicates well. Every employee is given clear visibility into the company goals and plans, future direction and vision, and the current status of the overall health of the business. Overall a very good place to work with smart people who believe in the company mission and make it happen every day.",No real negatives. Minor items - remote employees do not enjoy the benefits provided to office-based employees. No 401K match.,Keep the focus on the core business of Working Capital solutions which have tremendous growth potential. Ensure the company does not get distracted by too many initiatives and new products.,5.0,4.0,5.0,5.0,4.0,5.0
2018-10-04, Manager,,Current Employee ,Work with talented people and grow your career!,More than 3 years,0,"Talented people

Best early payment product in the market

Transparency into company goals/objectives & expectations to ensure individual/team goals align

Great opportunity to learn and expand career

As still in it's ""young adult"" phase, great opportunity to make a difference and build the playbook","Due to ""young adult"" phase, not all processes are built out (yet see above)

Some teams are stronger than others

Not enough resources to get everything done that you envision (but it's for a purpose...no more funding rounds, time for Taulia to be financial self-sufficient)",,5.0,5.0,5.0,5.0,5.0,5.0
2018-10-02,,,Current Employee ,It's a great place to work!,More than a year,0,"- People (including managers) are fun, friendly, helpful, intelligent and understanding
- Generous bonus and good health care
- Gives recognition and celebrates hard working/helpful people and company achievements
- Work flexibility
- Good Product
- Well stocked pantry with lunch provided on some days","- 401k match would be nice, but not critical as the pay/bonus/perks are pretty generous
- Some department may need more head count as work is piling up. Company adding more people but not necessary at the right places.
- Need more process documentation for each department. This includes department process and work process.",Look at each department and see who needs 'help'. You have a few 1-3 team in a department and they are overworked. Everyone is important in the company and these 1-3 manned people should also be taken into account.,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-17, Customer Success,"San Francisco, CA",Current Employee ,Excellent Company,More than 3 years,0,"Taulia is the best place I’ve worked in my career. When I wake up in the morning, I want to go to work. Taulia has an awesome team, as a business we are winning and as an individual there’s opportunity to contribute. Despite the growth we’ve had, we’ve been able to maintain our startup culture and have kept politics to a minimum.","There have certainly been bumps, but things have been better recently
Some teams are not as strong as others / are still developing",Keep hiring great people and continue to maintain our culture.,5.0,5.0,5.0,5.0,4.0,5.0
2018-08-28,,,Current Employee ,"Great company, good people, growing fast",More than 3 years,0,"Engineering team is full of very talented people
Leadership is invested in technical excellence
Company is winning, growing fast","Teams could be a bit bigger
Release process could use some tightening up","Hire more engineers, continue to invest in architecture",5.0,5.0,4.0,5.0,5.0,5.0
2018-08-23,,,Current Employee ,I love Taulia,More than a year,0,"-Flexibility
-Great people
-Transparency within the company
-Love the number of vacation days we get
-I can honestly say I look forward to coming into work and it is because of the work and the great people that make it worth it.",A good amount of turnover but glad to see that it is turning back around,,5.0,5.0,5.0,5.0,5.0,5.0
2018-06-28,,"Salt Lake City, UT",Current Employee ,Amazing company to work for,More than 3 years,0,"- Smart and talented people with a great attitude
- A chance to make a real difference in people's lives
- There are no BS jobs here, every job/person counts
- The CEO is very enthusiastic
- A Lot of transparency within the company with regards to sharing information
- Employees are treated really well
- Great/Exciting future prospects
- Stock options","- 401k match would be nice, but not critical as the pay/bonus/perks are pretty generous
- Need to hire people more aggressively, the current rate of hiring seems too laid back in filling open positions - we need more smart people urgently",,5.0,,,,,
2018-06-18,,"New Orleans, LA",Current Employee ,Account Executive,More than a year,0,"Treat employees well, uncapped commissions, flexible with schedule if have an outside event you need to attend, good business model and a lot of growth opportunity","Sometimes the Support team is slow to respond to customer concerns, but that has been improving recently.",,5.0,5.0,4.0,4.0,5.0,5.0
