date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-14, Culinary Service Specialist,,Current Employee ,Great mid-size tech company with the best in-house food program in tech,More than a year,0,Thumbtack is a growing company that cares about its employees. The food is incredible! Such an incredible perk,The company does have a decent amount of turnover lost to bigger companies which can create a times of unease.,,5.0,5.0,5.0,4.0,4.0,4.0
2019-03-28,,,Former Employee ,A revolutionary product with tons of potential!,More than 3 years,0,"- Pivotal learning experiences
- Inspiring and smart people who I’ll always be grateful to know
- Benefits are above par + some unique additions","- Career growth (it's absolutely trying to be improved upon but it lacks strategic internal growth opportunities)
- Transparency is half-hearted",,4.0,5.0,5.0,3.0,4.0,4.0
2019-02-14, Software Engineer,"San Francisco, CA",Current Employee ,Great Company,Less than a year,0,"Exciting place to work alongside super smart and interesting people. Also, the food really is as good as everyone says.",Hard to think of any.,Focus on creating a cohesive Thumbtack brand both through marketing and in the product.,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-12, Senior Brand Producer,"San Francisco, CA",Current Employee ,Doing it the right way,Less than a year,0,Everyone here is super empowered to contribute. Everyone over-communicates. And the brain power here and confidence is unrivaled.,"Haven't had an opportunity to mingle with engineering and product development yet. I'm on the marketing side, but would be nice to rub elbows with the folks building the product/platform.","Create a bridge between product development and marketing. There may already be one, but the pathway may be pretty narrow.",5.0,5.0,5.0,5.0,5.0,5.0
2019-01-05, Senior Manager,"Draper, UT",Current Employee ,Sr. Manager,Less than a year,0,"Great environment, people are super friendly, flexible work arrangement.",Benefits are lacking since they are a startup but are fine.,Keep up the great work!,5.0,5.0,5.0,5.0,4.0,5.0
2018-12-31, Manager,,Former Employee ,Fun team with great benefits,,0,"-Opportunity for high achievers to excel
-Well-respected CEO",-Some growing pains with management,,5.0,,,,,
2018-12-20, Salesforce.com Administrator,"Draper, UT",Former Employee ,Amazing culture and company!,More than 3 years,0,"Amazing food, people, and product! Love everything about this company.",Too much food and gained a pound or two,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-03,,,Current Employee ,Thumbtack is such an amazing place to work!,,0,"I have so many pros when thinking about my experience so far at Thumbtack. Below are a few that stand out when I reflect on my time here:
- A collaborative, open-minded culture
- Humble, intelligent, and kind coworkers
- Meaningful work -- an opportunity to help small businesses grow and solve super complex yet interesting challenges
- An incredible culinary team that prepares amazing food and meals for Thumbtack employees
- A good work / life balance
- Transparent management","No 401k matching offered at the moment and more people need to know about and use Thumbtack! Overall, I have so many pros when thinking about my time at this company and so very few cons -- it is an incredible place to work!",,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-24, Customer Service Representative,"Draper, UT",Current Employee ,"Good People, Improving Goals",Less than a year,0,"Working at Thumbtack it's really lovely to be surrounded by passionate people who genuinely like what they do. If you do not have a passion for helping others, or you do not see yourself in a position to accept and openly offer criticism, you will not grow here. If you work hard and actively propel yourself you will love working at Thumbtack.","Some of Thumbtack's values, while for the most part are positive can have a tendency to run faster than what they can keep up with. They are constantly trying to change to improve and it's invaluable in the technology industry but can be frustrating if ideals have been implemented, yet they are already working on the next before they've mastered the recent.","It's okay to slow down a little. #Go shouldn't just mean run, run, run. It should also account for improvement on current ideas and people.",5.0,5.0,5.0,4.0,4.0,4.0
2018-10-23,,,Current Employee ,Great place to work,,0,"I've been very happy working at Thumbtack for many reasons:
- Inspiring company mission and opportunity for impact building a local services marketplace
- Strong leadership
- Supportive, smart and collaborative coworkers
- Great benefits and culture",- No 401k matching here yet,Keep empowering the teams to do great work.,5.0,5.0,5.0,5.0,5.0,5.0
