date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-03-15, Service Delivery Manager,"India, TX",Current Employee ,Good organization to build a career,More than 3 years,0,"Good vision and strategy, decent set of leaders who are fully committed, good growth path for the last 3 to 4 years, enough opportunities if you are skilled on right technology and also the get upskilled","Too many experiments, need to only focus on agreed strategy and not keep changing direction and structure.",The Trianz story has visibly fallen in place in the last 2 - 3 years. Please focus on current vision... Pls empower DM and PM to succeed in their roles and they will drive business success...,5.0,5.0,5.0,5.0,4.0,5.0
2018-07-31,,"Santa Clara, CA",Current Employee ,Data Analyst,More than a year,0,Very Good company for freshers,Hike percentage is not decided based on performance.,,3.0,4.0,3.0,4.0,2.0,3.0
2017-07-30, Director,"Seattle, WA",Current Employee ,Director,Less than a year,0,"Intellectual peers and managers , independent working environment, professional and collaboration within the teams",Digital Marketing for brand awareness,Continue doing the great work !,5.0,5.0,5.0,5.0,1.0,5.0
2017-04-25, Consultant,"Santa Clara, CA",Former Employee ,Experienced Consultant,More than a year,0,"-Work Life Balance
-Well known clients (largest tech companies in the valley)
-Skills developed helped me land several roles after Trianz (manager at a fortune 10 company, and post-mba consultant role at a strategy consulting firm (without having a mba))","-Some managers/directors were more friendly than others
-High employee turnover but is common in consulting
-Industry focus was tech when I was there. Good for me since that was my interest but may be too narrow for some",Be more transparent with employees. Most team members are smart and capable. It takes more than decent pay to retain talent in the bay area.,5.0,5.0,4.0,5.0,4.0,4.0
2017-02-07, Recruiting Manager,"Santa Clara, CA",Current Employee ,Recruitment Manager,More than 3 years,0,"Projects that offer Business and Technical expertise under one roof.
A high growth path that has doubled the number of employees in 2 years.
Top tier clients in High tech, Financial, Insurance, Retail, Public Services and more.
Strong core values based on integrity, commitment to client success, one global entity, long term relationships and giving back to society.","Can't think of any. Have worked with Trianz for over 3 years and have been immensely happy and satisfied with my work, pay, benefits, company culture and attracting the right talent into the company as part of the recruitment team.","Continue on your path to staying true and committed to your clients, internal values and your employees. This will surely take you up the road to success.",4.0,4.0,5.0,4.0,4.0,5.0
2016-11-29, Senior Consultant,"New York, NY",Former Employee ,Disorganized,More than a year,0,"Exposure to projects, an abundance of responsibilities and autonomy on projects. Salary while between projects. There was occasionally interesting work to be done.",Unprofessional and inexperienced management was an embarrassment at client site. Losing track of client's actual needs and pursuing software development over other improvement.,"Vet your project leads more thoroughly and build structure and process around the consulting business. Understand the client's pain points at a very detailed level and listen to SME's. Don't feel a need to work behind the curtain away from the client, heavier collaboration can ensure the project is satisfying the underlying needs and not getting too far from a realistic solution.",2.0,3.0,1.0,3.0,4.0,2.0
2016-09-16, Management Consultant,"Santa Clara, CA",Former Employee ,Unethical & disrespectful company,More than a year,0,"- Work-life balance
- Great for people fresh out of college","I don't even know where to begin with
- They follow unethical business practices
- They don't treat employees with any kind of respect
- Salaries, bonuses & promotions are abysmal
- Very very political
- They have no clue what they are doing",,1.0,4.0,1.0,1.0,1.0,1.0
2016-08-21, Senior Consultant,"San Jose, CA",Current Employee ,Warning Don't work here,,0,Every negative thing that was said on this site is completely true. I am not sure how this company stays in business I would not work for them nor do business with them. There are no pros.,"Bad management, they ignore you because they have no work. They treat the employees with complete disregard. I should have listen to the people on this site, they are not good people. I believe they are doing things that are morally wrong.",Start over this company is a scam,1.0,2.0,1.0,1.0,3.0,1.0
2016-02-16, Lead Architect,"Herndon, VA",Current Employee ,Good place to Learn and work,More than 5 years,0,"I have been working with Trianz since 2009 and I should say working in Trianz has always been productive , the work culture here is really good and it is always been a good environment to explore your knowledge, the team spirit has always been high in the teams I have worked in so far , I am sure it’s because of unconditional support and continuous encouragement provided by the senior employees in the team which we hardly get to see in other places, good performance is always encouraged by senior Management, more than anything it’s a place where you get an opportunity to work while you learn tremendously with everyday challenges.
There were some ups and downs in the Initial years but things have changed in past three years and Policies are changing for better these days, and I hope this trend continues. I am happy to be part of Trianz family.",Employees are expected to work based on current market technology trends but not enough trainings are provided.,I wish Management allocate more funds for the trainings.,4.0,3.0,3.0,4.0,4.0,4.0
2016-01-04, Trainee Software Engineer,"Santa Clara, CA",Current Employee ,Good Experiance,Less than a year,0,Good environment to work and explore ur knowledge,Not much appreciations for your work.,,3.0,,,,,
2015-10-05, Senior Managing Consultant,"Santa Clara, CA",Former Employee ,Good Client Engagements,More than 3 years,0,Good Projects and excellent exposure,Not enough projects in pipeline,,3.0,3.0,3.0,3.0,3.0,2.0
2015-08-25, Software Engineer,"Santa Clara, CA",Current Employee ,Good Company,Less than a year,0,"They take care of their employees by providing a lot of tangible and intangible benefits. There are a lot of flexibility and trust.
The chance and challenges of learning and contributing exist and it is up to individual to seize the opportunity.",Usual time crunch to meet deadlines,,4.0,4.0,4.0,4.0,4.0,4.0
2015-07-08,,"Santa Clara, CA",Former Employee ,Consulting,,0,"Diverse pool of clients (High Tech, Financial Services, Logistics, Government)
People are great
Very flexible when it comes to taking time off or PTO","Small consulting group with growing IT group - becoming technology centric
No clear vision for the consulting arm
Leadership not transparent on financials and on company strategy
Career development is not a major focus","Provide clear vision
Be transparent
Focus on your people and their career development and realize they are an asset, not a liability",2.0,5.0,1.0,2.0,3.0,
2015-05-09,,"Santa Clara, CA",Current Employee ,Software engineer,Less than a year,0,Great opportunities for fresher's. Good training,Not many. Has a bright future.,,4.0,3.0,4.0,3.0,4.0,3.0
2015-04-06, Recruiting Manager,"San Jose, CA",Current Employee ,A truly motivating and inspiring company to work for. Relentless hard work and client success their motto!,More than 3 years,0,"Company values, team work, thinking ahead, client success are some of the key inspiring factors at Trianz.","Cons are overshadowed by the pros of working here. Complainers are let off easily, need a stronger hand to deal with them.","Continue to forge ahead with the the determination and foresight that you demonstrate notwithstanding the odds on the way. As always focus on the end goals, client success, quality of work and providing a great challenging work environment. AHEAD TOGETHER.........",5.0,4.0,5.0,4.0,4.0,5.0
