date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-12-07,,,Current Employee ,Great place to work!,,0,"I am impressed with the energy level at this company! Everyone is friendly and enthusiastic, and the company clearly has a winning product.

There is a culture of sharing product information internally through LunchNLearns, and an eagerness to listen to feedback.","Internal processes are somewhat disorganized, and you sometimes get requests from random people within the company to do stuff. Product deployment and integration is complicated.","Simplify the product deployment story, and build better integration with existing tools that users are using. This is critical for achieving large-scale user adoption.",5.0,5.0,5.0,5.0,4.0,5.0
2019-04-09, Employee,"San Francisco, CA",Former Employee ,Employee,More than a year,0,an innovative product that helps customers,very disorganized making leadership teams working separately with no sync between them,stop micromanagement and listen to the customer's demands,1.0,1.0,1.0,1.0,3.0,1.0
2018-12-13,,,Current Employee ,"High growth, high energy",More than a year,0,"REALLY smart, engaged people.
Highly collaborative teams, I talk to people on our teams all over the world every day
Everyone is very engaged and moving in the same direction
Best in class product","Not a lot of process, sometimes feels chaotic","Keep up the transparent communication
Be firm about processes that actually ARE in place",4.0,3.0,4.0,4.0,5.0,4.0
2018-08-24,,"San Francisco, CA",Current Employee ,The people behind the software make Trifacta a great place to work,More than 3 years,0,"Hardworking, incredibly smart teams who genuinely care about the product. Stellar benefits, competitive salaries, and encouragement for professional growth. Cutting edge technology that reaches into AI and beyond. Engaged management team that has a strong desire to see everyone succeed.",Hitting a fast moving target in an emerging and evolving space can be frustrating [especially when you're understaffed]. It can sometimes be difficult to get these teams all working in unison -- but it's quite magical when it happens.,"Communicate effectively amongst yourselves before you communicate down with direction. Remember that the saying is 'Ready, Aim, Fire' -- not 'Fire! Fire! Fire!'",4.0,2.0,4.0,5.0,5.0,4.0
2018-08-27,,,Current Employee ,Developer,,0,"CEO, strong engineering , interesting problem",Needs to iron out its path forward,,4.0,5.0,5.0,5.0,5.0,5.0
2018-04-17,,"San Francisco, CA",Current Employee ,Great Potential. Sales Mgmt could improve,More than a year,0,"- Good culture. People are hard working, and smart.
- Flexible work environment - work from home, etc.
- Unlimited PTO, but some take advantage, while others barely get time off due to lack of support for their function.
- Fun environment
- Great location & secure building - near Bart and central to downtown.
- Office snacks, breakfast on Thursday's. Eat Club, catered events, All Hands regularly, and team building.
Good company to work for.
Since day once, it's been a positive work experience.","- Sales leadership needs work. Most of sales should be better deal closers.
- SDR team needs more training on getting more meetings scheduled and objection handling.
- CEO is very involved and approachable. Good leader, but needs to put more fire under sales to get deals closed, and with less resources.","- Value your employees and their contribution to building a great company.
- Take time to listen to your employees, and come back with clear actions to improve the experience of working at the company.
- Get sales trained to be able to generate more opportunities and close deals.
- Sales needs to be more scrappy and frugal with the VC funding.",3.0,4.0,3.0,3.0,4.0,3.0
2017-07-19,,"San Francisco, CA",Current Employee ,Lots of potential but has issues to fix,,0,"-Cool product in a growing market, can see it make a big impact in the future
-Very smart people with an open collaborative team effort environment
-Flexible worklife balance with good company policies","-Too loyal to employees with past relationships (from Informatica) that don't perform
-Company is growing but not (and probably will never) hit super rapid growth so not a lot of room for career growth
-A lot of department managers do nothing but sit around in internal meetings. Makes you wonder why they get paid so much","-Keep listening to the customers
-Listen to your employees - you say you take free feedback but when they are presented no action is ever taken
-Compensation leveling is needed for existing employees",3.0,5.0,5.0,1.0,3.0,3.0
2017-05-24,,"San Francisco, CA",Current Employee ,Hitting Our Stride,,0,"Many pros... the company is flexible with discretionary time off, working remotely, finding work/life balance, celebrating victories with happy hours and even trips, competitive compensation, great office location, incredibly bright employees, many genuine people and fun office environment... to name a few. We are at the forefront of our field and we're creating the blueprints for what data cleansing, data prep and data wrangling will look like now and in the future.","The company hit a bit of a rough patch last year, requiring some shifting of priorities and resources. We hit that point of transitioning from start-up mindset to legitimate business and industry leader... and some changes were necessary to make that leap. Things were a bit shaky for a minute but the new direction Trifacta adopted has proven itself to be the right choice. Nothing is a guarantee in life, certainly not in business, but with the current trajectory, I'm confident doubling down on Trifacta is a gamble that will pay off. The company's success is moving rapidly in a positive direction and continues to lead the way in our industry.",You do a lot of things right... and there is still room for improvement. It is important to bring the team onto the same page. Sometimes communication on topics falls short of completion. Be mindful of your team and maintain a level of humility in your leadership and values. We are all on the same team and we should all be team players.,5.0,5.0,5.0,5.0,5.0,4.0
2017-05-05,,,Former Employee ,Big data hot air balloon with terrible mid management,Less than a year,0,Great founders !!! Amazing investors...,"Terrible mid management..some really toxic personalities in biz dev, pre-sales , sales leadership that will keep hurting the company... They had a decent product but have totally lost the direction and doing all sorts of experiments instead of solving the core deficiencies in the product which are gaping and should be fixed.","Fix the mid management. Directors and Managers titles don't mean anything if they hurting ur companies business overall. Wrangling was a new space 4 years ago , however the market is too crowded and there are companies 1/10th ur size making a much better product. See the market need and evolve ...",2.0,2.0,1.0,1.0,3.0,1.0
2016-12-08,,,Current Employee ,Beware of internal viruses,,0,Good place to try out things - explore tools and put in processes etc that you wouldn't get chance to in a big company. Less/no bureaucracy.,"Few folks in the company (One particularly) think that they own the whole place and can treat others any way they want. His sense of entitlement is spoiling up the place as he hold's higher up place in the company. When a conflict is escalated, the exec team usually takes his side. That enforces his entitlement mentality. The guy is eating away the company single handedly - while execs watch him do that.",Manage - Take tough decisions - don't just lean in to such corporate bullying.,2.0,2.0,1.0,3.0,4.0,1.0
