date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-11, Legal,"San Francisco, CA",Current Employee ,Rewarding and challenging work in a supportive atmosphere,More than a year,0,Fascinating work surrounding by genuinely kind and talented co-workers in a mission driven company.,The demands of the job are stressful given the nature of the work (but I feel valued by my colleagues).,Thanks for addressing some of the complaints around compensation. Keep listening to your people!,5.0,4.0,5.0,5.0,4.0,5.0
2019-03-18, Team Leader,"Scottsdale, AZ",Current Employee ,We have found our footing!,More than a year,0,"It took a couple of years however, our department has built processes, and consistency that has allowed many of us to be promoted and empowered to make changes! My co-workers are AWESOME, the benefits have significantly improved including gym reimbursement, and Leadership has created an open and honest atmosphere.","While its not a con, it can be challenging, we change process to better suit our customers, so there are days of training that can hinder you from keeping up with the work itself.","Continue to maintain your positive attitudes and support, it goes further than you think!",5.0,4.0,5.0,5.0,4.0,5.0
2019-01-24, Management,,Current Employee ,Great place to be!,More than a year,0,"- great company culture
- transparent leadership
- job promotions or movement for those seeking and willing to put in the effort and initiatives
- amazing growth year over year
- strong leadership in the board of directors and overall vision for the future with company execs
- cell phone and gym reimbursement","- Need to streamline department collaboration and maximize our opportunities for improvement and growth
- Career path direction is up and coming along with internal HR policies",Continue to look for opportunities for those seeking and continue the transparency. It is a great place to feel welcome and that you are up to date on the company’s goals and opportunities.,5.0,4.0,5.0,4.0,3.0,4.0
2018-11-14, Senior Software Engineer,"San Francisco, CA",Current Employee ,Great company to work with,Less than a year,0,"Great work life balance
Awesome culture
Fun people at work
Amazing people to work with
Weekly catered lunch
Recognition for work done
Flexibility for work from home","Compensation is below market
No 401k match",Keep up the great work you are doing!,5.0,5.0,5.0,5.0,4.0,5.0
2018-11-16, Software Engineer,"San Francisco, CA",Current Employee ,Competitive salary with great benefits,Less than a year,0,"Great salary
Helpful and nice coworkers
Health benefits are top notch","No 401k matching, hopefully in the near future",,5.0,5.0,5.0,5.0,5.0,4.0
2018-12-19, Claims,"Scottsdale, AZ",Former Employee ,Claims department is a mess,More than a year,0,"I can’t think of any pros. A flexible work schedule was promised, but was not given. Pay is below average, benefits are average. Leadership is an embarrassment.","Immature and extremely unprofessional leadership in all areas of the office. I understand and appreciate a relaxed work environment, but there should be some basic standards to meet if you want to take on the title and role of manager.",Management should obtain training on team building and leadership skills. As a result of lack of leadership experience the environment has become extremely negative.,1.0,1.0,1.0,3.0,3.0,1.0
2018-10-01, Internship,"San Francisco, CA",Current Employee ,I have been working at Turo full-time as an intern,Less than a year,0,"Great company culture, very intelligent people from all over the world and the people are very young too. Interns are treated as full-timers so you oversee your own projects and as a result, you learn a lot.",very quick training process - you learn thru doing things,,5.0,5.0,5.0,5.0,5.0,5.0
2018-09-20,,,Current Employee ,Collaborative team,,0,Good work life balance. My direct team is very supportive and have open lines of communication,"As any startup, there's always room for improvement to support a fast growing company. Changes are made constantly, but sometimes the focus is on quantity over quality. However, I believe this could be easily (for the most part) fixed.",,4.0,4.0,4.0,3.0,,
2018-09-06,,"San Francisco, CA",Current Employee ,Turo,,0,"Turo is growing quickly, you learn a lot and everyone has a lot of responsibility so you have the chance to see your work make a difference. Team is great and welcoming.","Compensation and benefits are below average for a tech company. Comp across the board is low, benefits include health insurance and 4 weeks PTO which is great, but no 401K matching, gym membership or wellness benefits, WFH flexibility (depending on what team you're on).","Keep doing what you're doing to be transparent while growing the company. The transparency within Turo is greatly appreciated and one of the reasons I love it here. Make sure to keep thinking of the employees though, everyone has a lot of responsibility in their roles and employees are not compensated fairly for the work they are doing.",4.0,4.0,5.0,4.0,2.0,5.0
2018-08-15,,"San Francisco, CA",Current Employee ,"Incredible culture, people, and mission",More than a year,0,"-People people people. Everyone at Turo is incredibly smart, humble and down to earth. The SF office is really diverse with individuals stemming from all over the world.
-Turo is a high growth startup on pace to be come a unicorn in the next couple of years. It's cool to be part of this growth journey. It's just a matter of time before it becomes a household name like Airbnb.
-Experienced leadership team. The organization is run by seasoned professionals who you can learn from. CEO is one of the most inspirational leaders I've met.
-Surprisingly good work/life balance. The office starts to empty out around 5:30 PM. By 6:00 PM you can hear the crickets.","Lunch is catered only once per week. This gives you an excuse to get out of the office and explore the food scene in SOMA.
Finding an empty meeting room can be tricky at times. It feels like in a couple of months we might outgrow our office.",,5.0,5.0,5.0,5.0,5.0,5.0
