date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-09,,,Former Employee ,Great learning experience for a new grad,More than 3 years,0,"Really, really smart people to work with.",Tough work load for everyone during that.,,5.0,,,,,
2019-04-08,,"San Francisco, CA",Current Employee ,Collaborative and Welcoming,Less than a year,0,"Experienced employees, collaborative teams, mission-driven, welcoming","Space... we're growing so fast, it's difficult to book conference rooms when needed.",Keep pushing the team in the right direction. I feel honored to be a part of the company.,5.0,4.0,4.0,5.0,3.0,5.0
2019-04-08, Greenlight Team Leader,"Phoenix, AZ",Current Employee ,Uber Greenlight Team Leader,Less than a year,0,"You can affect change on a high scale
You get to be yourself
You want to brag about what you do
Ambiguity
Growth Potential","Start-up type issues on HR side with lack of information or process
Steep Learning Curve (If External)
Pay is on the low-side for what a Team Leader should make",,5.0,4.0,5.0,5.0,3.0,5.0
2019-04-07, Operations Support Specialist,"Daly City, CA",Current Employee ,Expert at Uber,More than a year,0,Benefits. Professional Development. Flexibility. Culture.,Lack of autonomy. Lack of organization and structure.,,5.0,5.0,4.0,4.0,5.0,3.0
2019-04-07, Principal Sourcer,,Current Employee ,Great Recruiting Environment,More than a year,0,"Very collaborative teams
Managers that listen
Many tools available to us
Reasonable KPIs
Hiring Managers really want to partner with Recruiting",There is a lot of work to do here - while we do have opportunities to take time to ourselves with PTO - you can easily find yourself behind if you are not good at time management.,,5.0,4.0,5.0,5.0,5.0,4.0
2019-04-03,,,Current Employee ,Great for part time,,0,Meeting new people and going different places,Waiting for a ride request,,5.0,,,,,
2019-04-02, Delivery Driver,,Current Employee ,Good college job,,0,"Super flexible
Chose your own hours",Not always a good time to make money,,5.0,5.0,5.0,1.0,4.0,5.0
2019-04-03, Senior Engineer,,Current Employee ,Good place to work,,0,"Talented people, good food, excellent project and support from the company",Pittsburgh is not a lively city,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-07, COE SPECIALIST II,"Chicago, IL",Current Employee ,Be prepared for change,Less than a year,0,"Incredible company perks (breakfast and lunch provided, snacks galore, Uber credits, etc). Job is easy to manage and allows for work-life separation. Company leadership is quick to recognize those who are looking to grow within Uber and will foster your needs sincerely.","Growth within the company has been intense recently. You may leave work on Friday and come in the next week to doing things in an entirely new way. People that have been with the company more than a few years are not necessarily as qualified as those who are just beginning, so there can be tension between the new employees and the more seasoned employees as they feel like we are their competition. Some employees are doing the bare minimum to get by and are allowed to get away with it, which can be frustrating at times.","Realize that seniority does not necessarily mean that the employee is more qualified in their position. Make sure to practice what you preach --if you tell employees not to be on their personal phones while at their desk, on unapproved websites, etc. -- make sure that you are doing the same.",4.0,5.0,5.0,5.0,4.0,5.0
2019-04-09, Customer Service Representative,"Boston, MA",Current Employee ,Fine,,0,"Steady employment
Fun culture
Location flexible","Bad pay
.Org Changs often
Bad customers",,3.0,4.0,3.0,2.0,3.0,
2019-03-23, Senior Software Engineer,"San Francisco, CA",Current Employee ,Feels like a rocket ship.,More than 3 years,0,Incredibly smart people who believe in the mission of the company,Not a good place to “rest and vest”,Keep on crushing it :),5.0,4.0,5.0,5.0,5.0,4.0
2019-03-20, Engineering Manager,"Palo Alto, CA",Current Employee ,Engineering-driven and fast-paced company,Less than a year,0,"- Smart and qualified engineers
- New management is fixing a lot of the legacy cultural and organizational issues
- Engineering-driven culture - technologies are streamlined across the organization
- Fast-paced environment where decisions are made quickly and allows to move fast
- Focus on getting things done and allows for innovative solutions","- Tools and processes are being created and re-created as the company is still relatively new
- Processes are not very established and are still being introduced
- Pretty involved and lengthy performance review process - could be streamlined","You're definitely on the right path. Continue to stay focused, innovate, be smart, and make tough decisions if needed!",5.0,4.0,5.0,5.0,4.0,5.0
