date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-11, Undergraduate Teaching Assistant,"Austin, TX",Current Employee ,TA,Less than a year,0,"Interact with students, get closer to professors (for letters of recommendation)",Lots of grading (depends on professor),,5.0,5.0,5.0,4.0,3.0,5.0
2019-04-10, Recsports Employee,,Current Employee ,Love it,More than a year,0,"Flexible hours, great community, helpful coworkers",Sometimes you have to work weekends,,5.0,,,,,
2019-04-10, Research Scientist,,Current Employee ,Great place to work and grow,Less than a year,0,People are amazing and lots of learning opportunity,there is no Cons and all are benefits,,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-07, Graduate Research Assistant,"Austin, TX",Current Employee ,Enjoying My PhD Life with an Excellent Research Group,More than 5 years,0,The topics and the research group.,"Nothing is perfect. Overall, I enjoy doing my research here.",,5.0,,,,,
2019-04-07, Administrative Assistant,"Austin, TX",Former Employee ,Loved it,More than a year,0,Beautiful campus with intelligent and creative coworkers,"Parking, no windows in offices",,5.0,4.0,5.0,4.0,4.0,4.0
2019-04-03,,,Current Employee ,Great!,More than 3 years,0,Good school with good professors,Big school. Not much time for students,,5.0,5.0,5.0,3.0,,
2019-04-02, Research Assistant,,Former Employee ,nice,,0,"good community
a lot of opportunities for personal growth",the work can be a little bit tedious,,5.0,,,,,
2019-03-31,,,Current Employee ,Part-Time Student Job,More than a year,0,Learned a lot and time was flexible enough to study,"None, my managers were always great with helping me stay focused on both my school and job commitments",,5.0,5.0,5.0,5.0,,
2019-04-12, Graduate Teaching Assistant,,Former Employee ,"Good Experience, Need Better Pay",More than a year,0,"good teaching experiences, good training, administrative support","okay pay, some professors need to better support TAs",,4.0,4.0,5.0,5.0,3.0,5.0
2019-03-27, Teaching Assistant,"Austin, TX",Current Employee ,Finance Department,More than a year,0,Flexible schedule for graduate students,"At times, can be disorganized between HR and the department",,5.0,4.0,4.0,4.0,4.0,4.0
2019-04-10, Administrator,,Former Employee ,Poor Management and Organization,More than a year,0,"Excellent Benefits, but terrible job culture and atmosphere.",Management has a tendency to let,Give employees feedback before their yearly evals so they can work on improving things instead of being left in the dark.,3.0,2.0,1.0,3.0,4.0,1.0
2019-03-26, Account Executive,"Austin, TX",Current Employee ,Giving the student the real world experience to take into the the real world,,0,"Stable work in environment, great benefits from day 1, teachers pension, good holidays breaks","Little room for advancement, govt pay,",,5.0,5.0,5.0,4.0,3.0,4.0
2019-03-25,,,Current Employee ,Graduate Assistant,,0,PhD salary. Enough for basic living cost,Not many cons. sufficient salary.,,5.0,,,,,
2019-04-07, Teaching Assistant,,Former Employee ,Helpful for tuition,More than a year,0,"I liked the professor I worked for
Great tuition benefits","Didn’t have “off” hours because of email, which makes work-life balance difficult",,4.0,,,,,
2019-03-20, Graduate Student,"Austin, TX",Current Employee ,"Every graduate student job is different, but my experience has been very good.",More than 3 years,0,"Autonomous work environment, good people, health benefits, pay is decent given the part-time nature of the work","Considering how much money we bring in through undergraduate tuition, pay could definitely be higher.",,5.0,5.0,5.0,4.0,4.0,4.0
2019-04-03, Assistant Instructor,"Austin, TX",Current Employee ,You owe us,More than 3 years,0,Good experience to put on your resume,Comparing pay to the amount of tuition dollars to the University can be demoralizing,,4.0,3.0,3.0,5.0,2.0,3.0
2019-03-20, Lifeguard,,Current Employee ,Great Place to work as a full time student,,0,Good pay for a student job,Early morning and late night hours on the weekday,,5.0,4.0,5.0,4.0,4.0,5.0
2019-03-19, Research Assistant,"Austin, TX",Former Employee ,Great Geology Department,More than 3 years,0,"Great atmosphere, very highly financed, relaxed people, very technical",demanding as you'd expect a top 10 program to be.,higher salary for graduate students,5.0,4.0,5.0,5.0,3.0,5.0
2019-03-17, Gradudate Research Assistant,"Austin, TX",Current Employee ,Good,More than 5 years,0,Austin is very nice area and professors are really nice.,There is no problem of university.,,5.0,4.0,4.0,5.0,4.0,4.0
2019-03-31, Graduate Research Assistant,"Austin, TX",Current Employee ,Career at UT,More than 5 years,0,Great environment and intelligent people.,Salary is not really competitive,,4.0,4.0,4.0,4.0,4.0,4.0
2019-03-31, Graduate Teaching Assistant,,Former Employee ,Not the best pay for the quality of work demanded,Less than a year,0,"Tuition waiver, health insurance, great students","Disorganized administration, interactions with university bureaucracy exhausting, low pay for demand of the work, little if any appreciation",,2.0,1.0,1.0,1.0,2.0,1.0
2019-03-14, Student Security Coordinator,,Former Employee ,Cool job for a night-owl,Less than a year,0,"good pay, low- maintenance job","can be inflexible with scheduling, gets really old and boring after a few shifts",,5.0,2.0,5.0,5.0,5.0,5.0
2019-03-27,,,Current Employee ,Great place to work,More than 3 years,0,Good working environment and good colleagues,Turn around time for request is slow,,4.0,,,,,
2019-03-27, Medical Assistant,"Austin, TX",Current Employee ,"Too much work, no organization",More than a year,0,Benefits are good compared with other companies,"Too much work for a single person
Usually no lunch time
They are growing in a no organized way, what means be fixing unnecessary problems all the time
Too much ""unnecessary drama"" inside the institution
They are not interested in the satisfaction of the tech personnel
No communication between any parts (medical, administrative, tech)","It could be a nicer company if they try to be more organized and if they avoid to ""squeeze"" their tech workers that much!",3.0,2.0,2.0,1.0,3.0,1.0
