date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-10, Data Scientist,"San Carlos, CA",Current Employee ,Great opportunity to grow alongside great people!,More than a year,0,Definitely the people! Smart folks who remain humble and down to earth. Lots of challenges which means lots of opportunities to grow for the sort of person who is willing to face them head on.,It often feels like we still want to be a small startup culturally but after a few years of success we've grown to the size where this is always possible.,Keep up the transparency and continue giving employees opportunities to grow and expand their responsibilities.,5.0,4.0,4.0,5.0,3.0,5.0
2019-02-14, Software Engineer,"San Carlos, CA",Current Employee ,Fantastic mission and prospects!,More than a year,0,"1. people - everyone is intelligent yet humble at the same time. Engineering, product, and data science teams have good sense of camaraderie
2. business - growing rapidly! Path to IPO is much more apparent than in most startups as executive team puts an emphasis on growing the business economically/sensibly over wasteful endeavors
3. mission - ultimately aiming to create a fairer system with respect to who can access credit and at what price.","sometimes need to take a step back and ensure the foundations are in place to support it in say recruiting, managers, systems, etc",,5.0,4.0,5.0,5.0,4.0,5.0
2018-12-02, Credit Analyst,"San Carlos, CA",Current Employee ,Credit Analyst review,Less than a year,0,"young, engaged people. flexible with shifts and time-off requests. Occasionally catered food",Lack of upwards growth potential. It's difficult to move up and I don't know if moving up is worth the amount of time required,,4.0,5.0,5.0,2.0,3.0,4.0
2018-11-12,,,Current Employee ,Great company,,0,Professional development is definitely a plus,Intensive training for most analyst positions,,5.0,,,,,
2018-08-26,,,Former Employee ,Operations,,0,"Company Culture:
- Lower managers and the people here are fun to work with and genuinely good people.
- Lots of banter on the office floor which keeps shifts fun.
- The environment is relaxed, you can wear casual clothes
- Hours and schedule are flexible.

Technical Info:
Shifts are: 6 - 2:30, 11:30 - 8 for credit analyst. You may have to work a weekend day.
- There is a lot of contract workers. As a contractor, you will make $18 - 22 an hour. Once converted you will start at $23. The length of time it takes to get converted and the amount of work it takes to get converted will vary.","- There is a lot of office politics. Only office favorites get promoted or raises consistently.
- Upper management does not take the input and advice from employees seriously if it is outside their own opinion. They will say that Upstart is a meritocracy but this is simply not true. Do not drink the koolaid.
- Raises/promotions realistically only happen once a year, and only if you do extremely well on your peer review and enough of upper management likes you.
- Your workload will increase beyond the initial job offer but your pay will not. If anything you may get a title change and simply be expected to work more.

All in all, this is a great place to start your career but not to stay and work long term. I am, however, grateful for all the life friends I have made. Recently a lot of people have been leaving at a rate of one person per week. Don't stay longer than you have to if you can help it. They have been known to extend job offers for new hires and then take back offers last minute based on the needs of the company. Management has recently been trying to host more events to boost company culture and moral. This was after receiving poor results on an internal happiness survey. It may be too little too late for some.",Actually value your employees instead of treating them like numbers in a machine where anyone is replaceable.,2.0,2.0,5.0,1.0,1.0,1.0
2018-08-03,,,Current Employee ,Try to avoid this company,,0,Haven't find any good things about this company,"They think they are the best and smartest people. However, their packages and benefits do not match that. In addition, if you are invited by onsite, be careful. They may ask an excuse to not reimburse some cost.",,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-16,,,Current Employee ,Great company with great people,Less than a year,0,The professionalism and culture are what make this a great place to work at. The management team really listens to your goals and help you achieve them. Everyone is always willing to help and it makes me look forward to go to work each day.,Too many temps and not too many conversions.,"There are too many temps in the client experience teams. A lot of those people don’t have a financial or startup background. Consider getting more qualified candidates and convert those temps at a quicker pace. It doesn’t make sense to hire temps that are not qualified for the job and spending time and money going through the extensive training sessions. It puts the company at risk and it’s more expensive in the long run. If the candidates have the financial or startup experience, they will most likely stay longer since it’s their passion and not just a paycheck to them. Remember, besides your cool product, consumers will also rate you on your level of service. Perhaps start putting job advertisements for permanent positions and you will attract more talent.",4.0,4.0,5.0,4.0,2.0,3.0
2018-04-27, Growth,,Current Employee ,Growing company with tremendous responsibility,,0,"Get an amazing amount of responsibility from day 1 - every role has a real impact on the business trajectory, customer experience etc.

If you are someone who wants to take initiative, the opportunities are expansive. Ideas are taken seriously by senior management with ability to execute and own your own projects.

Very flat organization - great place for a young person to grow quickly","Limited perks compared to most SV startups
Commute, though flexible working schedule helps","Continue to invest in culture as we grow - while perks aren't everything, certain ones can make employees feel valued for the growth they are working hard to contribute to at all levels.",5.0,5.0,4.0,5.0,3.0,5.0
2018-04-11, Credit Analyst,"San Francisco, CA",Former Employee ,Upstart Review,More than a year,0,"- Stocked kitchen, schedule flexibility",Toxic politics and bullying in the ops team specially when its not a busy season and coworkers may seem nice but they will always try their best to back stab you. At times I felt I was part of a high school classroom because even the operation managers act childish in this company with no professionalism in their attitude.,I understand this is start up company but that does not mean people can act childish and immature.,3.0,5.0,3.0,1.0,3.0,1.0
2018-03-19,,,Current Employee ,Credit Analyst,,0,"-Ample opportunity for growth
-Management is very accommodating and encouraging
-Friendly work culture","-Lack of defined role responsibilities; although this is not unusual for startups
-Compensation is relatively low
-Does not offer the best benefits",,4.0,4.0,4.0,4.0,2.0,3.0
2018-03-10,,,Former Employee ,Great Place to Launch your Career!,More than a year,0,"You'll get an inside look at how it is to work at a start up, to experience the rapid changes that occur, as well as working with bright, fun colleagues. The people are by far the best part of working at Upstart.",None that I can think of at this moment.,"Keep doing what you're doing, and ensure that you do your best to retain quality employees.",4.0,5.0,4.0,4.0,4.0,4.0
2018-02-19,,,Former Employee ,"Run, do not walk to the nearest exit",,0,There really aren't any pros here.,"I've never seen a firm treat potential hires so horribly. The recruiting team is ridiculous, repeatedly harassing candidates with random phone calls and then flaking on people when they've scheduled a time with them. Extremely unprofessional and a rude/unfriendly culture. People are encouraged to get to meetings with candidates 15-20 minutes late or just never call them despite a video call being set up.",Grow up and act like adults. You've hired a ton of bad apples and just rude people here - do something about it.,1.0,1.0,1.0,1.0,1.0,1.0
2017-05-11,,,Former Employee ,great company,,0,Great company and job wages,not much opportunities to move up,,4.0,5.0,5.0,5.0,4.0,4.0
