date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-11, Customer Success Manager,"Atlanta, GA",Current Employee ,Customer Success Management at Vonage is awesome!,Less than a year,0,"Customer Success Department management is very supportive and collaborative. Coming from a sales background and wanting to move into something more ""farming"" than ""hunting"" this role has been so fun to take on and truly making an impact for not only my customers but for Vonage as a company too. Our CSM department is growing and we have such a great vibe that it's enjoyable to come to work everyday. I love that we have support from all our other internal teams to drive the best customer experience. I feel like I'm part of a start up company with the resources of an enterprise. The company takes the initiative for continual education and feedback which I think is great - and they are receptive to it.","As Vonage has made many changes in the past year to really complete out the offering suite, it has shifted the culture in other departments -however I notice that the company is prioritizing repairing that culture and making it a destination work place overall and not just department by department.",Keep focus on making each department a destination work place and it will get there. I know the CSM team is already one!!,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-08, Senior Cloud Solutions Executive,"Boston, MA",Former Employee ,Vonage in Review,More than a year,0,"Great Vision, great benefits, and good technology.","Vonage name not well known in B2B and Vonage relies on dysfunctional channel sales that are sporadic by region. It was hard to get people to look at Vonage over Ring Central, Mitel and even Cisco. The initial training is too short and lacks focus on use cases need to understand value prop. They are getting better but trail several competitors in New England.",Train your sales people better initially and have more technical sales people in region to support sales team. Need more sales from the channel in New England.,3.0,4.0,3.0,3.0,4.0,3.0
2019-03-29, Senior Manager,"Houston, TX",Current Employee ,Very exciting time to part of the Vonage team,Less than a year,0,"Fantastic culture, Excellent training, Great benefits, Innovative organization. Smartest group of people I have ever worked with top to bottom. Work culture is the best I've ever been a part of as well. Striving to always be a destination workplace for all is just part of Vonage's DNA.",None that come to mind.,Keep up the good work. You are big part of the reason top talent is both attracted to work here and also stay here. Transparent leadership.,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-27, Anonymous,"Holmdel, NJ",Current Employee ,Moving Forward in a Positive Direction,More than a year,0,"The environment is fast paced and keeps you on your feet. You will always be in learning mode and looking for ways to improve the company through your own department. A lot of change with the acquisitions, but with that change is enormous potential to grow Vonage even further.","Personally, I have not had a poor experience. I have read some of these other reviews and I am a bit surprised. The office I work at is very pleasant and everyone seems happy to be at work.",,5.0,5.0,4.0,5.0,3.0,3.0
2019-03-03, Director,"San Francisco, CA",Current Employee ,Massive Upside with Mid-Term Growing Pains,More than 3 years,0,"Exhilarating to be part of transforming a company at its core.

A start-up like environment with a relatively flat hierarchy.

GSD attitude across most business units.

Good benefits and comp.","Not for everyone! Vonage grew through acquisitions and now feeling integration pains. This is to be expected. After major surgery you don't start running right away -- this is no different. The people that will flourish in this environment are those that are gritty, self-motivated, and comfortable leading in ambiguity.",Focus on listening to employee feedback and implementing substantive programs to improve culture and values.,5.0,2.0,3.0,5.0,5.0,4.0
2019-03-31, Senior Consultant,"Irvine, CA",Former Employee ,Do not recommend,Less than a year,0,Promise good work culture and work life balance.,Disorganized. Get the cold shoulder when you leave the company. Missing commissions.,,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-28,,"Atlanta, GA",Former Employee ,Not the best place to work,More than a year,0,"Very low pay, Management / Supervisors are always too busy and are very condescending. The actual work is just fine. They wonder why they cannot get most techs to take the jobs and or stay.",got a toothache and had to go to the hospital and they took me off the schedule like I was nothing to them.,,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28,,,Former Employee ,Execution is missing,More than a year,0,The high-level strategy is interesting,The product and operations execution is poor. They have failed to effectively integrate their acquisitions and build differentiated products so they are losing in the marketplace. Most of the key leaders are over their heads.,"Fix the product, delivery and customer support gaps that threaten the viability of this business.",2.0,3.0,2.0,2.0,3.0,2.0
2019-03-21,,"Atlanta, GA",Current Employee ,Worst company I have ever worked for.,More than a year,0,This company brings in company temps. Doesn’t offer benefits to you. Lays off constantly. No opportunity for advancement of any kind.,Be prepared to work awful shifts and 3 out of 4 Saturday’s per month.,,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-15, Communications Engineer,,Current Employee ,Not a Fun Time,More than 5 years,0,"Baptism by fire/constant ""emergencies"" help you learn quickly","Work/life balance is not a concept here
Company pivots every 6 months
No opportunity to change roles/cross-train - when your team is done with, they kick you out the door",Slow down before you lose everyone,1.0,1.0,2.0,2.0,3.0,2.0
