date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-07-06,,,Current Employee ,Awesome work place,,0,"- Great team/family atmosphere
- very good compensation and benefits
- Great product.",None. Keep doing what you are doing,,5.0,5.0,5.0,4.0,5.0,5.0
2018-08-16, Network Engineer,"San Francisco, CA",Current Employee ,Webpass,More than 3 years,0,Great co-workers. Great atmosphere. Benefits and Perks have improved.,Pay trends on the lower end.,,3.0,4.0,4.0,3.0,4.0,3.0
2018-01-22,,,Former Employee ,Management Needs Guidance,More than a year,0,Peers are easy to work with and salary was good.,Management overall is approachable but if you get on the bad side of sales leadership you’ll be bullied and given no choice but to leave. Hostile work environments should be addressed but that wasn’t the case in my particular office.,Hire professional and skilled leaders for sales.,3.0,4.0,3.0,2.0,3.0,2.0
2017-06-19, Relationship,"Miami, FL",Current Employee ,Best Company to work for!!!,,0,"You really can't find a better company to work for, especially in Miami. They truly care about every employee and in turn, everyone is happy to work their butts off to make Webpass the best. And the product? It speaks for itself!",I haven't come across any yet,Keep Rockin' !!!!!,5.0,5.0,5.0,5.0,5.0,5.0
2017-06-17,,"San Diego, CA",Current Employee ,Network Construction Technicians,Less than a year,0,The benefits and the great future techno,No comments. this job is perfect,,5.0,5.0,5.0,5.0,5.0,5.0
2017-06-15, Construction Technician,,Current Employee ,Construction Technician Review,Less than a year,0,Good benefits. Friendly co-workers. Everyone is treated as a Family. Good starting salary for the industry. If you are thinking about joining Webpass believe me you would make the right decision. I left better paying job to join Webpass because I believe in the future of the company and I don't regret my decision. Just check all the pictures posted and you would have a feeling about the positive culture here.,"I am sure there maybe some, but I am yet to find one that is critical. Will update my review if I find one.!!!",Keep listening to your employees . Two heads are better than one!!,5.0,4.0,5.0,5.0,5.0,5.0
2017-04-13, Account Executive,"Miami, FL",Current Employee ,Account Executive Review,Less than a year,0,Best job I've had. Employees and management are like family; the pay is great and above industry standard; the product sells itself.,I can't think of any.,Keep doing what you are doing!,5.0,5.0,5.0,5.0,5.0,5.0
2017-03-21,,,Current Employee ,Great Place to Work,,0,"I love the attitude at Webpass. They truly care about employees. They ask for you to work, but expectations are realistic.","Pay is not the best, but benefit package is outstanding.",,5.0,5.0,5.0,4.0,4.0,5.0
2016-10-26, Customer Support Representative,"Miami, FL",Former Employee ,Customer Support,More than a year,0,Great company. The start up atmosphere is wonderful. There is a lot of team work and comradery because the offices are small (not too many employees) compared to a bigger company. The President keeps up with what is going on with the office and tries to be transparent. The pay is good compared to other startups and big companies in Miami.,The Miami office was slightly unprofessional. I had a coworker call me a racial slur several times and we had issues with pay twice. Sales people were getting fired left and right. An entire Marketing department had been fired.,communicate more and organize.,4.0,5.0,5.0,3.0,5.0,3.0
2016-08-12,,"San Francisco, CA",Former Employee ,Webpass,More than a year,0,Great President / CEO. Great culture and co workers. Great team building events and fun outings.,"Slightly below pay for some positions, especially in SF market. Some middle management could use more training and learn some better peoples skills.","Look at middle management and there may be less turnover, especially in operations and construction devision",4.0,4.0,5.0,3.0,3.0,4.0
