date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-07,,"Lehi, UT",Current Employee ,It's not about who you are. It's about what you do.,More than 3 years,0,"Transparency in communication. I am one of there more tenured reps of over 2 years and this isn't due to lack of options for me. My base in my current position is valued at 50 to 65k. However the issues which many address here are clearly salesmen or women who can't follow instructions or simply follow orders to approach clients needs. They get released for poor performances and hence why glassdoor is loaded with this high school drama . Are you mad because you didn't do the best you could do? Enjoy podium or any other similar SaaS company and talk sour all day on slack! The skilled survive. The lames move on. It's this simple. If you want to empower and challenge yourself then welcome to a future worth fighting for. Tenure is a literal badge of honor. Job hoppers are the worst. If you hire someone whose been to 6 previous places of employment within a year, your companies glassdoor is next.",People who are ready to jump ship go out there way to discourage others around them. The hilarious part of this while they were here they would go out of their way for more responsibility to impress peers. My advice to the newbies is to understand your role and just do your job. It is easy and you will find the right people to help you. Just ask.,Require an IQ test before hiring. Literally preventing online autism and online berating by the self entitled.,5.0,5.0,5.0,5.0,4.0,5.0
2019-02-11, Account Executive,"Lehi, UT",Current Employee ,Don't listen to the negative reviews!!,Less than a year,0,"Seems like the only people that are going on here and leaving bad reviews are the ones that just can't cut it here. It has nothing to do with the leadership or the company. The Womply software is very simple and straight forward and really does make an impact on a small business's revenue! I have seen it with my own eyes, anyone saying different obviously hasn't seen the results of our customers. As for working here....Yes it's work....Yes it's hard... IT'S SALES!! If you haven't been in sales before or can't handle hard work then don't work here. That being said if you can work hard and fight through a few no's and some leads that aren't always the best but want to make 90k a year....WORK HERE!!","Since it is a ""startup"" there are some growing pains. That is going to happen with any company. as you can see the people who are leaving negative comments they have made some hiring mistakes but that is really it.",Keep up the great work and please continue to recruit top talent in Lehi because I need some more competition! LOL Seriously though I look forward to seeing where we are in 5 years!,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-25, Sales Associate,"Lehi, UT",Former Employee ,Dont work for this company,More than a year,0,Snacks and drinks in break room provided,They dont value there employees they treat you like a number and kick you to the curb if you have even one bad day.,Dont promise something you dont deliver on and change your mission statement because it's not right.,2.0,1.0,2.0,2.0,2.0,2.0
2019-02-25,,"Lehi, UT",Current Employee ,"Lots of potential, positive culture, great people, very chaotic",Less than a year,0,"--The people: I've been with Womply for around a year, and I love the people I work with.
--Work-life balance: from what I've seen, the company sticks to their word and encourages you to ""unplug"" when you're not at work and take vacation days to recharge. The management I report to does seem to work long/hard but they are under a lot of pressure to produce results and grow, as you can imagine in a startup with 8 years under its belt. If you function best with a strict 8 or 9-hour workday, be sure to talk about that with the recruiter and/or your interviewer to make sure the expectations are understood by all parties, and then hold them to that when you get hired.
--Casual dress code, relaxed atmosphere. I despise formal/stuffy business attire and this is a huge plus for me. (see below for downsides of casual/open office environment). If you are deeply offended by C level management wearing t-shirts/jeans/shorts/hoodies, look elsewhere for employment. You are certainly free to wear whatever formal business attire you wish.
--Huge opportunity/potential for growth/chance to make a real difference. The benefit to small businesses who use the product is real and substantial. The ""startup culture"" and the resulting chaos (see ""cons"" below) means that if you're a self-starter and you see something that needs to be done, chances are nobody else is doing it or has seen the need for it, and you can spearhead some really significant initiatives, make a real difference, and get the credit you deserve.
--The product provides real value. The data assets are huge and business owners. The concept is is a winner and has the potential to change the world for local businesses.
--You will get credit/kudos/recognition for the work you do and the difference you make. Management is very open and free with praise and everyone is eager to share or even defer the credit for goals met and key projects completed. Nobody beats their chest and says it's all about me.
--Freeloaders can snack/eat/drink soda for free all day long. Frequent food brought in for the office.
--Company seems to be getting its feet under it and is in position to get it right and grow huge.
--Decent money, good benefits.","--Chaos. ""Startup culture"" can mean a lot of things, but here it means ""oh crap we never thought of that we better fix it."" The last year has been rough, as you can see from the reviews about huge sales staff turnover and people leaving. In my personal view, the people who have been let go were honestly not performing up to expectations or producing significant, measurable results. And naturally you can expect them to be bitter in some cases. But I would also encourage you to take the ultra-negative comments with a grain of salt. Not many people will write a glowing review after being fired. And honestly, if you're not meeting the expectations you were hired to meet, shouldn't you expect repercussions? But yeah, if you crave a drama-free, opportunity-free, worker-bee job where you just punch the clock and do your time, look elsewhere. At Womply you will be challenged, and the challenges are enormous and can feel insurmountable at times.
--The ""open plan office"" is murder for people who prefer things quiet to maximise their productivity. Seriously whoever came up with this dumb-arse idea needs to be broken on the rack. So if you don't thrive with terrible pop music constantly on in the background and/or if you're distracted by other people's conversations/clicking pens/sociopathic whistling/loud chewing/flatulence/passive-aggressive typing/inane blather/whatever, invest in some quality noise-canceling headphones, or apply elsewhere.
--Working remotely is discouraged. They do allow it but they expect it to be the rare exception, and from what I've seen it's usually when people are sick that they work from home. Management does want people on site whenever possible (and due to the ""focus on results"" company value and the and ""rise and grind"" mentality of some people, lots of people come in sick). So if you work best from a home office, look elsewhere or be sure to get whatever WFH arrangement you get them to agree to in writing so there are no surprises.","--Reconsider the open office plan
--Continue emphasizing/exemplifying core company values and a healthy work-life balance
--""Have fun"" company value needs to actually mean something
--Sales processes that should have been in place 8 years ago need to be in place.
--Dedicate enough people/bandwidth to truly fix problems rather than just applying temporary band-aid solutions.
--Have a longer/foundational view of growing the business. (This is improving)",4.0,5.0,4.0,5.0,4.0,4.0
2019-02-13,,,Current Employee ,Changes getting traction,Less than a year,0,"Amazing product. The changes that have been made, from top to bottom of the Company, in the last few months have created an amazing opportunity","It's a startup so things move fast, and are a bit chaotic..... but the advantage is that my input is heard and changes are made. You are not some corporate drone...","Keep focusing on high quality, consistent decision making and commitment to the employees. Coming back in January this year I feel like its a breath of fresh air. Keep it up!!",5.0,5.0,4.0,5.0,4.0,5.0
2019-04-10, Marketing Manager,"Lehi, UT",Current Employee ,Company in decline,More than a year,0,soda machine (that's all but I needed to put at least 5 words in this box),"Company revenue is not growing, company strategy changes by the month, retention is a huge issue and most customers don't know they're signed up for the product, slowly losing their differentiating features, office space in Lehi is terrible (Ikea tables in rows), all comp adjustments come in the form of bonuses which depend on company performance which is 0.","Pick a strategy, develop a working product that people will pay for, treat employees well, listen to reviews like this on Glassdoor, current employees have the exact same feelings.",1.0,1.0,1.0,1.0,1.0,1.0
2019-04-05, Account Executive,"Lehi, UT",Current Employee ,Sick of it,Less than a year,0,"This place used to be great for sales. We used to have good leaders who tried to make things better but they all got fired. The higher ups don't like anyone who doesn't agree with everything they say. The sales manbagers that are left are still good, but you can tell they don't care as much anymore.","Most of the positive reviews are from brand new sales reps who are urged to leave a positive review in their first week. If you read them you'll see that there are never any specifics.

The main thing people buy is our get reviews product. But I don't know of any customers that actually get reviews with our software. I heard the review rate is less than 1% and I believe it. I have alot of customers that have never gotten a review after paying us over $100 a month and signing a 12 month contract. Our system isnt automated like we say it is. We have customer service reps who take our customers google or yelp usernames and passwords and login as the customer. I don't know how they let us get away with that because it seems wrong. I don't think our customers know. If a customer changes their username or password then our customer service team can't do anything for them. It just stops working. Even when you do sell something the cancellation rates are bad. And sometimes you can't even process a sale because our payment system breaks. Most of us want to leave but haven't found new jobs yet. It isn't easy to find a new job when Womply is your last job.",If you are going to sell a reviews software you should actually make it work and stop having our employees take the customers private passwords and do manual work when we say it is automated.,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-29, Account Executive,"Lehi, UT",Former Employee ,Run from this dumpster fire,Less than a year,0,They offered free snacks the benefits were inexpensive good time off and the base salary was attractive,"They represent the position to be a six-figure account executive opportunity. The reality is most people there make less than 60,000 per year. Most people are there for the base salary and that leaving within six months that should tell you all you need to know about this place. It’s a turnover factory if you’re looking for an easy job for a short period of time in between it be a great place but I don’t think it’s very career minded. That’s pretty easy to tell because most employees there have worked less than one year and it’s very hard to find people who have been there more than two.",Be honest! Talk to your people about improvements many of us had great ideas that were just swept under the rug. Your product is actually good your marketing is horrible! Concentrate on getting better leads and actually telling people what you do not trying to trick them by making them believe you’re part of Google or yelp. Let your product stand on its own merit,1.0,3.0,1.0,1.0,2.0,1.0
2019-03-27, Sales Representative,"Lehi, UT",Current Employee ,Their only solution is to fire people,Less than a year,0,You will have some really great coworkers. I've made a lot of good friends. The managers care if you are successful but theirs just not much they can do to help anymore. You don't have to work on nights or weekends so the worklife balance is good.,Womply's only solution is to fire people. They ignore that the credit card partner leads dried up a long time ago. They ignore that our most of our customers that buy reviews software don't get reviews. We don't even automate the reviews software. There are customer service reps who do most of it manually and that's probably why it doesn't work. No one is making enough money.,I don't have any advice because they won't listen anyway.,1.0,4.0,1.0,1.0,1.0,1.0
2019-03-25, Call Center,,Former Employee ,They silence people for not liking a business.,Less than a year,0,You can quit and leave this 2 bit company.,"The business model is complete trash and they claim you can make 100K. This is just not true. They will breathe down your neck for you to make 100 cold calls per day in hopes of eventually becoming an Account Executive. Even once you or ""if"" you become an Account Executive you will still have to make cold calls to generate your sales.

Tricking customer into thinking they are using another companies system into buying Womply SAAS products is just not for the ethical salesmen.

The ""top"" executives will come down and huff and puff about how rich they are and rub it in your face.

Womply will eventually go under once consumers catch on to what's going on.

Trust me if you want to make cold calls for a low wage and be micro-managed this is the place for you.

I wasted my time with this company. They flood Glassdoor with fake reviews so that the bad ones are covered up.",Quit now.,1.0,1.0,1.0,1.0,1.0,1.0
