date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-04-28, Account Executive,"New York, NY",Current Employee ,Great atmosphere,Great atmosphere,0,"Amazing atmosphere, benefits are like no other",Dont have anything negative to say about yelp,A little less micro management,5.0,,,,,
2019-01-01, Account Executive,"New York, NY",Former Employee ,"Amazing People, Incredibly Unhealthy Work Environment, HR Nightmare","Amazing People, Incredibly Unhealthy Work Environment, HR Nightmare",0,"I am writing this review 6 weeks after leaving Yelp and about 4 at my new company so I feel like I have had some time to digest, compare, and reflect on my experience.

THE GOOD:
People - A pro and a con, we will get to that later. I have made some of my dearest friends and amazing mentors working there. Everyone is around the same age, has similar goals as you, and for the most part your peers encourage you to succeed.

Office- The office is beautiful and filled with snacks, beer and games. There's a barista there all day everyday and a great facilities team that keeps the office shiny.

Events - Again, pro and con. Drag queen lunch, happy hours, team outings, you name it. There were a ton of fun events that I know people who were not from the NYC area really benefited from since they got to meet new people and explore cool new spots around the city.

Training - Yelp offers a 2 month, extremely intensive training program that teaches you the ins and outs of sales. You learn to become a better communicator, have thicker skin, and set goals.","***IMPORTANT***
Let the record stand that in September there was an attempted SHOOTING at Yelp in SF and NOT A SINGLE MESSAGE was sent out until 3PM three days later after employees were panicking/gossiping about it.

Our stock plunged nearly 30% in Nov. Business owners were talking about it on our calls and not a single person in management or leadership addressed it.

Buckle up, because there are many.

1. Culture- This company is ran like an elementary school or a dysfunctional summer camp. There is an ongoing joke about how we're surprised we don't have to raise our hands to use the restroom. I totally understand things like being mindful of breaks and your phone, but there have been times were I took my phone out to check on a family emergency and got publicly called out for it. The culture at Yelp is shoving it down your throat that you LOVE Yelp and you are SO LUCKY to be working at Yelp. Our monthly meetings would involve bashing other companies (ex., the head of the office mocked Google's walk out against sexual harassment) and avoiding obvious issues within the company. You are HIGHLY encouraged to attend happy hours frequently and majority of the well performing teams, such as the one I was on, go out multiple times a month. Most of it comes out of YOUR pocket and can fall on weekends and Friday nights. Successful managers at Yelp consider Yelp their life (date within the company, have only friends within the company, etc.) I know more about my managers sex life than I ever should.
2. Job Itself - It's cold calling, you know that when you apply so that shouldn't really be a con, HOWEVER, it's how they approach cold calling. At exactly 8:30 you need to be at your desk ready to go. At exactly 12:00 everyone takes lunch (HR says you can take it anywhere between 11-2 but good luck trying to tell your manager that). They have no flex when it comes to a sales cycle. If it's the day before Christmas or the day before Memorial Day weekend they expect the same despite the obvious fact that sales globally decrease. Your managers get on your calls and feed you line for line what you should be saying. Essentially you are a puppet to your manager. It takes zero skill. (For reference, I was putting up 30k a month which is 10k higher than quota.) No matter how much you do in a day/month/week/etc. it isn't enough and even when you do well, no one is happy there, they just can't tell you that. I know several people who have won the most esteemed awards at Yelp and all HAVE QUIT. You're forced to stand and your desk and ""bring the energy"" like we're 12 year old cheerleaders. The ""rewards"" they give you for closing deals is hilarious. Sometimes it's things like ""dare your manager to do a push up!"" or ""one free breakfast sandwich!"" Again, elementary school. There is also nowhere to go up. You can either cold call, manage people who cold call, do higher volume cold calling, or pray to get into Mid Market/National. I quit the leadership development program because the mission of it is to teach you how to brainwash employees and use what they say against them. Why should managers be asking me questions like ""Are you closer with your mom or your dad?"" ""How is your current relationship going?""
3. Management - Possibly the worst part of this job. It's amazing how they haven't been sued yet because not only is management known for being incredibly unprofessional, but there is NO DIVERSITY. Every single director (in my time I've seen 8 different) is white. Every. Single. One. This is a company of 1200+ employees and you're telling me there isn't ONE POC you can promote? Managers are the same and they're all 23-25. They promote people into management extremely early and they are managers for training classes so you're forced to learn from someone who doesn't even know how to do their job. In addition, management is incredibly immature, power hungry and an overall mess. I went though 4 different managers, all equally problematic. One time there was a bad snowstorm and they were closing down Port Authority and suspending trains. I was told I should ""stay at a friends house"" or use my PTO if I wanted to leave. I wound up staying, it was extremely dangerous getting home and I didn't get back to my house until 2AM with work the next day. Another time I was in the bathroom with a stomachache for FIVE minutes (sorry TMI) and my manager texted me ""Hey where are you?"" I've been told by countless people in power that we should 'of course' take our LEGAL 10 minute breaks, but make sure we earned them. This has been said to me at the end of a week where I've closed 21k. Seems like I earned it. Oh, and one more thing, keep an eye on your managers and directors because they're sleeping with reps and doing obscene amounts of Adderall.
4. The pay structure - Yelp went from contracts to non-term length commitment so the client can cancel anytime. You have no connection with your clients after you sign them up, and it's frowned upon to check in on them. Yelp pays you out as if they stayed signed on for 6 months so when they cancel (which they do because the product is outdated and doesn't actually work) you wind up owing the company back money. They tell you 20% of your sales needs to stay on for 3 months which seems easy but is not when they can stop and start at any time and you have no control.

Honestly, not the worst place to start for recent grads but check yourself and realize this is not a real job and other companies are laughing at us.","1. Stop promoting only white people. It's incredibly obvious.
2. Grow up -- flirting with your employees is embarrassing and unprofessional
3. Take a good look at the morality of how you're running your company.
4. Your trophy winners are quitting -- shouldn't that tell you something?
5. Stop bullying people when they choose to go elsewhere. Don't tell me I'm 'giving up' or 'if you can't be successful/happy here, what makes you think you will be successful elsewhere?' or 'you're feeling negative because you surround yourself with negative people.' I brought a positive, professional attitude to work every day and it was a huge shock when I left. If you really can't see beyond your employees attempts at faking it until they make it, you shouldn't be in management. There are people at this company with anxiety, stomach issues, weight gain, etc. and no one changes a thing. I've seen doctors in NYC that have said people come to them with similar issues from Yelp. How do you not realize that isn't ok?",2.0,4.0,2.0,1.0,3.0,1.0
2019-04-26, Recruiter,"Phoenix, AZ",Current Employee ,Best Career Move I've Made!,Best Career Move I've Made!,0,"Great culture and work environment, healthy work/life balance, free food, transparent growth plan, friendly co-workers, AMAZING benefits",None so far in my department,Keep reaching out to your employees to find out what they need/want and continue growing and evolving!,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-24, Product Manager,"San Francisco, CA",Current Employee ,Lots of ownership + lots of fun,Lots of ownership + lots of fun,0,"Being a mid-sized company, every employee has a lot of ownership over the product. Decisions are made mostly from the bottom-up, and management is mostly receptive to new ideas. Work-life balance is also pretty great.","Product vision can seem incremental at times, and appetite for risk is quite low. Design and user research teams don't have enough bandwidth to execute on projects at a rapid rate.",Take more moonshot bets!,4.0,5.0,3.0,4.0,4.0,2.0
2019-04-23, Senior Elite Local Client Director,"San Francisco, CA",Former Employee ,Yelp Local Client Partner,Yelp Local Client Partner,0,"Amazing company to work for. 100% support from team managers, directors and teammates. Your manager genuinely cares about your success and will put you first.",None that I can think of.,Keep it up!,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-22, Manager,,Current Employee ,Manager at Yelp gives 5 star review for Yelp!,Manager at Yelp gives 5 star review for Yelp!,0,"The team!
The vision!
The work!
The opportunity to grow!
The opportunity to have a big impact on the world!

This is a great company to be a part of, and I'm honored to come to work every day with such a terrific team.",The commute to downtown SF could be more streamlined.,,5.0,4.0,5.0,5.0,5.0,5.0
2019-04-04, Sales Director,"San Francisco, CA",Current Employee ,Income Inequality,Income Inequality,0,You can make a lot of money with the right accounts and good timing,"Pressure from wall street has put pressure on management to set unrealistic revenue expectations on the sales teams. While managers benefit from the law of averages, in terms of variable compensation, the majority of individual contributors are unable to meet/exceed quotas, while a minority of the team will make serious bank. Finance Operations always finds ways to move accounts around to minimize sales commissions.",Walk the walk. Don't just talk about transparency waiting for people to speak up and face retribution for being negative. Call out the elephant in the room to facilitate honest conversation.,4.0,4.0,3.0,3.0,3.0,2.0
2019-04-18, Local Client Partner,,Current Employee ,Very Average,Very Average,0,"Kitchens are stocked
Pay isn't terrible","Making a lot of dials
People complaining about reviews",More transparency,4.0,5.0,5.0,3.0,3.0,4.0
2019-04-17, Account Executive,"San Francisco, CA",Former Employee ,Quit Complaining,Quit Complaining,0,Amazing work culture that allows you to quickly make friends from all over the US.,Constantly micro-managed by managers.,80 calls a day isn't effective.,4.0,5.0,5.0,2.0,2.0,3.0
2019-04-10, Site Reliability Engineer,"San Francisco, CA",Current Employee ,Can honestly say I like it,Can honestly say I like it,0,"* Yelp is a company with a big and solid user base. Lot of traffic, lot of load, lot of things you will probably never going chance to work with and issues resolve working for a startup.
* Yelp is not one of FAANG and generally speaking a medium sized business. Engineering department looks fairly lean. This mean it is quite unlikely board is going to dump hundreds of workers in the end of a year to improve financial reports - practice quite common in big companies.
* Can't tell about other departments but culture in engineering is nice and chill. I worked as a contractor with big companies previously and it was a breath of a fresh air since I've joined Yelp.
* Opportunities for growth - plenty of them.
* Yelp is a public company, you are not paid in promises, shares you get are convertible to real money instantly.
* Office - a skyscraper in the downtown SF limits ability to build an open space and you can actually make your/team space quite cosy.
* On-call schedule is not brutal.
* Downtown SF - plenty of opportunities before/after work - concerts, bars, tech meetups.","Most of them apply to the folks who plan to work in the office. Can tell nothing for remote folks.
* You won't buy a lambo after IPO - the company is already public.
* You go out and pay for your food yourself, no daily deliveries, just cafeteria and snacks.
* No dry cleaning service.
* No gym
* No showers (critical if you're biking)
* No Uber/Lift credit to get to/out of office. You pay for your transportation/parking yourself. You can pay for Bart/Muni/parking pre-tax though.
* Downtown SF is the filthiest place west of New York City Subway.
* You have options either live in SF and dump lot of money into rent or waste lot of time commuting.",How about office in Colorado?,5.0,4.0,5.0,5.0,3.0,4.0
