date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-19, Marketing Specialist,"Brazil, IN",Current Employee ,Great company with awesome values,,0,"The company is passionate. They really care about the employees and when we are inside the company, we know that Zendesk truly live it values. Marketing & Sales very well aligned as a company and as a Marketing professional I do feel that the company empowers the area and gives us accountability of the results.",Regional subsidiaries still very far from the Global team. The processes are still being created.,Keep closer relationship with Regional subsidiaries. Listen to their pains and adapt processes.,5.0,4.0,5.0,5.0,5.0,5.0
2019-04-06,,,Former Employee ,Toxic team and politics,,0,"snacks
cool brand
interesting possibilities w/ the product suite","tenderloin can be scary
toxic team environment
favoritism and change based on favoritism
lack of strategic business plan for said team","You hire such great people with experience...let them help you. Stop clinging to the way it ""always has been done"" and embrace that new blood is a GOOD thing.",2.0,2.0,3.0,3.0,2.0,2.0
2019-02-12, Software Engineering Manager,"San Francisco, CA",Current Employee ,"Great company, poor office",More than 5 years,0,Good salaries and packages. Good culture with diversity and volunteering. Feeling of working for a good company. Great work/life balance and associated benefits.,Life-threatening office location and not offering a lot of remote working opportunities.,Embrace full remote positions. People don't want to commute to the Tenderloin.,5.0,5.0,5.0,4.0,4.0,4.0
2019-03-05,,,Current Employee ,Lot of Opportunity,More than 3 years,0,"Fast growing company, a lot of opportunity",Growing pains.. Company is doing everything it can to keep up with the demand,,5.0,,,,,
2019-02-25,,"San Francisco, CA",Former Employee ,Great work/life balance.,More than a year,0,Worked on a small team of great people. Great work/life balance. Beautiful office space.,Departments felt totally isolated from one another. At times the Creative team felt like a production house for the rest of the company. Lots of meetings.,,4.0,5.0,5.0,4.0,4.0,3.0
2019-01-17, Customer Advocate,"San Francisco, CA",Current Employee ,"Great company, experience may vary",More than a year,0,"-Industry leader
-Good company perks
-Great culture
-Fun environment
-Many ways to get involved in local community with volunteering options","-Only cons that I have are specific to Advocacy Dept. unless your'e in a leadership role from the start you will not make any traction within the team.

- 0 transparency in department or organization changes that will have an effect on you directly",Advocacy Dept. needs to actually invest in the growth and development of their team to ensure top talent stays internal. They do not have specific measurable steps for their team to achieve goals/ grow in any facet. Advocacy management only really cares if they need to back fill a position as they have a continuous revolving door of turnover but still don't understand they are the exact reason employees leave.I've seen too many great colleagues leave due to Advocacy not being able to help them with career goals. It would be great if they treated their Support team the way they preach everyone else should treat theirs!,4.0,4.0,5.0,3.0,3.0,2.0
2019-01-09,,,Current Employee ,Love it!,More than a year,0,"Great coworkers, supportive working environment, opportunities for growth, work-life balance","Typical growing pains of organizational shifts due to expansion, nothing that you wouldn't see in any workplace",,5.0,,,,,
2019-01-08, Outbound Sales Development Representative,"Madison, WI",Current Employee ,Great Place To Work,More than a year,0,"Colleagues are flexible, willing to work with you and open to new ideas. Pay is competitive. Everyone treats you like a professional no matter which department you're in or how much experience you have.",401(k) match is paltry. Moving across departments can sometimes be difficult.,Set up more committees of team members to help you influence process/procedure and the direction of your teams. Sometimes it feels like reps are left in the dark.,5.0,5.0,5.0,5.0,4.0,4.0
2018-12-18, Operations Engineer,"Madison, WI",Current Employee ,Best place I have ever worked,More than a year,0,"Friendly and inclusive environment.
Employee happiness is a corporate goal.
Benefits are competitive for the most part.
Management really listens to employee concerns.
Company is growing like crazy.",Only a 1% match on 401K contributions.,,5.0,5.0,5.0,5.0,4.0,5.0
2018-12-03,,,Current Employee ,More than year,,0,Strong culture & challenging work,None that I can think of,,5.0,,,,,
2018-11-18, Technical Support Engineer,"San Francisco, CA",Current Employee ,Fun place to start your career.,More than a year,0,"- Great work life balance
- Great Benefits
- Great people and Amazingg culture
- Lots of autonomy and not much micro-management","- Below Average Salary
- Not many career growth opportunities with certain teams
- Upper Management is just coming in to shake things up and then they leave. Doesn't feel like they really care about their team or employees at times.","Actually listen to your employees and the feedback they are giving you in the survey's. People within Advocacy are extremely underpaid unless you are a manager or higher.

You have amazing smart people that are helping the organization and the company achieve its goals, but nothing is being done to help the employee achieve their own personal goals.
The only way you will retain good talent is to pay them fairly and provide more opportunities of growth.",3.0,5.0,5.0,3.0,3.0,1.0
2018-11-06,,,Former Employee ,Intern,,0,Love the environment and the people were amazing!,None! I loved my time at Zendesk,,5.0,5.0,5.0,4.0,5.0,5.0
2018-11-15, Outbound Sales Development Representative,"San Francisco, CA",Current Employee ,Pretty Rad,Less than a year,0,Lots of the people are amazing,I have a terrible manager. No working from home even though our activity levels would be totally easy to monitor remotely.,,4.0,3.0,4.0,5.0,5.0,4.0
2018-11-14, Program Manager,"San Francisco, CA",Current Employee ,Lots Happening,Less than a year,0,People are wonderful and everyone seems aligned behind company objectives. I've found easy access to people across the organization and the ability to get involved with a number of important initiatives that have an impact on operations. Comp and benefits are average and there is tons of flexibility.,"There is not much maturity in process and because of rapid growth it can take time to get the right people together to tackle problems,",,4.0,5.0,5.0,4.0,3.0,4.0
2018-10-16, Manager,"San Francisco, CA",Current Employee ,Great Place to Work,Less than a year,0,"- Sense of community
- Employees seem to respect one another
- Strategic teams
- ESPP
- Company is growing","- Neighborhood
- Space is tight",More space is needed in SF to accommodate current headcount. Moving to a new neighborhood that's safer and less busy would also be appreciated.,5.0,4.0,4.0,4.0,4.0,4.0
2018-10-19,,,Current Employee ,Awesome company,,0,"hip and great snacks, great culture","neighborhood is rough, sf is expensive",,5.0,,,,,
2018-10-25,,,Current Employee ,HR,,0,Great Company mission and genuine people,"location, job architecture , new mgmt",,3.0,5.0,5.0,4.0,2.0,3.0
2018-09-20, Account Executive,,Current Employee ,"So far, so great!",Less than a year,0,Culture means something and it's telling when they commit to making it a positive workplace environment for everyone. Also great to see the commitment to community and the impact the business has on the world - there are limitless ways to contribute and feel like you're making a positive impact.,"Organization and structurally changing, so nothing seems nailed down for very long. You have to be able to roll with the punches as the company continues to grow exponentially.",,5.0,5.0,5.0,5.0,5.0,4.0
