date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2017-11-30, Product Manager,"Boston, MA",Current Employee ,"The disruptor that got disrupted, but is ready to re-capture its dominance in urban mobility",More than 5 years,0,"An inclusive, dynamic group of people who are passionate about the mission and can navigate ambiguity. A willingness to make hard choices in the short term for long term gains.","We are not a startup with VC funding and all the material ""perks"" that might come with that, we are a mature company with tangible constraints and real problems to solve.","Keep championing your highest contributors and don't be afraid to let go of those who aren't up to the challenge. And when something isn't working, don't be afraid to acknowledge failure and learn.",5.0,5.0,5.0,5.0,4.0,4.0
2019-03-25, Engineer,"Boston, MA",Former Employee ,"Growing pains, but working on it",More than 3 years,0,"work life balance is great, most managers are really empathetic human beings. real work, solving real challenges in the consumer mobility space = exciting times.","management seems unhappy with engineering output. they keep trying to hire more people, faster, but that isn't going to solve the problem of doing too many things at once. too confusing.",you can't be what you can't see: is anyone successful here? highlight people who are successfully solving problems and help engineers see who they should emulate.,3.0,5.0,4.0,3.0,2.0,2.0
2019-01-19, Product,,Former Employee ,Great mission - poorly executed,,0,Great people working on a worthwhile mission.,"Starved for funds by parent company keep Zipcar from being able to compete with Uber, Lyft or Amazon.",,3.0,4.0,3.0,2.0,3.0,3.0
2019-01-22, Regional Operations Manager,,Former Employee ,Great Culture and Mission Gone Bad--Avis acquisition ruined the company,More than 5 years,0,The work-life balance is pretty good.,Wages are low compared to other companies. Zipcar has done multiple rounds of layoffs through the years and has expected the remaining staff to pickup the work off the employees that were laid off.,,2.0,5.0,1.0,1.0,3.0,1.0
2019-01-17," Director, Digital Marketing","Boston, MA",Former Employee ,Slipped into the irrelevance slope and no longer focus on the member.,More than a year,0,"Was a terrific experience to start a couple of years ago. They still have some bright people but getting fewer and more far between. Operationally has been very efficient to contain costs and hit EBITDA, and keeping things bare to meet parent company expectations.","Too many snowflakes who don't have the hustle and grit to really turn it around. LT seems to be riding it out until it becomes just another logo for the parent company to manage. Starts at the top and when members and employees have concerns and ideas, they're all but ignored. Employees also have next to no career path making for an impossible leadership position.",Doesn't matter since they aren't interested in acting. It is truly an embarrassment to everyone who started the business and came before.,2.0,5.0,3.0,1.0,2.0,1.0
2018-11-14, Marketing Manager,"Boston, MA",Former Employee ,Marketing Manager,More than 5 years,0,"Great co-workers and in some departments managers
Interesting work as the industry is changing like crazy
Really cross-functional so tons of exposures to other departments
If you use the service great discount
Avis seems after 5+ years post acquisition to finally understand the business (sort of)","several layoffs within the same year felt senior leadership didn't know what/where they were going
marketing didn't feel supports (ops and engineering focused)
long time to push initiatives through
a lot of stakeholders to do small tasks
Avis bought out so more corporate than in the past",,4.0,5.0,3.0,2.0,3.0,3.0
2018-11-15, Software Engineer,"Boston, MA",Current Employee ,Change on the horizon - and it's great change.,Less than a year,0,"- Excellent work/life balance
- Lots of opportunity to make an impact, if you want to take it
- Incredible team, lots of smart people who care about the work they are doing
- Get to work with interesting technologies
- Free Zipcar membership and discounted trips
- We are going through a huge replatforming effort; lots of exciting work ahead as we launch a new website, which is also really exciting for our users","- Health insurance is not the greatest
- Maternity leave policy is a bit meh
- Not a whole lot of perks that you see at other tech companies
- We don't have the best image to our members right now, so we are fighting against not only the competition, but also trying to reinvigorate our users
- Convoluted process for getting work in the pipeline to be completed","There is a ton of focus on getting the new platform out the door, but don't forget that a huge part of what members interact with is the member services team. If they're unhappy with who they speak to when they call in for issues, or have a bad experience there, no amount of a new website is going to keep them as our customers or improve their experience.

Let the engineers do the work they need to do to maintain the applications we are rapidly building. We understand that we need to build out the same functionality from our existing system, but we need solid opportunities to prevent technical debt. We don't want the current system all over again a few years down the road.

Continue hiring good people and find ways to get current employees to stick around.",4.0,5.0,5.0,5.0,3.0,5.0
2018-10-01,,,Former Employee ,Manager Review,,0,Great local team and fun job.,Company went down after being acquired.,Take risks.,3.0,,,,,
2018-08-07, General Manager,"Boston, MA",Former Employee ,Great company,More than 3 years,0,The company has a great mission,Avis acquisition hindered the company big time.,,5.0,5.0,5.0,5.0,4.0,5.0
2018-06-27, Member Service Representative,,Current Employee ,Poor compensation for expectations,Less than a year,0,"Fun office, pretty low stress company","Very low pay, hard to make a difference in a company that is reactive rather than proactive in member experience.",Listen to the staff who actually work with members. We hear the good and the bad. Take our opinions/concerns seriously. Compensate for the amount of work being done in each market.,3.0,5.0,4.0,3.0,2.0,3.0
