date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-01-24,,,Current Employee ,Experience largely dependent on team,,0,"Fully stocked pantry
Great work-life balance
Unlimited PTO
People like to share their knowledge","Doesn't seem to be as positive for those in manufacturing production or development. For those, it depends on your team lead","Listen to what those on the production floor, or those actually doing the heavy lifting have to say. Their voices are overshadowed by their manager or team leads, which isn't always what they think themselves",5.0,5.0,5.0,5.0,5.0,4.0
2019-03-28, Research Associate,"Emeryville, CA",Current Employee ,So far so good.,Less than a year,0,I enjoy working here because it expands on the skills I've learned at my previous job. The work life balance is great and the people you work with are inspiring.,"Some cons are communication between departments. This is a work in progress, but nonetheless at the very least it is being addressed.",,4.0,5.0,4.0,4.0,4.0,4.0
2019-03-03,,,Current Employee ,"A start up company that has good values, however needs to be improved",,0,Good environment with friendly people. Free food,A Parking space is not guaranteed. No 41k so far. Long hours to work.,,3.0,4.0,4.0,4.0,3.0,3.0
2019-01-14,,,Current Employee ,Exciting,,0,Great goals. Great tech. Great people.,Growing quickly so beware if you’re not used to flexible responsibilities.,,4.0,5.0,4.0,3.0,3.0,4.0
2018-11-18, Software Engineer,"Emeryville, CA",Current Employee ,Two worlds,Less than a year,0,"I have a pretty sweet job. I am in software.

Very competitive pay, friendly team with competent managers, flexible time/some WFH allowed, pretty good at sticking to 40hr work weeks, reasonable work loads, dedicated hours to work without meetings or interruptions.","None of what I mentioned above seems to apply much to the manufacturing or development jobs at Zymergen, which live in a whole different world and get paid much less for harder work. I keep hearing stories of people who are eating their first food ~8hrs after starting the day, and are planning to go back to work after their break as I am leaving for the day. They get paid less, they work longer hours, and they seem much less happy than the technology folks overall. That's why you see the huge gap between 1 and 5 star ratings on this site. It's probably a bit of Zymergen pumping their own reviews into the mix, but it's also some people like me who simply don't experience a lot of the problems that people are upset by on this site.","Extend the experience we have in technology to the rest of the company. I haven't been here for long, but Josh Hoffman seems pretty tone-deaf to this.",4.0,5.0,4.0,5.0,5.0,3.0
2018-12-11,,,Former Employee ,Good or Bad Depends on Manager and Department,Less than a year,0,"Generally good people and culture. Free food, especially if you like avocados. Unlimited vacation for salaried employees. More good managers than bad. Whether I would recommend to a friend depends on which manager they would be working for.","If you work for a manager who lacks social skills or is a bully, and you can't transfer, you are doomed to misery. HR will be sympathetic but won't really do anything. Your best defense is to make sure you interview other people who work for your prospective boss before you join.

The company conducted a survey and formed committees to decide what to do about various employee dissatisfaction problems, but management accountability was conspicuously absent from the committee recommendations because -- surprise, surprise -- management advisors blocked all attempts to address it.","The only thing that sometimes motivates a bully to change is threatening adverse consequences if he doesn't. You can't train your way out of management problems caused by ingrained personality traits. And you can't train managers who think they don't need training because they're too deficient in empathy to know how deficient in empathy they are.

Zymergen could take some advice from my current employer. When I told one of the VPs my Zymergen story in a nutshell during a visit to the break room, he said, ""Some people need to be fired,"" and, ""If you ever hear about anything like that happening at this company, you come talk to me.""",3.0,4.0,2.0,3.0,3.0,2.0
2018-11-21,,"Emeryville, CA",Current Employee ,Good Company to get your foot in the door,More than a year,0,It is a good company if you're looking to gain experience. Most of the departments try to steer you in the direction of your career goals. The benefits are great if you are salary. The unlimited vacation and flexible hours are a plus.,"We are growing too fast which is causing a little chaos with space. There has been a culture change where the company feels some disconnect between departments. The peer review process and promotions are very controversial. You can get promoted without fulfilling all of the requirements for career leveling, but if you do not get promoted, management uses the career leveling requirements as justification for why you were not promoted. Some people were promoted to positions after vocalizing their desires to move up and threatening to leave. It is not a place to establish your career after being here for a few years.",Be more aware of the peer review process otherwise you will lose more of the good employees.,3.0,5.0,2.0,3.0,4.0,2.0
2018-11-02,,,Current Employee ,Research Associate I,,0,"Cool science that will benefit the world and tackles environmental challenges.
Catered lunch 3 times a week (including a happy hour).
Some friendly coworkers that are easy to work with and make the work environment funner.","No 401k match.
Strong downward tone from my direct managers that are very condescending.
Coworkers with attitude problems that do not get addressed by management makes it difficult to work with people and creates a negative environment.
Research Associates are treated as second class citizens (having to work on holidays and weekends)","Individuals with direct reports should undergo training or on how soft skills because this patronizing and egotistic tones make it very difficult to work at Zymergen. These are views that many of my coworkers as well as myself share.
Create a better work life balance. How important is to to squeeze in one or two more experiments at the expense of forcing RAs to work holidays.",3.0,3.0,4.0,3.0,2.0,2.0
2018-10-17,,,Current Employee ,"Fast growing company, lots of opportunity to improve",,0,Good company culture. Dynamic work environment.,Growing pains revealing inadequacies in infrastructure and communication channels. This is by no means unsolvable but occasional heroics are required to keep the engine running smoothly. Company is on the right track but there will be plenty of bumps in the road along the way.,,3.0,3.0,4.0,5.0,4.0,4.0
2018-08-31, Scientist,"Emeryville, CA",Current Employee ,"Good environment, fast growing company",Less than a year,0,"Fast and paced environment full of smart people.
Free food (I have breakfast and lunch there)",Growing very fast and there are some problems to be solved.,,5.0,5.0,5.0,5.0,5.0,5.0
