title,title_link,company,"SOFTWAREARTISAN,WHAT?Experienceworkingoncross-functionalteams—Fusioniskindofabigdealhere.OurSoftwareArtisansaresuccessfulbecausetheyhave",result-link-bar,tt_set,turnstileLink,slNoUnderline,location,date,location1
Chief Engineers and Senior Managers.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cc5mp3HIHyLPV9vxp2XOBCzdVt8nSTF20sY2lYmawa3Rf4GbA5IfsSwSSfMDZ41hSgGxQQ0JU79GKJQGl3t5UygP_NcLGFHTYZ-KZfNesPbx9YOeWN6Xxxb01w4HrtWSG_mu_3gD5pMGbpTBDi2xR8_I8YUERDf__OKhMRD5QB62wyPnDSDSNM20jGG1ngk-jbJT0VATwt16a6Z7MVDVhzkuxDDTGrSAzs8L2RiQAZYlOMNgU_INj12NFVThBiA2V-gAqLQTWCCDcpLbnDKIK7adT3BBxW9p_PMWNMYzXQvwWzx1wJrQ7ZQcKsaiTew9PJmBJB_IaCXMJtc_aeEXlJGf8PnfhwV5eE-6GPqxa7ZwXBP3Cw9AS74OX66akL7rCij917untssnNPR3NAVjgrAVQHAxVL_clEpflrnQKc7WCy_KgcsnM5kFrNHaMsLjOamm_SbYRFtA==&vjs=3&p=1&fvj=1,"New Energy Vehicles Group Co.,Ltd.",Relocation to China - Lean Process Planning - Intelligent Networking - Chassis System - Functional Safety Expert - NVH Expert - Battery System -...,Sponsored - save job,save job,,,,,"Detroit, MI"
Move Coordinator International,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGJ-EPFMGYvliAUMfHx3GY0rkWrTre0FLP3V_r8zyf5-YklqEY1V9ijl_tW90sTct9-U4L9TUKEaxUUj3qz3n7dG4djabZ1iyv63M70Jy6zVWaf4M3LdNN42mWdnCFKly23Vu6gxbeqtoBNdTC9t343Sms9XO4PaX8VvoQAp1Z_PZiRBFGcddaQUuy3AALbYlkbHuNbANnEzi85HKxjqF4B3fMWZ8hooHYr2POUpldlx1AcTXO9aKP9_LVb__0LkwgPwxrD9raR8N5GO6grAIVsovD4jHNbndpCscXoGTk8WhnRzBXcz2bTs_7KIwiHErcr-4Bc5YhmW_QzBAc-ybdtzwjf8ctIw6jgCRiusWWs7BSX85gs3FZpGlv9loJstYej5dWCX7Exkm6jUTtFcacjJHX0Moavnq7gLV8IXeIJ8wBw7ARQlZkdo0uEDfL3iwm6Ajv12vWwQ==&vjs=3&p=2&fvj=1,"Rose Moving and Storage Co.,Inc.",The International Move Coordinator / customer service representative is responsible for providing effective customer service for all internal and external...,Sponsored - save job,save job,,,,,"Detroit, MI"
Blue Button Welcome Call Advisor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfEUPYXw0LdueN7IxfiXmKnG2eWUG6Mty7tb9vZwqJ37K6wSRM6eZv-NDL5NAuAT8qGDR5EqzvbO-KeGO41uEB9cYVxtkKu0iUuzZFtmuWx8koabxwftIdY0hSIUMHIhVmY0Fs8VSt4aMbaJUSa3UbCE4-NdtgpGkS6vYAhc6pKscfm3kv_10NrTaGWCNeCgF8uu35yobn_-s0iJHEBEPT_h7-uISxpn8-IX_T3f1kj2eVeOADe1-mwIrL0zjKNTBZ2rwl2-ipNiwh1F-FHUQGY0uT-a29iF4MA3iTqLF1so0LulmijCZQsGH-21lWcFjbnkhSiX4AEX58j6OODWIrsJboxLTzSBHzYkCdri_kVgksFJWGAqTFGA588r5GZHJ3gO6vKfcTJjkA-FrK3cpaaS0gMQi_JRWVifgDgIY1yFoJbSbyUqjJaa5if5rDZWc=&vjs=3&p=3&fvj=1,Concentrix,"You will enroll in a 3 week, paid interactive training program where the goal is to improve your skills and learn what is needed to succeed at your new job....",Sponsored - save job,save job,Concentrix,"21,143 reviews",,,"Warren, MI 48092"
Senior Software Support Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZ8j3QkNfOe_AYMrW8vXO7z4_5-O-VsqQg_WgdfGiIw6KL_EdRT0SqYBRHbhVxfLM2-qhuopS2uItL6hS6nvAAtbBySw1xRpeupBXjeN-LMdOSW5O2CuwtqAb6NExJbfmqGt5whLmZl_hWbaVDozG9lUtJ-Dx6SSWnlzjyNF6lnTWAo-eeXLpms7yzMmK-IrAa0dPBWRCNAWoawVJpIwy5Hu1ixWy08sHmgL-vWnONSJDq1zh4hfVgh_em5lZp7mUmMmzcDYmg4R1OmZX0t5kb-NQ1CF5C_BEh0F2FovvgnV4bZ_jN51xSL0z0svbp8FXmfAPtES9FpAqvbus3tMbQ_c2BUZncGUq7jam3cCUf75O6s7DYaZKMTZtFe0hrkdp4bB65pTkM3mlYaiFGdCJ8_AB7BXQksi-PkGFkiWSY0Xovq0u8sX0LXH6zFqNs30W5xy_YFL_BVg==&vjs=3&p=4&fvj=1,"Yojna, Inc.",Senior Software Support Specialist *. Experience in Level I or Level II Software support for Commercial Banking software esp....,Sponsored - save job,save job,,,,,"Farmington Hills, MI 48334"
Collection Coordinator,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN9-zf_y642CxOrwvVuPL6IqXEU0irCzonb9cLcACnKHlQd022eosasR1l-N1wMpZJh8Gc1H6FkSWj_AGPRKxViEdHKm_AaDbCDcVKrS8qe0TgaFXZhlDpn1zSylhTWxnetied36PMAmnUm4jNN9ZVjFAmwFlTAP8ErbWw8AXk7W6XwKlIuhGF_vak6OtDyuQ0eB588fSq8N8GDGjF6pSzGtMRcYGi2n1ZiGze55_7_6yZKZtMtws_6M8ObwN3Jar5JSIBT8_dV45ayMaUaf78SjkzU-Da4JzLTpItQypk0mrreKDXlMSAkkqXxubM4Q-YdIpfLELzlXIjzHm23pF-RZepPJGDA4r5SPvJLxS7PJ3O7nmdSwSZBLu2kWL_n5sUtWkAb3ZQUIbtpn744vmcRTbpWILTMpbtQtK_Xg5ioIXicBp3kZmEFzTuv1YG2zI=&vjs=3&p=5&fvj=1,Kitch Drutchas Wagner Valitutti & Sherbrook,"Elite & Webview Software:. Elite & Webview software experience (preferred).*. Use of Elite & Webview software to track unpaid invoices, process approved write...",Sponsored - save job,save job,,,,,"Detroit, MI"
Engineer/AutoCAD Designer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B69wiljLDiAaIlboM4ec9VSgx5PapUQGo_K7BjL2dsbXZ67zts7H8o2c0rNad23cABQG83gV__Fb-JmVevoyJBopE_t_LiAuDpnoUoLn2Yzz6bGRwXPTUhYxu5jw0Kgcli-MH6VZ78QKjH9P4BO2AXBuGEBdlDFUcKUbNt80BAee9MsW128slSKqzMeP9YpkvVbF0JbluMl-riO4BVSX3VQlKpIi2kdW02bTNZkZ35Vt-lgEuYZjPfT95iPnb0cNwZyJtceNSFmuJuK5RO3oGZNKHVmeBT4m5mXCSRpTbWQUHk49fS76JzyQO_qvMcc6XglrkR74P5jDkA4MpUqtMKoma_d5tcoQZ1v25OVuOccsZ06xEtVcfNeRN5TYgtVXM893yuPwz_5GpC_mvWSPPYAY-k6J8NbMnaH9Zaov14EGKmEx_mKaKixmAfkE8DihE=&vjs=3&p=6&fvj=1,Fairmont Sign Company,"Experience using CAM software, such as Enroute and Aspire. At least 5 years of experience using AutoCAD 2D and some 3D....",Sponsored - save job,save job,,,,,"Detroit, MI 48234 (Kranz Woods area)"
Software Support Representative,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdZg_pC0uQzWI8UvLeijeCpOMd2qlCSTJYjF_yhJ6pxmk4AdBpYHUx3cwPT314myu-ICnjK1eE7Mw3SA0lD1ffzEzZekQv47KHp3Ei6sIXEOJtjVabQIRNYab-4bZ4LFmX9FMXCM8Eg2r6QPBh_CCklVxvUoHhGdR_0bWRIDufg35Q6QUPlhYXfGFu6zgwFsMt45-ADLKJ5GvneA5VWh3C2mLgSy70DxWUh1V_iKz_lPgzSpBbWBZjZCKXUQ4r_EFBPMI4lSdYjz9XtmnJuMVbrEAgdR6JZM4QvYgosbA8sQJ12WxWEE6gP_Kt6duWuHzBREMN-yGf1FpYVB9Gx3EMBzEQgXjbSp070XsOExnq1jLb7HChMS9tk2A60sqT1QKbDTmkBDdhrkN_n7_JI1AVVB80D5-Ps4rnfC-nazZxJDmRKNLLad8n3RFwGE2x4eEoxUGhZJRZbA==&vjs=3&p=7&fvj=1,"Capture 3D, Inc",Application software training and onsite visits when required. Computer hardware and software knowledge with established troubleshooting methodologies....,Sponsored - save job,save job,,,,,"Farmington Hills, MI"
Entry Level Software Developer,https://www.indeed.com/rc/clk?jk=820a758233565e33&fccid=f28d659c13a0ec47&vjs=3,Reynolds and Reynolds,Review software code to ensure compliance with established standards. Assist with full software life cycle (SLC) of various application enhancements....,1 day ago   -  save job - more...,-  save job - more...,Reynolds and Reynolds,358 reviews,"Detroit, MI 48201 (Midtown area)",1 day ago,
Software Developer Intern,https://www.indeed.com/rc/clk?jk=acfb059c7b4815fb&fccid=6a1520c3027994ce&vjs=3,Quicken Loans,"We believe in and build inclusive workplaces, where every voice is heard and diverse perspectives are welcomed....",7 hours ago   -  save job - more...,-  save job - more...,Quicken Loans,"1,127 reviews","Detroit, MI",7 hours ago,
Entry-level Software Developer,https://www.indeed.com/rc/clk?jk=2050782dd4329f1a&fccid=62374a540fe90191&vjs=3,Compuware,"Within a few months, you could be leaving your fingerprints on our next big release. Mainframes are the world’s most powerful computing platform and we build...",30+ days ago   -  save job - more...,-  save job - more...,Compuware,169 reviews,"Detroit, MI 48226 (Downtown area)",30+ days ago,
