title,title_link,company,summary,result-link-bar,tt_set,turnstileLink,slNoUnderline,date,salary,location
Software Implementation Project Manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cy6Y0fLVKZlaLIH3HmWBB-umnKJBe35kIsW8Zj8Ud66AV47KSAy5b2n2yEQE4Ur1Depolsc8og48PWZvuckTGN29TEaJ8VKY4ttxPdA0W0c0dcQKDdCfQPoqiDPUSLdLEnwPY6jhBB6Lqw3kSsJQsrviar_2TFDBY6f3ecWr6_9zhiJAJvf-3Gwv1JXh2X6rF6QhU7IPunBbKwsyOltUnQNg6ywwUBfbgFfpHVX0FkmGr5zHwE-l2MaOXWz7wmH1IF_aRvavjMHyPVWDw4SUMOkLs0axSEc30ym6Ma24ljQ2t_f0q6jJuNUBESIDR5lO9FdZrxPzE8zaAHfWGE-Jgu-_yfs5kNmSerebulU0_JvgRXps_7HJ8u0wvpy13gX-TFUJPKrcXOOeXc4ubLuMERuko4NXZhjfdPVoCbMFRtT_sX898iEQ90cHzTfEnhHZd60E5eHQQwJA==&vjs=3&p=1&fvj=1,Biz2Credit Inc.,"Software Project Management:. Currently, we seek to hire a Software Implementation Project Manager for our NY Office that will handle implementing our in-house SaaS platform into fortune 50 Banks.*....",Sponsored - save job,save job,,,,"$85,000 - $110,000 a year",
Principal Software Consultant,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEPnRKgEZ95OrqXT7vPUpts_Ij6OsUs8lhomrCkOI7jbrfNyfiIQfwgFYeKFiSyWw-o_7duwaU7n1YqJKOTW2sU8bQ6IH78iCe54We55SnGPxW2wLKBIh0Imta9woH-mLR_sHGLtDns439HMkdjQOtHo1hbn2gD6w2zCIK63K9W-m3E2a952xfRqPQcJ3gOlDRIkz7tQVKfQTP5_7_Ee2glFir-iTaEFhKP-LhOpeJgbv5RgccnSKxeyRbXHS0YjiNuKadjUBq8vnzJsPaozw4EQC6JixtDWtrETVabur902EUUJKX2QCl2UJOJftDk6yM0XElKe7mgvSL25UHGiWHQUQ2Dg4HJGdjhEDm_nPnnn0sT80wKyYITa8ZjWOb1vLrqvLb1CUxNVwd8Eru-c_JoskXQaE9MWAVymI_k3100vIlL4hQ4J6hZ4xxiB9nqdQ=&vjs=3&p=2&fvj=1,Xytech Systems Corporation,"MediaPulse is a scalable, nimble solution streamlining operations, increasing visibility and optimizing efficiencies across the range of activities comprised in today’s media enterprise....",Sponsored - save job,save job,Xytech Systems Corporation,2 reviews,,"$90,000 - $120,000 a year",
Software Support - Product Development - Business Services -...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmTWGQ0P_33C9W75dALBGPITGfXBggHXM7_L_96mQLaz3SCvBZpHsZjOH9DGw1XeMDuAc0yNJt3Yx9dnRx0FOP-Q0RMgAZ-nL3_91UEvqbkI2yEHxVc57CXiLv7gB8P_8rpvpCiBseHan973GUg3lSw4qOtat4a3tFvu-kuMkbXEL9oe67XMNqG4kG_nqE42HYMHtiEBjdnxFXhJIbSQ3tdm_KHKhq-Bj8vASHnJlCozXVp3UyT4mphaGmugyOdKqF0eQCmiwN2ZTU3Yql95Q13ztni97KyMQnrjLyWIzM716nQVMlbJ_S6aFY799cViR14d4oxz_jAqAk_5c753m9K1MI3EVVDOlh5ibdCM0Do-jL-BaT4Xuf-L0RMBsJgcdqNHeF-oPZ6BBbgkxUvOcTiKLXs_-a76dNBYKy4snANQpVQyyWuTemRcH3FTsz62NvGb1a19xaQrjJEIv9fnWXtTqTlTPtQhWRlMXb0KJUwg==&vjs=3&p=3&fvj=1,Purposive Consulting,"2+ years supporting a technology platform of some sort for business customers. A technical aptitude and an interest in all areas of technology (you're not scared of software, development or networks)....",Sponsored - save job,save job,,,,"$70,000 - $90,000 a year",
C++ Programmer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEi_iD1h0QD-Oh4sSrQYRGe70UNTrrByMkq2RRcHzje4XUK-7OD9UueuijoYLffwz3l5j7q3R4IA-IIhf7Cafs7LxfslW9oi0dU88xcPGaMskA9SYeq7iXSw5SxHs8cne2Jp4axVBSGRkcmSb-8Floz352nB5HaCruGWB0DQu9MRW8P4BCM_pU1SkUWZb7z_h5iN5nyYiyRK6htvtODAu9ipNHFg_NEnMTvBpuRL3hUA4udAGAbYYuVQYGA8m_GsHC92_bOmvfXvUPhCrepGb9QCyhQMei9xTfpKqH4G8yGDU8NRN1ZaIZrINIMf2QXX3C-HYdJqleFQ3MeMT5-odwzTWPg6CfJ4fCnSC8r33AUeWKTnaqEYsu9tKKZlp1N8dYIA9kWZk5SE0nwGL8KdQtRFFc_eDFM_xGccJMOzS1i11tWWnvS7TC&vjs=3&p=4&fvj=1,BlindData,"Enhance platform performance and help scale systems. BlindData seeks talented software engineers to test themselves against the best programmers from Google and MIT. Python, C++, Java and PHP....",Sponsored - save job,save job,BlindData,2 reviews,,"$100,000 - $200,000 a year",
Software Developer (Python),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEi_iD1h0QD-Oh4sSrQYRGe70UNTrrByMkq2RRcHzje4XUK-7OD9UueuijoYLffwz3l5j7q3R4IMgM5hovxsVh2P9IamCgKv6ZMxn0Xp-3t2CUsXSTcMb69cUjDUIcFeGtWEojc8jjMB1ZovugjFFKOfw28NtC5HuZ24A5cShuuUJoKX9fURRpIWKvddUE4HoZvx4UQHfLFsSVPnNJT36pvCvQFn_I00npzjQxHPSzjpSFPYeYRPK60oCpwFeJcclU-htwv5tg3Xdm2w5edxFi8mchju_nA0vqplcg2v03Ga5VAb_Ij2ruaYH6KsgdDLYPOX7EDdCaaZVbVoaUgc1333RJsywJ6J5kDjpDC1R0-sg4sh14TOr2Z96h4kI6bJVq9hyeyNCQ0qf_u2DaCbiFTvvwfNn0V5zBDchJrDEmcT5l7-yIlrbvRSpJ19lpalA=&vjs=3&p=5&fvj=1,BlindData,"Enhance platform performance and help scale systems. BlindData seeks talented software engineers to test themselves against the best programmers from Google and MIT. Python, C++, Java and PHP....",Sponsored - save job,save job,BlindData,2 reviews,,"$100,000 - $200,000 a year",
ERP/POS Consultant,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_cBaSMR7iTm5TJ0gA8Xv088KSrdk1cU-211LuVWbkFqMilLQr97hLbKDNCUn0_DUSBxry8SXkR8qz7NHf8vOMcoCxprQy6uVDDOo0qLeSToEVsO2AwvSC9Y2Y2E7jewz_iMagyRUzk-0Arm0ojAgeyY0t_S8p6_aWACqn5UT3S8YkBY4nPig03GIKs9xyUtElbcs03bQLftQWrXgXAM4sLpK5SOJb3gWhxp8h0qglS-CSpcCB1SUXeka2yvF6fyH3KaC83QSJd9tyHQvxDQuAiqppKYL1pVjIgqz0hWR3shMifKpCOorZ-IXNIKLgxgpHD7_HJXiUwM7NOAT63IeNSfekIg1pvRkitujPp_MJsmAFEoUP_yPrOjnY9U7mu1bYwMcgcRiomEbFonqxfFyJaqUZqOeqfve6WMpL7rwpPH883LeqLaDs&vjs=3&p=6&fvj=1,Erply,"Erply provides cloud-based, Point of Sale and Inventory Management software for retailers. Paid time off. Build integrations with teams for customer business needs. Erply is seeking a full-time focused and driven ERP/POS consultant to join...",Sponsored - save job,save job,,,,,
Low Latency Software Developer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CX-yWiPYLHRgD850XgSeRqKRgVjEQWHSVPMnLylkQQ6NAMToAy2JrRkRQkblOoEaPjADshMrBfyc1zZmT42EvCH4rDclY6Vz12CeqISCY53r70gSxCfgrtK_-XPvkE7XTWuFi9a11Qz9Eaiu9g8rZwyInnGBfnJZtSd0gvvwcRv5b7nCRRhudK9poUd3Lr5uGr_8Z5lNh8wat-F8ICZq9W-PsTmFeFoUh0bXZ8A0ZbMwuFvgzhsI4EBlt0Bbk_JXNeh9suu3xF1AJx4FAjCLb3cEcpCZdrQZg-YUD6b2ROsz4uDZp8pPH5s7-UEu2v6gaWdmsV2kbEDbhCWw9rOsLDPE9r-A-sWcyB0aFZzuggRVR6ZZAz5w3TIVawdv5aiH3REZmzcLIIpyUt7U-9s6Wb8f-a_XgvdSnTgqdlFkMzXvH_jAXuxJKCTaI6_05JXbI=&vjs=3&p=7&fvj=1,Radley James,You will spend your day developing in-house software for the firm’s primary low latency trading platform and will be given a good level of freedom to design and push the firms systems to its limits. Experience working on Linux platform....,Sponsored - save job,save job,Radley James,4 reviews,,"$120,000 - $220,000 a year",
Entry Level Software Engineer,https://www.indeed.com/company/Digi555/jobs/Entry-Level-Software-Engineer-2cc2f731554b75f8?fccid=56f867db59f6e7fd&vjs=3,Digi555,"Entry Level Software Engineer*. Supports and installs software applications, operating systems. Designs, modifies, develops, writes and implements software programming applications. Develops understanding of and relationship with internal...",3 days ago   -  save job - more...,-  save job - more...,,,3 days ago,"$65,000 - $75,000 a year","New York, NY"
"Software Engineering Intern, BS, Fall 2019",https://www.indeed.com/rc/clk?jk=fba39ab6ddc43f2a&fccid=a5b4499d9e91a5c6&vjs=3,Google,Software Engineers working in Site Reliability are involved in every facet of Google's production and work on the cutting edge of cloud-based computing. Software Engineers on this team love to create robust and scalable software that scales...,30+ days ago   -  save job - more...,-  save job - more...,Google,"2,929 reviews",30+ days ago,,"New York, NY 10011 (Chelsea area)"
Entry Level Java Developer,https://www.indeed.com/company/CloudServiceTek/jobs/Entry-Level-Java-Developer-0400500950d29513?fccid=5de1fafcbe6b6997&vjs=3,CloudServiceTek,"Ability to prepare and design solutions that are performance efficient, modular and scalable. You will be involving in several phases of software development life cycle. CloudServiceTek is looking for Entry Level Java Developers to be a...",3 days ago   -  save job - more...,-  save job - more...,,,3 days ago,"$60,000 - $70,000 a year","New York, NY 10020 (Midtown area)"
"Software Engineer Intern (Frontend), Summer 2019",https://www.indeed.com/rc/clk?jk=51c3615dc0d8cc41&fccid=97c58b4c65083667&vjs=3,Birchbox,Our service-oriented platform is built on a wide variety of open-source technologies:. Evolving our software and systems architecture to support a rapidly growing customer base across multiple countries and languages....,30+ days ago   -  save job - more...,-  save job - more...,Birchbox,15 reviews,30+ days ago,,"New York, NY 10038 (Financial District area)"
"Software Engineering Intern, MS, Fall 2019",https://www.indeed.com/rc/clk?jk=200a8fa7ca635d1e&fccid=a5b4499d9e91a5c6&vjs=3,Google,Software Engineers working in Site Reliability are involved in every facet of Google's production and work on the cutting edge of cloud-based computing. Software Engineers on this team love to create robust and scalable software that scales...,30+ days ago   -  save job - more...,-  save job - more...,Google,"2,929 reviews",30+ days ago,,"New York, NY 10011 (Chelsea area)"
Backend Software Engineer,https://www.indeed.com/rc/clk?jk=c05385f174f7937c&fccid=1b50fcfb150b1b48&vjs=3,The New York Times,"The team of software engineers responsible for managing the data platform, microservices, and internal tools and web apps for the advertising business. Public cloud platform services:. Have programming and syntax knowledge in Go, Python,...",5 days ago   -  save job - more...,-  save job - more...,The New York Times,225 reviews,5 days ago,,"New York, NY 10036"
Software Engineering Intern,https://www.indeed.com/rc/clk?jk=053542dd3a251567&fccid=7e65aeac6294dd3d&vjs=3,SpinCar,"SpinCar, a leading provider of 360-degree imaging software to the automotive industry, is seeking a software engineering intern. Possibility of advancement to a Full Stack Software Engineer role....",25 days ago   -  save job - more...,-  save job - more...,,,25 days ago,,"New York, NY"
Computer Associate (Software),https://www.indeed.com/rc/clk?jk=88703235321b96b8&fccid=6689846e65a4f01d&vjs=3,New York City DEPARTMENT OF PROBATION,"Documenting software projects,. Performing other related software development life cycle duties. Providing support on any new or existing software project,. A four-year high school diploma or its educational equivalent and five years of...",NYC Careers - 30+ days ago   -  save job - more...,-  save job - more...,New York City DEPARTMENT OF PROBATION,108 reviews,30+ days ago,"$64,657 - $80,000 a year","Manhattan, NY"
Entry- Level Developer/Software Test Engineer,https://www.indeed.com/rc/clk?jk=255cadd764f643e7&fccid=512dda1bc9c578e5&vjs=3,RTTS,"Using your strong programming and analytical skills, you’ll be responsible for coding custom solutions using cutting edge automated functional and performance quality assurance tools to support complex software applications....",5 days ago   -  save job - more...,-  save job - more...,RTTS,4 reviews,5 days ago,"$60,000 - $70,000 a year","New York, NY 10018 (Clinton area)"
Software Engineering Intern,https://www.indeed.com/rc/clk?jk=a1a1b193ffc3d4af&fccid=03aa2d9789aa80c5&vjs=3,Flashpoint,"Design, document, and build a software project from scratch. Flashpoint is seeking highly productive summer interns who are interested in direct mentorship, in being exposed to a survey of software development, and in working on meaningful...",4 days ago   -  save job - more...,-  save job - more...,,,4 days ago,,"New York, NY 10011 (Chelsea area)"
Software Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE0dyUnN-f_DUkr6SoHROGgO3zSPF_u1TVN3cc5nsiMGeeuu-pp9UxvgUpKMYUt0yEzZ8vI7rIiYdFYHmvgRp3g6hNEhnDHzHJFp3Lm8iAYf0vLFIZpR-d9ut_Icd2r7Hksj_UVafz_mnK16nl0Tu93vCSmbRbdMcLWuJNxwjE3xu0vlh-BP54jgAyPvynphNPpWgMT9a0ADed8ltRzybw630jcN0EK72AQoyO2LDEVSVCRG0Q5Jk1hspElRbnOfMAtjUlwK1PKC6sS39-rcM5b6TMed9wmUbA5xfKgNsmfX6pERbZ4RO7lfIIxKiXI1E-4OAUqPoLtDDlhG1QedlXHyETttDvNwbcy8DuG9FQh-UY8eU4cT4STzum4P6MVLp4ZqooYLh0WqHAr-fLCcAmHBwkrkppkOzquFsm9Wj0tMQKrdEm-i1K&vjs=3&p=8&fvj=1,Innovest Systems LLC,"Our software development combines proven platforms with agile processes, allowing our developers the freedom to build innovative solutions on reliable foundations. Innovest seeks a Software Developer to join its innovative and dynamic...",Sponsored - save job,save job,Innovest Systems LLC,2 reviews,,,
Customer Success for Software Company,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeailGZwTSjOnsNd3Q5IJmNYmgMkvsDjtwYul-hP-HvLU_fKP7z0QbUE4aPnHGdQIt1wpDT5RI6zumeMqWfXKJEH63Z5rYDAp4gH7eaZXxsvqy4n0nRO8z5pZ53ucusVFHI-4Y0tA43Y46Dltzv1StLkWDkXYTA5DvuPYzf6PhEYMhxiRPT1CqHfb8H8gea94-IFQPxEQI7RI8FnTcrlWXIf3AQLzT72NFaJJYV7F-jFc6vaUpCqZ8pBgfBFxLiQBz2jhvbslWC2UFp1AwrKfd3tJ7uXE2vIU-gpAIV0KwGCTJSrNHIGIslHLhqQGhIadsDRfnaWGaxBA8-Rhbx_e0_i0vy4VzxM0y7r-1aplgYcLIQX6omfdFaBOD9XhlyTJf19QBPcvnpDMDM5qrshfaNxJwYeqC1Nl2RFmxTl7k2aECKJpJY8Wl8djbGGH7g0Qzjl5U4WGZcA==&vjs=3&p=9&fvj=1,Breadwinner,"Breadwinner is a SaaS startup that integrates Salesforce with financial software. As a software company, having the ability to learn technical skills is imperative. Energetic SaaS company looking for a full-time Customer Success...",Sponsored - save job,save job,,,,"$35,000 a year",
Therm Modeler,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ap4P55plgbHJhywd-o3dVlxJid_MDnQbYbHR8RRcZSmteV4Ps0vEwdu0iUlD4tJ9MzrOead14GU-OTJANQ_tJh_1qmisYEsPeUqpB6MehfCN1_sN71DjfbI7onaNwXmSSQH2RNJNRsikeFVpXwxjHNZZYJr1ao-TtwRDsaSNiy1WXrxqKZPCM4S6txAjvlZxZf11ciJFBdIBmDwARb7uhSMC0b3HzQ8Svdx_i5RV7Ec_ZN12ncyh2Hf-wPL9zAlkVFoCxLOfbiC1PgIkBSwtVLGBCc0JGmuv1xDhR2ydIhuzQis7HfWXE7FV2oW55hubn1gw6xboR76HyR7IWG3Y5FHLFzWNjpgahKgd_s2P4qVAOiM2kmFg9tkObb36jIWQXUbhWAfV0gbF0ZvTgqqzfm6gISC2IJ9ecOA3nOmH79i3x2HSrEIx05&vjs=3&p=1&fvj=1,Vidaris,"Proficient in Microsoft software, particularly Excel. Vidaris provides a comprehensive benefit package including a 401k, paid vacation and holidays. The work often results in changes to the building envelope....",Sponsored - save job,save job,,,,,
Court Reporter,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZ88zP7YKxEH7IZhTxSxc9GWtaH9oFgfRZGa3g3dcHXhccRmIOfM8BC2g545UxgiL3JqZQmEXgI5u4NC7arUbe2HrmqkD-lg5pj1gunrQDaA-YawwZ88LpkEW5Wz0LRBNEo99--NI16unSsR_jD0zHqYPHxbDDLIrB_13P3lJ6-YV9g_7vy5kmnqCNHgmFlcMdPlCQ8EZQQh9ZsbhYTtK8FlfEv3L99w1Bh4RSXp2uC8M0bQhSACXwmttWNcM8UWLXZpbAblziWnbgR_kY4tguXNjhoHU_W8x8CtuleP_3cLO0OIcBw8OmPNq5z1MWRoGUMkf5wIOKv1xeBp9To26kFQwLUDHF2RboVAzzW_vwvyZ-_00hkLVIvsyjncnYo07Qwkez7PGw12FBdR9OPa6mcHdQWHTOVWL2IlqfqRJkuQ==&vjs=3&p=2&fvj=1,Precision Reporters,Must own stenographic hardware and software to be able to produce an ASCII file to be delivered to our corporate office. Capture The Record....,Sponsored - 4 hours ago   -  save job,-  save job,,,4 hours ago,"$75,000 - $100,000 a year",
